,NWS
2017-04-11,11.757986068725586
2017-04-12,11.8494873046875
2017-04-13,11.620732307434082
2017-04-17,11.757986068725586
2017-04-18,11.620732307434082
2017-04-19,11.757986068725586
2017-04-20,12.215495109558105
2017-04-21,12.169742584228516
2017-04-24,12.215495109558105
2017-04-25,12.30699634552002
2017-04-26,12.123993873596191
2017-04-27,12.078242301940918
2017-04-28,11.895238876342773
2017-05-01,11.895238876342773
2017-05-02,11.803736686706543
2017-05-03,11.757986068725586
2017-05-04,11.757986068725586
2017-05-05,11.895238876342773
2017-05-08,11.986741065979004
2017-05-09,12.261246681213379
2017-05-10,11.940988540649414
2017-05-11,11.895238876342773
2017-05-12,11.940988540649414
2017-05-15,12.169742584228516
2017-05-16,12.169742584228516
2017-05-17,11.940988540649414
2017-05-18,11.940988540649414
2017-05-19,12.078242301940918
2017-05-22,12.398500442504883
2017-05-23,12.352747917175293
2017-05-24,12.489999771118164
2017-05-25,12.444250106811523
2017-05-26,12.627253532409668
2017-05-30,12.489999771118164
2017-05-31,12.535752296447754
2017-06-01,12.810256958007812
2017-06-02,12.764508247375488
2017-06-05,12.627253532409668
2017-06-06,12.718755722045898
2017-06-07,12.627253532409668
2017-06-08,12.764508247375488
2017-06-09,12.90176010131836
2017-06-12,12.856008529663086
2017-06-13,12.764508247375488
2017-06-14,12.810256958007812
2017-06-15,12.856008529663086
2017-06-16,12.947511672973633
2017-06-19,13.03901195526123
2017-06-20,12.810256958007812
2017-06-21,12.764508247375488
2017-06-22,12.764508247375488
2017-06-23,12.856008529663086
2017-06-26,12.90176010131836
2017-06-27,12.90176010131836
2017-06-28,13.084763526916504
2017-06-29,12.856008529663086
2017-06-30,12.947511672973633
2017-07-03,13.084763526916504
2017-07-05,12.947511672973633
2017-07-06,12.489999771118164
2017-07-07,12.581504821777344
2017-07-10,12.398500442504883
2017-07-11,12.581504821777344
2017-07-12,12.444250106811523
2017-07-13,12.535752296447754
2017-07-14,12.810256958007812
2017-07-17,12.90176010131836
2017-07-18,12.856008529663086
2017-07-19,13.130514144897461
2017-07-20,13.130514144897461
2017-07-21,13.222016334533691
2017-07-24,13.222016334533691
2017-07-25,13.313516616821289
2017-07-26,13.359269142150879
2017-07-27,13.450769424438477
2017-07-28,13.54227066040039
2017-07-31,13.450769424438477
2017-08-01,13.588022232055664
2017-08-02,13.496520042419434
2017-08-03,13.40501880645752
2017-08-04,13.359269142150879
2017-08-07,13.54227066040039
2017-08-08,13.359269142150879
2017-08-09,13.313516616821289
2017-08-10,12.810256958007812
2017-08-11,12.627253532409668
2017-08-14,12.627253532409668
2017-08-15,12.535752296447754
2017-08-16,12.489999771118164
2017-08-17,12.489999771118164
2017-08-18,12.581504821777344
2017-08-21,12.581504821777344
2017-08-22,12.627253532409668
2017-08-23,12.352747917175293
2017-08-24,12.444250106811523
2017-08-25,12.581504821777344
2017-08-28,12.627253532409668
2017-08-29,12.535752296447754
2017-08-30,12.444250106811523
2017-08-31,12.535752296447754
2017-09-01,12.627253532409668
2017-09-05,12.398500442504883
2017-09-06,12.489999771118164
2017-09-07,12.627253532409668
2017-09-08,12.261246681213379
2017-09-11,12.489999771118164
2017-09-12,12.443912506103516
2017-09-13,12.259557723999023
2017-09-14,12.305646896362305
2017-09-15,12.397823333740234
2017-09-18,12.397823333740234
2017-09-19,12.443912506103516
2017-09-20,12.536088943481445
2017-09-21,12.397823333740234
2017-09-22,12.35173511505127
