,HPQ
2020-10-27,15.711868286132812
2020-10-28,15.16134262084961
2020-10-29,15.537097930908203
2020-10-30,15.6943941116333
2020-11-02,16.08762550354004
2020-11-03,16.271133422851562
2020-11-04,15.974026679992676
2020-11-05,16.7168025970459
2020-11-06,16.8216609954834
2020-11-09,17.24110984802246
2020-11-10,17.363452911376953
2020-11-11,16.917783737182617
2020-11-12,16.542030334472656
2020-11-13,17.136249542236328
2020-11-16,17.739208221435547
2020-11-17,17.913978576660156
2020-11-18,17.870283126831055
2020-11-19,17.913978576660156
2020-11-20,17.870283126831055
2020-11-23,18.516935348510742
2020-11-24,19.00629234313965
2020-11-25,19.443222045898438
2020-11-27,19.460697174072266
2020-11-30,19.163585662841797
2020-12-01,19.55681610107422
2020-12-02,19.941316604614258
2020-12-03,20.308332443237305
2020-12-04,20.78021240234375
2020-12-07,20.692829132080078
2020-12-08,20.7227840423584
2020-12-09,20.43203353881836
2020-12-10,20.414411544799805
2020-12-11,20.361547470092773
2020-12-14,20.44965171813965
2020-12-15,20.890186309814453
2020-12-16,21.12807846069336
2020-12-17,21.339534759521484
2020-12-18,21.55099105834961
2020-12-21,21.14569664001465
2020-12-22,21.286672592163086
2020-12-23,21.330718994140625
2020-12-24,21.37477684020996
2020-12-28,21.383588790893555
2020-12-29,21.18975257873535
2020-12-30,21.427642822265625
2020-12-31,21.665531158447266
2021-01-04,21.24261474609375
2021-01-05,21.55099105834961
2021-01-06,21.99152374267578
2021-01-07,22.687572479248047
2021-01-08,22.49374008178711
2021-01-11,22.714006423950195
2021-01-12,22.82854461669922
2021-01-13,22.652324676513672
2021-01-14,22.57303237915039
2021-01-15,22.176549911499023
2021-01-19,22.150115966796875
2021-01-20,22.20298194885254
2021-01-21,22.343957901000977
2021-01-22,22.264657974243164
2021-01-25,22.044387817382812
2021-01-26,21.691965103149414
2021-01-27,21.89460563659668
2021-01-28,21.912229537963867
2021-01-29,21.44525909423828
2021-02-01,21.568613052368164
2021-02-02,21.929851531982422
2021-02-03,22.22941780090332
2021-02-04,22.863784790039062
2021-02-05,23.03999900817871
2021-02-08,24.0532283782959
2021-02-09,23.868207931518555
2021-02-10,23.921072006225586
2021-02-11,24.123716354370117
2021-02-12,24.220632553100586
2021-02-16,23.92987823486328
2021-02-17,23.154539108276367
2021-02-18,23.269075393676758
2021-02-19,23.877017974853516
2021-02-22,23.894641876220703
2021-02-23,24.123716354370117
2021-02-24,24.643552780151367
2021-02-25,24.837387084960938
2021-02-26,25.524620056152344
2021-03-01,26.062070846557617
2021-03-02,26.46736717224121
2021-03-03,26.273530960083008
2021-03-04,24.73165512084961
2021-03-05,26.211854934692383
2021-03-08,26.57309341430664
2021-03-09,26.69192123413086
2021-03-10,26.83380699157715
2021-03-11,26.904747009277344
2021-03-12,26.85154151916504
2021-03-15,27.30379867553711
2021-03-16,26.984556198120117
2021-03-17,27.25946044921875
2021-03-18,26.878141403198242
2021-03-19,26.67418670654297
2021-03-22,27.02002716064453
2021-03-23,26.230798721313477
2021-03-24,26.044578552246094
2021-03-25,26.505699157714844
2021-03-26,28.075292587280273
2021-03-29,27.55208969116211
2021-03-30,27.98661231994629
2021-03-31,28.155101776123047
2021-04-01,28.421133041381836
2021-04-05,28.78470802307129
2021-04-06,28.633960723876953
2021-04-07,28.625091552734375
2021-04-08,28.713769912719727
2021-04-09,29.245830535888672
2021-04-12,29.03301429748535
2021-04-13,29.29904556274414
2021-04-14,29.440921783447266
2021-04-15,29.813369750976562
2021-04-16,30.132612228393555
2021-04-19,29.88431739807129
2021-04-20,29.591678619384766
2021-04-21,30.06167221069336
2021-04-22,29.946386337280273
2021-04-23,30.522781372070312
2021-04-26,30.4429874420166
2021-04-27,30.531661987304688
2021-04-28,30.434110641479492
2021-04-29,30.77108383178711
2021-04-30,30.24789047241211
2021-05-03,30.575992584228516
2021-05-04,30.114870071411133
2021-05-05,30.549394607543945
2021-05-06,31.019386291503906
2021-05-07,31.542587280273438
2021-05-10,31.25881576538086
2021-05-11,29.786766052246094
2021-05-12,28.332454681396484
2021-05-13,28.722637176513672
2021-05-14,29.192626953125
2021-05-17,29.29904556274414
2021-05-18,28.67829704284668
2021-05-19,28.199438095092773
2021-05-20,28.412267684936523
2021-05-21,28.075292587280273
2021-05-24,28.65169334411621
2021-05-25,28.252649307250977
2021-05-26,28.527544021606445
2021-05-27,28.465469360351562
2021-05-28,25.920425415039062
