,MTCH
2020-11-04,128.69000244140625
2020-11-05,134.97000122070312
2020-11-06,132.55999755859375
2020-11-09,137.22000122070312
2020-11-10,132.22000122070312
2020-11-11,133.41000366210938
2020-11-12,131.25999450683594
2020-11-13,131.60000610351562
2020-11-16,134.8300018310547
2020-11-17,131.35000610351562
2020-11-18,131.35000610351562
2020-11-19,132.30999755859375
2020-11-20,130.57000732421875
2020-11-23,138.22999572753906
2020-11-24,138.6699981689453
2020-11-25,139.00999450683594
2020-11-27,139.6300048828125
2020-11-30,139.2100067138672
2020-12-01,143.30999755859375
2020-12-02,138.92999267578125
2020-12-03,140.13999938964844
2020-12-04,145.38999938964844
2020-12-07,146.07000732421875
2020-12-08,145.4199981689453
2020-12-09,143.52000427246094
2020-12-10,147.32000732421875
2020-12-11,148.11000061035156
2020-12-14,144.80999755859375
2020-12-15,150.83999633789062
2020-12-16,153.89999389648438
2020-12-17,148.75
2020-12-18,155.07000732421875
2020-12-21,154.14999389648438
2020-12-22,156.1199951171875
2020-12-23,153.38999938964844
2020-12-24,152.0800018310547
2020-12-28,150.0800018310547
2020-12-29,150.22000122070312
2020-12-30,152.0
2020-12-31,151.19000244140625
2021-01-04,149.9199981689453
2021-01-05,150.2899932861328
2021-01-06,148.80999755859375
2021-01-07,152.86000061035156
2021-01-08,151.7899932861328
2021-01-11,151.89999389648438
2021-01-12,153.57000732421875
2021-01-13,155.02000427246094
2021-01-14,149.0500030517578
2021-01-15,150.85000610351562
2021-01-19,146.13999938964844
2021-01-20,147.6300048828125
2021-01-21,144.49000549316406
2021-01-22,141.0
2021-01-25,139.4199981689453
2021-01-26,138.4199981689453
2021-01-27,131.5500030517578
2021-01-28,141.52000427246094
2021-01-29,139.86000061035156
2021-02-01,145.9499969482422
2021-02-02,150.08999633789062
2021-02-03,138.1199951171875
2021-02-04,150.6300048828125
2021-02-05,159.82000732421875
2021-02-08,159.0
2021-02-09,158.8699951171875
2021-02-10,171.07000732421875
2021-02-11,172.1300048828125
2021-02-12,169.52999877929688
2021-02-16,164.86000061035156
2021-02-17,160.8000030517578
2021-02-18,162.24000549316406
2021-02-19,160.9499969482422
2021-02-22,156.7100067138672
2021-02-23,161.3300018310547
2021-02-24,160.7899932861328
2021-02-25,151.72000122070312
2021-02-26,152.85000610351562
2021-03-01,156.52000427246094
2021-03-02,152.50999450683594
2021-03-03,147.33999633789062
2021-03-04,143.66000366210938
2021-03-05,146.2899932861328
2021-03-08,145.55999755859375
2021-03-09,152.11000061035156
2021-03-10,146.85000610351562
2021-03-11,155.35000610351562
2021-03-12,153.3800048828125
2021-03-15,153.92999267578125
2021-03-16,154.19000244140625
2021-03-17,154.41000366210938
2021-03-18,147.13999938964844
2021-03-19,152.6999969482422
2021-03-22,154.88999938964844
2021-03-23,145.88999938964844
2021-03-24,139.8000030517578
2021-03-25,134.60000610351562
2021-03-26,138.27000427246094
2021-03-29,133.14999389648438
2021-03-30,131.47999572753906
2021-03-31,137.3800048828125
2021-04-01,142.66000366210938
2021-04-05,144.14999389648438
2021-04-06,143.13999938964844
2021-04-07,141.86000061035156
2021-04-08,145.5500030517578
2021-04-09,143.8699951171875
2021-04-12,144.52999877929688
2021-04-13,146.14999389648438
2021-04-14,144.17999267578125
2021-04-15,146.47000122070312
2021-04-16,145.3000030517578
2021-04-19,146.0
2021-04-20,139.72000122070312
2021-04-21,141.0500030517578
2021-04-22,143.47999572753906
2021-04-23,149.00999450683594
2021-04-26,152.5
2021-04-27,157.8000030517578
2021-04-28,159.1300048828125
2021-04-29,156.5500030517578
2021-04-30,155.6300048828125
2021-05-03,148.44000244140625
2021-05-04,138.92999267578125
2021-05-05,143.6699981689453
2021-05-06,139.9600067138672
2021-05-07,146.19000244140625
2021-05-10,141.80999755859375
2021-05-11,146.39999389648438
2021-05-12,141.6199951171875
2021-05-13,138.39999389648438
2021-05-14,142.19000244140625
2021-05-17,139.99000549316406
2021-05-18,136.86000061035156
2021-05-19,138.83999633789062
2021-05-20,142.77999877929688
2021-05-21,143.32000732421875
2021-05-24,147.3000030517578
2021-05-25,144.25999450683594
2021-05-26,144.63999938964844
2021-05-27,143.00999450683594
2021-05-28,143.3800048828125
2021-06-01,143.22000122070312
2021-06-02,139.42999267578125
2021-06-03,136.80999755859375
2021-06-04,137.92999267578125
2021-06-07,143.47999572753906
2021-06-08,142.85000610351562
2021-06-09,141.77000427246094
2021-06-10,141.8800048828125
2021-06-11,141.57000732421875
2021-06-14,143.86000061035156
2021-06-15,142.33999633789062
2021-06-16,143.02000427246094
2021-06-17,150.25
2021-06-18,153.9199981689453
2021-06-21,155.72000122070312
2021-06-22,159.05999755859375
2021-06-23,161.52999877929688
2021-06-24,164.27000427246094
2021-06-25,161.99000549316406
2021-06-28,161.52999877929688
2021-06-29,162.27999877929688
2021-06-30,161.25
2021-07-01,159.47999572753906
2021-07-02,161.39999389648438
2021-07-06,161.24000549316406
2021-07-07,157.69000244140625
2021-07-08,158.25
2021-07-09,162.6300048828125
2021-07-12,162.83999633789062
2021-07-13,164.61000061035156
2021-07-14,161.52999877929688
2021-07-15,162.8300018310547
2021-07-16,161.1699981689453
2021-07-19,153.3300018310547
2021-07-20,153.77000427246094
2021-07-21,159.6999969482422
2021-07-22,160.5
2021-07-23,165.86000061035156
2021-07-26,164.22999572753906
2021-07-27,162.17999267578125
2021-07-28,163.6199951171875
2021-07-29,163.39999389648438
2021-07-30,159.27000427246094
2021-08-02,161.33999633789062
2021-08-03,158.47000122070312
2021-08-04,150.57000732421875
2021-08-05,146.4199981689453
2021-08-06,145.7899932861328
