,CHD
2019-05-30,70.36576843261719
2019-05-31,69.93344116210938
2019-06-03,71.39959716796875
2019-06-04,70.59130859375
2019-06-05,72.38642883300781
2019-06-06,73.1383056640625
2019-06-07,73.28868103027344
2019-06-10,72.64016723632812
2019-06-11,72.07628631591797
2019-06-12,72.17024230957031
2019-06-13,72.31124114990234
2019-06-14,72.51799011230469
2019-06-17,72.67777252197266
2019-06-18,71.7379379272461
2019-06-19,71.6063461303711
2019-06-20,71.76612854003906
2019-06-21,71.37139892578125
2019-06-24,71.54057312011719
2019-06-25,70.74169921875
2019-06-26,68.34510040283203
2019-06-27,68.73986053466797
2019-06-28,68.66464233398438
2019-07-01,69.12518310546875
2019-07-02,69.4165267944336
2019-07-03,70.52554321289062
2019-07-05,69.85826110839844
2019-07-08,69.6138916015625
2019-07-09,69.25675964355469
2019-07-10,69.89585876464844
2019-07-11,70.58192443847656
2019-07-12,70.76048278808594
2019-07-15,70.75110626220703
2019-07-16,70.81688690185547
2019-07-17,70.87328338623047
2019-07-18,72.0198745727539
2019-07-19,70.97665405273438
2019-07-22,70.82630157470703
2019-07-23,70.4879379272461
2019-07-24,69.55751037597656
2019-07-25,69.99922180175781
2019-07-26,71.27741241455078
2019-07-29,71.54057312011719
2019-07-30,72.0198745727539
2019-07-31,70.90148162841797
2019-08-01,69.85826110839844
2019-08-02,69.8488540649414
2019-08-05,69.67967224121094
2019-08-06,70.16839599609375
2019-08-07,71.31498718261719
2019-08-08,72.5555648803711
2019-08-09,72.07628631591797
2019-08-12,72.37703704833984
2019-08-13,73.71159362792969
2019-08-14,73.21013641357422
2019-08-15,74.45433807373047
2019-08-16,75.12357330322266
2019-08-19,75.11415100097656
2019-08-20,73.74740600585938
2019-08-21,74.3600845336914
2019-08-22,74.7654037475586
2019-08-23,73.99247741699219
2019-08-26,74.60516357421875
2019-08-27,75.14244079589844
2019-08-28,75.6702651977539
2019-08-29,75.34037780761719
2019-08-30,75.198974609375
2019-09-03,75.28380584716797
2019-09-04,75.58544921875
2019-09-05,73.04991912841797
2019-09-06,71.54177856445312
2019-09-09,69.41154479980469
2019-09-10,67.46983337402344
2019-09-11,67.74317932128906
2019-09-12,68.47840118408203
2019-09-13,67.84687042236328
2019-09-16,68.22390747070312
2019-09-17,68.57266235351562
