,ODFL
2023-12-06,185.4773712158203
2023-12-07,186.52191162109375
2023-12-08,183.7662811279297
2023-12-11,188.4568328857422
2023-12-12,190.1280975341797
2023-12-13,191.0333709716797
2023-12-14,190.26736450195312
2023-12-15,195.5050506591797
2023-12-18,195.51995849609375
2023-12-19,199.49423217773438
2023-12-20,199.97174072265625
2023-12-21,203.54310607910156
2023-12-22,205.4133758544922
2023-12-26,206.9204864501953
2023-12-27,205.7267303466797
2023-12-28,204.4633026123047
2023-12-29,201.61317443847656
2024-01-02,197.83787536621094
2024-01-03,191.56063842773438
2024-01-04,193.61990356445312
2024-01-05,190.8891143798828
2024-01-08,195.3359375
2024-01-09,194.3660125732422
2024-01-10,194.4953155517578
2024-01-11,193.4109649658203
2024-01-12,193.4259033203125
2024-01-16,190.40663146972656
2024-01-17,187.94944763183594
2024-01-18,190.2076873779297
2024-01-19,192.6101531982422
2024-01-22,199.8125762939453
2024-01-23,196.09695434570312
2024-01-24,194.82359313964844
2024-01-25,196.69384765625
2024-01-26,195.31605529785156
2024-01-29,197.58421325683594
2024-01-30,196.90774536132812
2024-01-31,194.4953155517578
2024-02-01,195.07728576660156
2024-02-02,203.2844696044922
2024-02-05,206.14454650878906
2024-02-06,211.6707000732422
2024-02-07,215.1028289794922
2024-02-08,216.4507598876953
2024-02-09,216.53533935546875
2024-02-12,213.43649291992188
2024-02-13,210.86990356445312
2024-02-14,214.44622802734375
2024-02-15,215.04310607910156
2024-02-16,210.6261749267578
2024-02-20,208.6166534423828
2024-02-21,211.10865783691406
2024-02-22,217.33119201660156
2024-02-23,218.9676513671875
2024-02-26,221.78793334960938
2024-02-27,219.3854522705078
2024-02-28,215.32664489746094
2024-02-29,220.09178161621094
2024-03-01,220.98712158203125
2024-03-04,221.95704650878906
2024-03-05,214.17352294921875
2024-03-06,216.8527069091797
2024-03-07,220.6423797607422
2024-03-08,213.28213500976562
2024-03-11,215.56790161132812
2024-03-12,219.62648010253906
2024-03-13,216.0360107421875
2024-03-14,212.4256134033203
2024-03-15,209.70660400390625
