,DPZ
2018-06-05,244.42437744140625
2018-06-06,250.93911743164062
2018-06-07,253.1820831298828
2018-06-08,251.3206787109375
2018-06-11,251.06939697265625
2018-06-12,254.2616424560547
2018-06-13,254.6153106689453
2018-06-14,255.19349670410156
2018-06-15,258.63458251953125
2018-06-18,262.728515625
2018-06-19,268.0068359375
2018-06-20,268.482421875
2018-06-21,271.1494140625
2018-06-22,272.6695556640625
2018-06-25,260.6582336425781
2018-06-26,264.0153503417969
2018-06-27,262.4861145019531
2018-06-28,263.064208984375
2018-06-29,263.1388854980469
2018-07-02,262.04779052734375
2018-07-03,261.2365417480469
2018-07-05,259.00762939453125
2018-07-06,260.3225402832031
2018-07-09,259.5018615722656
2018-07-10,254.01852416992188
2018-07-11,260.7981872558594
2018-07-12,260.2106628417969
2018-07-13,262.4207763671875
2018-07-16,260.3598327636719
2018-07-17,263.0176696777344
2018-07-18,264.5469665527344
2018-07-19,258.08441162109375
2018-07-20,258.4761047363281
2018-07-23,253.42161560058594
2018-07-24,245.3271026611328
2018-07-25,244.5157928466797
2018-07-26,242.46409606933594
2018-07-27,243.11692810058594
2018-07-30,239.11624145507812
2018-07-31,244.94473266601562
2018-08-01,252.10667419433594
2018-08-02,258.08441162109375
2018-08-03,260.6489562988281
2018-08-06,261.2457275390625
2018-08-07,258.7371520996094
2018-08-08,267.5684509277344
2018-08-09,271.7929992675781
2018-08-10,271.6624450683594
2018-08-13,269.1351623535156
2018-08-14,268.11871337890625
2018-08-15,265.0225830078125
2018-08-16,268.31463623046875
2018-08-17,265.81524658203125
2018-08-20,265.5448303222656
2018-08-21,267.9880676269531
2018-08-22,271.8768615722656
2018-08-23,269.8812561035156
2018-08-24,277.8546447753906
2018-08-27,277.7987060546875
2018-08-28,279.23468017578125
2018-08-29,280.36322021484375
2018-08-30,280.39117431640625
2018-08-31,278.42333984375
2018-09-04,276.59564208984375
2018-09-05,270.26361083984375
2018-09-06,270.93499755859375
2018-09-07,274.23626708984375
2018-09-10,273.9658203125
2018-09-11,267.2886962890625
2018-09-12,266.0018310546875
2018-09-13,266.1418762207031
2018-09-14,261.6663818359375
2018-09-17,256.5741882324219
2018-09-18,263.31085205078125
2018-09-19,261.1244812011719
2018-09-20,264.15179443359375
2018-09-21,267.43133544921875
2018-09-24,270.01953125
2018-09-25,271.701416015625
2018-09-26,270.197021484375
2018-09-27,274.186767578125
2018-09-28,275.4481201171875
2018-10-01,266.7773132324219
2018-10-02,263.7500305175781
2018-10-03,267.225830078125
2018-10-04,263.2735290527344
2018-10-05,264.33868408203125
2018-10-08,261.8438720703125
2018-10-09,265.5252380371094
2018-10-10,256.87310791015625
2018-10-11,253.09829711914062
2018-10-12,259.13421630859375
2018-10-15,255.02316284179688
2018-10-16,242.58682250976562
2018-10-17,250.1177215576172
2018-10-18,248.89366149902344
2018-10-19,250.17379760742188
2018-10-22,250.17379760742188
2018-10-23,248.37051391601562
2018-10-24,238.71859741210938
2018-10-25,244.5863494873047
2018-10-26,244.09109497070312
2018-10-29,239.6529541015625
2018-10-30,248.75355529785156
2018-10-31,251.1454620361328
2018-11-01,248.5853729248047
2018-11-02,247.88462829589844
2018-11-05,243.17550659179688
2018-11-06,246.25885009765625
2018-11-07,253.6497039794922
2018-11-08,255.2192840576172
2018-11-09,256.34051513671875
2018-11-12,251.42588806152344
2018-11-13,247.33331298828125
2018-11-14,248.65081787109375
2018-11-15,242.57749938964844
2018-11-16,247.24928283691406
2018-11-19,235.52308654785156
2018-11-20,238.4663543701172
2018-11-21,242.54945373535156
2018-11-23,245.26846313476562
2018-11-26,248.8750762939453
2018-11-27,250.94935607910156
2018-11-28,255.8266143798828
2018-11-29,261.7877502441406
2018-11-30,259.1155700683594
2018-12-03,258.21868896484375
2018-12-04,248.5573272705078
2018-12-06,248.91246032714844
2018-12-07,241.3628387451172
2018-12-10,238.4569854736328
2018-12-11,235.45770263671875
2018-12-12,233.29000854492188
2018-12-13,234.25450134277344
2018-12-14,233.17764282226562
2018-12-17,226.791259765625
2018-12-18,229.09483337402344
2018-12-19,224.15989685058594
2018-12-20,220.42359924316406
2018-12-21,224.26292419433594
2018-12-24,219.44976806640625
2018-12-26,233.08395385742188
2018-12-27,232.6719512939453
2018-12-28,234.05789184570312
2018-12-31,232.2224884033203
2019-01-02,227.83065795898438
2019-01-03,224.45022583007812
2019-01-04,228.1116180419922
2019-01-07,230.7616729736328
2019-01-08,226.80999755859375
2019-01-09,230.91152954101562
2019-01-10,230.53692626953125
2019-01-11,233.1588592529297
2019-01-14,228.64535522460938
2019-01-15,232.12881469726562
2019-01-16,231.1549530029297
2019-01-17,242.4762725830078
2019-01-18,250.45449829101562
2019-01-22,246.68075561523438
2019-01-23,255.79208374023438
2019-01-24,259.275634765625
2019-01-25,266.0927734375
2019-01-28,262.0006103515625
2019-01-29,257.3747253417969
2019-01-30,259.4441833496094
2019-01-31,265.6900634765625
2019-02-01,260.6896057128906
2019-02-04,263.1991271972656
2019-02-05,270.8966369628906
2019-02-06,269.5856018066406
2019-02-07,270.5220031738281
2019-02-08,271.71124267578125
2019-02-11,276.1123962402344
2019-02-12,268.94879150390625
2019-02-13,270.4377136230469
2019-02-14,268.9206848144531
2019-02-15,263.7423400878906
2019-02-19,261.47625732421875
2019-02-20,260.78326416015625
2019-02-21,236.9232635498047
2019-02-22,244.13372802734375
2019-02-25,239.66700744628906
2019-02-26,236.73602294921875
2019-02-27,236.455078125
2019-02-28,234.9849395751953
2019-03-01,234.78826904296875
2019-03-04,232.76559448242188
2019-03-05,233.4772491455078
2019-03-06,232.79368591308594
2019-03-07,232.17567443847656
2019-03-08,234.5915985107422
2019-03-11,231.2860565185547
2019-03-12,224.740478515625
2019-03-13,229.76907348632812
2019-03-14,232.14447021484375
2019-03-15,229.34652709960938
2019-03-18,228.53912353515625
2019-03-19,233.5622100830078
2019-03-20,229.03672790527344
2019-03-21,230.07891845703125
2019-03-22,224.63319396972656
2019-03-25,227.74102783203125
2019-03-26,230.4075164794922
2019-03-27,232.454345703125
2019-03-28,238.406982421875
2019-03-29,242.33164978027344
2019-04-01,234.2100372314453
2019-04-02,230.238525390625
2019-04-03,237.64645385742188
2019-04-04,233.73123168945312
2019-04-05,239.0078887939453
2019-04-08,232.37921142578125
2019-04-09,232.68907165527344
2019-04-10,233.73123168945312
2019-04-11,239.9374237060547
2019-04-12,241.87152099609375
2019-04-15,243.08274841308594
2019-04-16,239.74024963378906
2019-04-17,249.0447235107422
2019-04-18,251.26060485839844
2019-04-22,249.74899291992188
2019-04-23,253.69236755371094
2019-04-24,266.104736328125
2019-04-25,259.5605773925781
2019-04-26,256.7249755859375
2019-04-29,252.4436798095703
2019-04-30,254.04917907714844
2019-05-01,254.87535095214844
2019-05-02,257.5605773925781
2019-05-03,262.658935546875
2019-05-06,264.7903137207031
2019-05-07,260.443115234375
2019-05-08,265.8511657714844
2019-05-09,264.92169189453125
2019-05-10,261.3633117675781
2019-05-13,257.1476135253906
2019-05-14,256.1898193359375
2019-05-15,259.76715087890625
2019-05-16,260.8656311035156
2019-05-17,264.0672302246094
2019-05-20,267.4567565917969
2019-05-21,267.56005859375
2019-05-22,267.05291748046875
2019-05-23,267.8793029785156
2019-05-24,265.3442077636719
2019-05-28,263.5791015625
2019-05-29,260.7622985839844
2019-05-30,260.3398132324219
2019-05-31,262.4241943359375
2019-06-03,259.5981140136719
