,WTW
2020-03-10,175.66087341308594
2020-03-11,176.20372009277344
2020-03-12,161.7423858642578
2020-03-13,168.51910400390625
2020-03-16,153.51486206054688
2020-03-17,162.0419158935547
2020-03-18,147.09384155273438
2020-03-19,142.8256378173828
2020-03-20,142.86309814453125
2020-03-23,138.1175537109375
2020-03-24,158.98123168945312
2020-03-25,153.2808380126953
2020-03-26,154.90951538085938
2020-03-27,156.51011657714844
2020-03-30,162.54383850097656
2020-03-31,159.63037109375
2020-04-01,146.79225158691406
2020-04-02,148.87867736816406
2020-04-03,147.63807678222656
2020-04-06,164.80882263183594
2020-04-07,167.9384765625
2020-04-08,178.6149444580078
2020-04-09,184.2257080078125
2020-04-13,178.28599548339844
2020-04-14,185.1468048095703
2020-04-15,174.47967529296875
2020-04-16,177.80673217773438
2020-04-17,183.63363647460938
2020-04-20,177.5247344970703
2020-04-21,171.5192413330078
2020-04-22,174.6770477294922
2020-04-23,166.35015869140625
2020-04-24,166.55690002441406
2020-04-27,165.40090942382812
2020-04-28,164.40469360351562
2020-04-29,164.71484375
2020-04-30,167.56251525878906
2020-05-01,172.30865478515625
2020-05-04,172.4966278076172
2020-05-05,178.43634033203125
2020-05-06,172.59060668945312
2020-05-07,181.52842712402344
2020-05-08,185.47573852539062
2020-05-11,187.96630859375
2020-05-12,188.70875549316406
2020-05-13,185.30653381347656
2020-05-14,189.52635192871094
2020-05-15,188.41737365722656
2020-05-18,192.4210662841797
2020-05-19,190.7763671875
2020-05-20,190.43804931640625
2020-05-21,188.11660766601562
2020-05-22,186.56591796875
2020-05-26,189.51698303222656
2020-05-27,192.2519073486328
2020-05-28,193.27630615234375
2020-05-29,190.6917724609375
2020-06-01,190.27825927734375
2020-06-02,189.0283203125
2020-06-03,192.56202697753906
2020-06-04,191.77259826660156
2020-06-05,194.3665008544922
2020-06-08,191.74440002441406
2020-06-09,188.9154815673828
2020-06-10,187.1298065185547
2020-06-11,174.57366943359375
2020-06-12,175.5322723388672
2020-06-15,177.96646118164062
2020-06-16,180.0999298095703
2020-06-17,185.47573852539062
2020-06-18,184.3197479248047
2020-06-19,177.48716735839844
2020-06-22,182.01715087890625
2020-06-23,182.30845642089844
2020-06-24,179.3668212890625
2020-06-25,187.3177490234375
2020-06-26,182.8441925048828
2020-06-29,181.95765686035156
2020-06-30,185.74899291992188
2020-07-01,184.14572143554688
2020-07-02,185.41891479492188
2020-07-06,186.24884033203125
2020-07-07,185.40003967285156
2020-07-08,187.90879821777344
2020-07-09,187.70127868652344
2020-07-10,190.82302856445312
2020-07-13,190.01194763183594
2020-07-14,192.35093688964844
2020-07-15,194.39749145507812
2020-07-16,195.6895751953125
2020-07-17,196.6421661376953
2020-07-20,196.1045684814453
2020-07-21,198.9810791015625
2020-07-22,200.42408752441406
2020-07-23,199.94309997558594
2020-07-24,199.49037170410156
2020-07-27,199.48094177246094
2020-07-28,198.000244140625
2020-07-29,198.179443359375
2020-07-30,199.4620819091797
2020-07-31,198.06626892089844
2020-08-03,193.01107788085938
2020-08-04,193.08656311035156
2020-08-05,191.0022430419922
2020-08-06,188.57838439941406
2020-08-07,188.1256866455078
2020-08-10,185.87161254882812
2020-08-11,184.85304260253906
2020-08-12,184.27772521972656
2020-08-13,187.44664001464844
2020-08-14,190.04971313476562
2020-08-17,190.20057678222656
2020-08-18,189.8610382080078
2020-08-19,191.7378692626953
2020-08-20,190.6061248779297
2020-08-21,186.81472778320312
2020-08-24,183.53265380859375
2020-08-25,186.04139709472656
2020-08-26,190.10629272460938
2020-08-27,193.86932373046875
2020-08-28,193.9636688232422
2020-08-31,193.841064453125
2020-09-01,196.51953125
2020-09-02,203.87591552734375
2020-09-03,197.52871704101562
2020-09-04,196.57614135742188
2020-09-08,191.57754516601562
2020-09-09,197.29290771484375
2020-09-10,195.48208618164062
2020-09-11,194.39749145507812
2020-09-14,194.47293090820312
2020-09-15,194.5200958251953
2020-09-16,195.1708526611328
2020-09-17,194.01083374023438
2020-09-18,193.63357543945312
2020-09-21,191.0116729736328
2020-09-22,192.0867919921875
2020-09-23,192.38861083984375
2020-09-24,187.0410919189453
2020-09-25,187.37118530273438
2020-09-28,195.0859832763672
2020-09-29,196.9027557373047
2020-09-30,197.59349060058594
2020-10-01,198.78575134277344
2020-10-02,198.34104919433594
2020-10-05,198.84259033203125
2020-10-06,197.8111114501953
2020-10-07,199.7698974609375
2020-10-08,199.7225799560547
2020-10-09,200.07264709472656
2020-10-12,205.3621368408203
2020-10-13,201.12298583984375
2020-10-14,201.10409545898438
2020-10-15,204.9741668701172
2020-10-16,205.10665893554688
2020-10-19,201.2744140625
2020-10-20,198.1422882080078
