,JKHY
2017-12-01,105.123291015625
2017-12-04,106.46002960205078
2017-12-05,105.80548858642578
2017-12-06,106.82879638671875
2017-12-07,107.6861343383789
2017-12-08,108.12864685058594
2017-12-11,107.75989532470703
2017-12-12,107.22518920898438
2017-12-13,107.18830108642578
2017-12-14,106.99472045898438
2017-12-15,109.00444030761719
2017-12-18,109.04131317138672
2017-12-19,108.6817855834961
2017-12-20,108.61723327636719
2017-12-21,108.23925018310547
2017-12-22,107.71381378173828
2017-12-26,107.7045669555664
2017-12-27,107.78753662109375
2017-12-28,108.12864685058594
2017-12-29,107.82443237304688
2018-01-02,107.11456298828125
2018-01-03,107.25286102294922
2018-01-04,109.37322235107422
2018-01-05,110.42416381835938
2018-01-08,110.46102142333984
2018-01-09,111.56730651855469
2018-01-10,112.77497863769531
2018-01-11,113.09764862060547
2018-01-12,113.74295806884766
2018-01-16,114.06564331054688
2018-01-17,115.04286193847656
2018-01-18,114.71094512939453
2018-01-19,115.37470245361328
2018-01-22,115.53143310546875
2018-01-23,116.15830993652344
2018-01-24,115.37470245361328
2018-01-25,115.74347686767578
2018-01-26,116.64691925048828
2018-01-29,116.53629302978516
2018-01-30,115.46692657470703
2018-01-31,114.92298889160156
2018-02-01,114.92298889160156
2018-02-02,113.35576629638672
2018-02-05,108.75552368164062
2018-02-06,108.75552368164062
2018-02-07,108.07333374023438
2018-02-08,105.43675231933594
2018-02-09,106.32173919677734
2018-02-12,107.21599578857422
2018-02-13,107.98112487792969
2018-02-14,109.96321105957031
2018-02-15,111.46588134765625
2018-02-16,112.5445327758789
2018-02-20,111.5580825805664
2018-02-21,110.10149383544922
2018-02-22,110.77447509765625
2018-02-23,112.42466735839844
2018-02-26,111.95452117919922
2018-02-27,110.22132873535156
2018-02-28,108.47357177734375
2018-03-01,108.82496643066406
2018-03-02,110.12886047363281
2018-03-05,111.90438079833984
2018-03-06,112.72743225097656
2018-03-07,113.01409912109375
2018-03-08,113.18055725097656
2018-03-09,114.60467529296875
2018-03-12,114.12380981445312
2018-03-13,114.72489166259766
2018-03-14,115.6033935546875
2018-03-15,115.6033935546875
2018-03-16,115.82537078857422
2018-03-19,115.50170135498047
2018-03-20,115.92705535888672
2018-03-21,115.89933013916016
2018-03-22,113.27302551269531
2018-03-23,110.23058319091797
2018-03-26,111.7841796875
2018-03-27,110.71145629882812
2018-03-28,110.54500579833984
2018-03-29,111.84889221191406
2018-04-02,110.37854766845703
2018-04-03,110.68372344970703
2018-04-04,111.20158386230469
2018-04-05,111.33104705810547
2018-04-06,109.47229766845703
2018-04-09,109.57402038574219
2018-04-10,111.47900390625
2018-04-11,111.16458129882812
2018-04-12,111.09986114501953
2018-04-13,110.52648162841797
2018-04-16,112.1725845336914
2018-04-17,113.26377868652344
2018-04-18,113.81861114501953
2018-04-19,113.07881927490234
2018-04-20,112.29277801513672
2018-04-23,112.44075012207031
2018-04-24,111.59923553466797
2018-04-25,110.27684020996094
2018-04-26,112.55172729492188
2018-04-27,111.0721206665039
2018-04-30,110.48951721191406
2018-05-01,112.29277801513672
2018-05-02,109.05614471435547
2018-05-03,111.76569366455078
2018-05-04,113.66143798828125
2018-05-07,112.63496398925781
2018-05-08,112.94011688232422
2018-05-09,113.49496459960938
2018-05-10,113.78164672851562
2018-05-11,114.66014862060547
2018-05-14,113.04183959960938
2018-05-15,112.3205337524414
2018-05-16,113.07881927490234
2018-05-17,113.05107879638672
2018-05-18,113.19903564453125
2018-05-21,113.1343002319336
2018-05-22,111.52963256835938
2018-05-23,112.94878387451172
2018-05-24,113.28271484375
2018-05-25,112.90242004394531
2018-05-29,113.1992416381836
2018-05-30,114.85958862304688
2018-05-31,116.0004653930664
2018-06-01,115.77786254882812
2018-06-04,117.64225006103516
2018-06-05,117.92049407958984
2018-06-06,119.775634765625
2018-06-07,119.28401184082031
2018-06-08,120.25797271728516
2018-06-11,119.70144653320312
2018-06-12,120.17449188232422
2018-06-13,120.20231628417969
2018-06-14,121.5936508178711
2018-06-15,121.77915954589844
2018-06-18,122.53974151611328
2018-06-19,123.50440216064453
2018-06-20,121.64002227783203
2018-06-21,121.5379867553711
2018-06-22,121.79771423339844
2018-06-25,120.09099578857422
2018-06-26,120.5176773071289
2018-06-27,119.10780334472656
2018-06-28,120.03535461425781
2018-06-29,120.91654205322266
2018-07-02,121.1391372680664
2018-07-03,122.21512603759766
2018-07-05,123.0035400390625
2018-07-06,123.97747039794922
2018-07-09,124.8679428100586
2018-07-10,124.52474975585938
2018-07-11,125.49867248535156
2018-07-12,127.02913665771484
2018-07-13,125.5728759765625
2018-07-16,125.37806701660156
2018-07-17,126.39835357666016
2018-07-18,125.96246337890625
2018-07-19,125.96246337890625
2018-07-20,126.06449127197266
2018-07-23,126.97348022460938
2018-07-24,127.48365020751953
2018-07-25,128.33700561523438
2018-07-26,128.66162109375
2018-07-27,127.43729400634766
2018-07-30,125.32241821289062
2018-07-31,124.942138671875
2018-08-01,126.19436645507812
2018-08-02,128.1699981689453
2018-08-03,128.5874481201172
2018-08-06,129.6541290283203
2018-08-07,130.3033905029297
2018-08-08,130.31272888183594
2018-08-09,130.7950439453125
2018-08-10,130.5260467529297
2018-08-13,131.4072265625
2018-08-14,132.70578002929688
2018-08-15,132.538818359375
2018-08-16,132.1770477294922
2018-08-17,132.8634796142578
2018-08-20,134.02294921875
2018-08-21,133.66119384765625
2018-08-22,144.04055786132812
2018-08-23,145.2556610107422
2018-08-24,146.9901885986328
2018-08-27,145.8214874267578
2018-08-28,145.6359405517578
2018-08-29,146.2110595703125
2018-08-30,146.70266723632812
2018-08-31,146.96241760253906
2018-09-04,147.7415008544922
2018-09-05,146.53570556640625
2018-09-06,148.01051330566406
2018-09-07,148.40936279296875
2018-09-10,148.56739807128906
2018-09-11,149.22747802734375
2018-09-12,150.1851043701172
2018-09-13,150.44541931152344
2018-09-14,151.4123077392578
2018-09-17,148.69757080078125
2018-09-18,149.90621948242188
2018-09-19,148.22341918945312
2018-09-20,149.01365661621094
2018-09-21,148.01889038085938
2018-09-24,148.2977752685547
2018-09-25,148.5302276611328
2018-09-26,147.12637329101562
2018-09-27,148.0002899169922
2018-09-28,148.82769775390625
2018-10-01,147.86080932617188
2018-10-02,147.93524169921875
2018-10-03,147.87945556640625
2018-10-04,146.70803833007812
2018-10-05,147.50753784179688
2018-10-08,143.47259521484375
2018-10-09,145.57376098632812
2018-10-10,139.49343872070312
2018-10-11,136.96463012695312
2018-10-12,139.53062438964844
2018-10-15,139.24241638183594
2018-10-16,143.38893127441406
2018-10-17,143.93743896484375
2018-10-18,142.18959045410156
2018-10-19,142.19888305664062
2018-10-22,143.10069274902344
2018-10-23,141.1390380859375
2018-10-24,138.3870849609375
2018-10-25,139.85601806640625
2018-10-26,138.48008728027344
2018-10-29,135.8118133544922
2018-10-30,137.44805908203125
2018-10-31,139.29820251464844
2018-11-01,139.1029815673828
2018-11-02,138.72178649902344
2018-11-05,139.19595336914062
2018-11-06,140.14425659179688
2018-11-07,136.3417510986328
2018-11-08,133.04127502441406
2018-11-09,131.5537567138672
2018-11-12,131.37709045410156
2018-11-13,128.9598388671875
2018-11-14,126.16143798828125
2018-11-15,128.9040985107422
2018-11-16,129.1643829345703
2018-11-19,125.76166534423828
2018-11-20,125.3340072631836
2018-11-21,126.61698913574219
2018-11-23,126.21717834472656
2018-11-26,127.47232818603516
2018-11-27,126.45896911621094
2018-11-28,130.85643005371094
2018-11-29,129.350341796875
2018-11-30,130.22659301757812
2018-12-03,131.7180938720703
2018-12-04,127.8588638305664
2018-12-06,126.73087310791016
2018-12-07,124.68006134033203
2018-12-10,125.63090515136719
2018-12-11,125.3419418334961
2018-12-12,125.60294342041016
2018-12-13,124.65208435058594
2018-12-14,122.46147155761719
2018-12-17,120.01913452148438
2018-12-18,119.69287872314453
2018-12-19,118.58356475830078
2018-12-20,117.46493530273438
2018-12-21,115.1717758178711
2018-12-24,112.85992431640625
2018-12-26,116.85902404785156
2018-12-27,117.7072982788086
2018-12-28,116.78445434570312
2018-12-31,117.94036102294922
2019-01-02,115.76834869384766
