,GOOGL
2018-07-27,62.41823196411133
2018-07-30,61.27985763549805
2018-07-31,61.139366149902344
2018-08-01,61.42682647705078
2018-08-02,61.83235168457031
2018-08-03,61.684391021728516
2018-08-06,61.65997314453125
2018-08-07,62.56520080566406
2018-08-08,62.83870315551758
2018-08-09,62.99463653564453
2018-08-10,62.399295806884766
2018-08-13,62.20649719238281
2018-08-14,62.67978286743164
2018-08-15,61.38846206665039
2018-08-16,60.98193359375
2018-08-17,60.57292175292969
2018-08-20,60.87681579589844
2018-08-21,60.650634765625
2018-08-22,60.866851806640625
2018-08-23,60.837459564208984
2018-08-24,61.61414337158203
2018-08-27,62.58661651611328
2018-08-28,62.067996978759766
2018-08-29,63.00410079956055
2018-08-30,62.495452880859375
2018-08-31,61.36753463745117
2018-09-04,60.346736907958984
2018-09-05,59.73844528198242
2018-09-06,58.98567581176758
2018-09-07,58.666831970214844
2018-09-10,58.5407829284668
2018-09-11,59.28459167480469
2018-09-12,58.368412017822266
2018-09-13,58.89350509643555
2018-09-14,58.686256408691406
2018-09-17,57.78203582763672
2018-09-18,58.144718170166016
2018-09-19,58.501426696777344
2018-09-20,59.36330032348633
2018-09-21,58.39431381225586
2018-09-24,58.76497268676758
2018-09-25,59.4788818359375
2018-09-26,59.48735427856445
2018-09-27,60.14995193481445
2018-09-28,60.13600158691406
2018-10-01,60.20823669433594
2018-10-02,60.163902282714844
2018-10-03,60.357696533203125
2018-10-04,58.64092254638672
2018-10-05,58.18059158325195
2018-10-08,57.587242126464844
2018-10-09,57.05168151855469
2018-10-10,54.4107551574707
2018-10-11,54.34001541137695
2018-10-12,55.82463073730469
2018-10-15,54.92290115356445
2018-10-16,56.449363708496094
2018-10-17,56.17585754394531
2018-10-18,54.69721603393555
2018-10-19,55.05940246582031
2018-10-22,55.3677864074707
2018-10-23,55.54414749145508
2018-10-24,52.66508102416992
2018-10-25,54.980194091796875
2018-10-26,53.99177551269531
2018-10-29,51.549625396728516
2018-10-30,52.285953521728516
2018-10-31,54.3320426940918
2018-11-01,54.10287094116211
2018-11-02,53.38098907470703
2018-11-05,52.59583282470703
2018-11-06,53.285335540771484
2018-11-07,55.211849212646484
2018-11-08,54.53380584716797
2018-11-09,53.656494140625
2018-11-12,52.27848815917969
2018-11-13,52.20923614501953
2018-11-14,52.53853988647461
2018-11-15,53.35906982421875
2018-11-16,53.22057342529297
2018-11-19,51.185447692871094
2018-11-20,51.33639907836914
2018-11-21,51.983062744140625
2018-11-23,51.3189697265625
2018-11-26,52.606300354003906
2018-11-27,52.42395782470703
2018-11-28,54.39232635498047
2018-11-29,54.53131866455078
2018-11-30,55.28209686279297
2018-12-03,55.61638641357422
2018-12-04,52.93162155151367
2018-12-06,53.70930099487305
2018-12-07,52.139984130859375
2018-12-10,52.46879577636719
2018-12-11,52.89076614379883
2018-12-12,53.49258804321289
2018-12-13,53.48311996459961
2018-12-14,52.39555740356445
2018-12-17,51.097267150878906
2018-12-18,51.98206329345703
2018-12-19,51.585994720458984
2018-12-20,50.99414825439453
2018-12-21,49.38348388671875
2018-12-24,49.05567169189453
2018-12-26,52.2032585144043
2018-12-27,52.4548454284668
2018-12-28,52.14496994018555
2018-12-31,52.05928421020508
2019-01-02,52.54352951049805
2019-01-03,51.08829879760742
