,ED
2020-01-13,73.68563842773438
2020-01-14,73.67723083496094
2020-01-15,74.66764831542969
2020-01-16,74.84391784667969
2020-01-17,75.74200439453125
2020-01-21,76.2372055053711
2020-01-22,76.51419830322266
2020-01-23,77.86552429199219
2020-01-24,78.5705795288086
2020-01-27,78.40271759033203
2020-01-28,79.04901123046875
2020-01-29,79.26721954345703
2020-01-30,79.51903533935547
2020-01-31,78.8979263305664
2020-02-03,78.77201843261719
2020-02-04,77.67247009277344
2020-02-05,78.39432525634766
2020-02-06,78.45306396484375
2020-02-07,77.8739242553711
2020-02-10,78.125732421875
2020-02-11,78.20966339111328
2020-02-12,77.94947052001953
2020-02-13,78.59576416015625
2020-02-14,79.14973449707031
2020-02-18,79.8393783569336
2020-02-19,79.441650390625
2020-02-20,80.03400421142578
2020-02-21,76.31071472167969
2020-02-24,75.2190933227539
2020-02-25,74.67752838134766
2020-02-26,74.20365905761719
2020-02-27,70.39573669433594
2020-02-28,66.69783020019531
2020-03-02,71.52965545654297
2020-03-03,70.94575500488281
2020-03-04,74.47444152832031
2020-03-05,74.11056518554688
2020-03-06,74.38136291503906
2020-03-09,75.02448272705078
2020-03-10,75.6506576538086
2020-03-11,73.1966781616211
2020-03-12,70.90347290039062
2020-03-13,74.52522277832031
2020-03-16,67.31554412841797
2020-03-17,79.441650390625
2020-03-18,78.02002716064453
2020-03-19,67.77250671386719
