,UDR
2019-12-31,38.82831573486328
2020-01-02,38.34608459472656
2020-01-03,38.653724670410156
2020-01-06,38.57056427001953
2020-01-07,38.09664535522461
2020-01-08,38.14653778076172
2020-01-09,38.249568939208984
2020-01-10,38.57627868652344
2020-01-13,39.02863693237305
2020-01-14,38.89460754394531
2020-01-15,39.263187408447266
2020-01-16,39.64854049682617
2020-01-17,39.74906539916992
2020-01-21,40.20979309082031
2020-01-22,40.03388214111328
2020-01-23,40.36058044433594
2020-01-24,40.36058044433594
2020-01-27,40.25168228149414
2020-01-28,40.37733840942383
2020-01-29,40.10927963256836
2020-01-30,40.36058044433594
2020-01-31,40.13440704345703
2020-02-03,40.260066986083984
2020-02-04,40.611900329589844
2020-02-05,40.586769104003906
2020-02-06,40.737552642822266
2020-02-07,40.90509796142578
2020-02-10,41.38258743286133
2020-02-11,41.4328498840332
2020-02-12,41.290435791015625
2020-02-13,41.55850601196289
2020-02-14,42.15326690673828
2020-02-18,42.24542236328125
2020-02-19,42.036006927490234
2020-02-20,42.49673080444336
2020-02-21,42.66427230834961
2020-02-24,42.320804595947266
2020-02-25,41.457977294921875
2020-02-26,41.28205871582031
2020-02-27,39.38047790527344
2020-02-28,37.679935455322266
2020-03-02,39.43910217285156
2020-03-03,39.68204879760742
2020-03-04,41.340694427490234
2020-03-05,40.829708099365234
2020-03-06,40.469486236572266
2020-03-09,38.182552337646484
2020-03-10,39.3553466796875
2020-03-11,37.294593811035156
2020-03-12,34.57204818725586
2020-03-13,37.411869049072266
2020-03-16,30.84426498413086
2020-03-17,32.53643035888672
2020-03-18,29.763626098632812
2020-03-19,28.280895233154297
2020-03-20,26.831663131713867
2020-03-23,25.16463279724121
2020-03-24,25.893434524536133
2020-03-25,27.552085876464844
2020-03-26,29.97305679321289
2020-03-27,31.782487869262695
2020-03-30,31.598190307617188
2020-03-31,30.609710693359375
2020-04-01,27.62748146057129
2020-04-02,26.764646530151367
2020-04-03,26.488204956054688
2020-04-06,29.60446548461914
2020-04-07,29.947925567626953
2020-04-08,32.71508026123047
2020-04-09,34.79679489135742
2020-04-13,32.63045883178711
2020-04-14,33.307437896728516
2020-04-15,31.31035041809082
2020-04-16,30.997241973876953
2020-04-17,32.952022552490234
2020-04-20,30.777223587036133
2020-04-21,30.10870361328125
2020-04-22,31.022626876831055
2020-04-23,30.633365631103516
2020-04-24,30.70952796936035
2020-04-27,31.834997177124023
2020-04-28,31.95348358154297
2020-04-29,32.24965286254883
2020-04-30,31.70806312561035
2020-05-01,30.548734664916992
2020-05-04,30.921079635620117
2020-05-05,30.971851348876953
2020-05-06,30.50642204284668
2020-05-07,32.02117156982422
2020-05-08,32.44429016113281
2020-05-11,31.97040557861328
2020-05-12,30.574127197265625
2020-05-13,29.77021026611328
2020-05-14,29.533267974853516
2020-05-15,29.414798736572266
2020-05-18,31.217260360717773
2020-05-19,30.371034622192383
2020-05-20,30.70105743408203
2020-05-21,30.354110717773438
2020-05-22,30.70105743408203
2020-05-26,32.36812210083008
2020-05-27,32.41043472290039
2020-05-28,32.53736877441406
2020-05-29,31.293424606323242
2020-06-01,31.95348358154297
2020-06-02,31.86885643005371
2020-06-03,33.163570404052734
2020-06-04,32.78278350830078
2020-06-05,35.28760528564453
2020-06-08,36.19306945800781
2020-06-09,35.27914047241211
2020-06-10,34.11134719848633
2020-06-11,31.987327575683594
2020-06-12,33.07895278930664
2020-06-15,32.85894012451172
2020-06-16,33.93364334106445
2020-06-17,32.57968521118164
2020-06-18,32.097328186035156
2020-06-19,31.95348358154297
2020-06-22,31.94502067565918
