,LNT
2020-12-02,47.25027084350586
2020-12-03,46.846431732177734
2020-12-04,46.42502212524414
2020-12-07,46.82886505126953
2020-12-08,46.31967544555664
2020-12-09,45.91581344604492
2020-12-10,45.52953338623047
2020-12-11,45.3978385925293
2020-12-14,45.07300567626953
2020-12-15,45.986053466796875
2020-12-16,45.33638381958008
2020-12-17,45.4154052734375
2020-12-18,44.818389892578125
2020-12-21,44.195064544677734
2020-12-22,44.054603576660156
2020-12-23,43.49272537231445
2020-12-24,43.91413497924805
2020-12-28,44.16873550415039
2020-12-29,44.3179817199707
2020-12-30,44.56379699707031
2020-12-31,45.239810943603516
2021-01-04,44.32676696777344
2021-01-05,44.11605453491211
2021-01-06,44.77450942993164
2021-01-07,43.1152229309082
2021-01-08,43.3259162902832
2021-01-11,42.62356948852539
2021-01-12,42.16704177856445
2021-01-13,42.79916000366211
2021-01-14,42.219730377197266
2021-01-15,43.431270599365234
2021-01-19,43.57174301147461
2021-01-20,43.82633590698242
2021-01-21,43.677093505859375
2021-01-22,43.37860107421875
2021-01-25,44.33554458618164
2021-01-26,43.756103515625
2021-01-27,43.00109100341797
2021-01-28,43.340126037597656
2021-01-29,43.06570053100586
2021-02-01,43.331268310546875
2021-02-02,43.39323425292969
2021-02-03,43.47290802001953
2021-02-04,43.78273010253906
2021-02-05,43.97747802734375
2021-02-08,43.428646087646484
2021-02-09,43.2338981628418
2021-02-10,43.481754302978516
2021-02-11,43.11881637573242
2021-02-12,42.747032165527344
2021-02-16,42.33097839355469
2021-02-17,42.69392013549805
2021-02-18,43.03030014038086
2021-02-19,42.16278839111328
2021-02-22,41.72018051147461
2021-02-23,42.69392013549805
2021-02-24,42.07426071166992
2021-02-25,41.93263626098633
2021-02-26,40.861515045166016
2021-03-01,41.68476867675781
2021-03-02,41.70247268676758
2021-03-03,41.52542495727539
2021-03-04,41.782142639160156
2021-03-05,42.83555603027344
2021-03-08,44.004032135009766
2021-03-09,44.15452194213867
2021-03-10,44.605979919433594
2021-03-11,44.25189208984375
2021-03-12,45.25217819213867
2021-03-15,46.65082550048828
2021-03-16,46.65082550048828
2021-03-17,45.77445983886719
2021-03-18,45.836421966552734
2021-03-19,45.82757568359375
2021-03-22,45.597415924072266
2021-03-23,46.978355407714844
2021-03-24,47.19965744018555
2021-03-25,47.58029556274414
2021-03-26,47.77505111694336
2021-03-29,48.36814498901367
2021-03-30,47.943241119384766
2021-03-31,47.943241119384766
2021-04-01,48.12028503417969
2021-04-05,48.545188903808594
2021-04-06,48.52748489379883
2021-04-07,48.14683532714844
2021-04-08,47.93439483642578
2021-04-09,47.81045913696289
2021-04-12,47.98749923706055
2021-04-13,48.2530632019043
2021-04-14,48.58059310913086
2021-04-15,49.28876876831055
2021-04-16,49.71366882324219
2021-04-19,49.7402229309082
2021-04-20,50.82903289794922
2021-04-21,50.528072357177734
