,LRCX
2023-01-20,43.83856201171875
2023-01-23,45.53458786010742
2023-01-24,45.23027038574219
2023-01-25,45.31377410888672
2023-01-26,46.18125915527344
2023-01-27,44.80162048339844
2023-01-30,44.407310485839844
2023-01-31,46.399295806884766
2023-02-01,49.197540283203125
2023-02-02,50.19771194458008
2023-02-03,49.10383224487305
2023-02-06,48.33375549316406
2023-02-07,49.47402572631836
2023-02-08,48.05171203613281
2023-02-09,47.8299674987793
2023-02-10,46.853912353515625
2023-02-13,47.34471893310547
2023-02-14,47.893985748291016
2023-02-15,48.27252960205078
2023-02-16,46.51340866088867
2023-02-17,45.98735809326172
2023-02-21,44.375755310058594
2023-02-22,44.278343200683594
2023-02-23,45.033565521240234
2023-02-24,44.40545654296875
2023-02-27,44.78585433959961
2023-02-28,45.0920295715332
2023-03-01,45.54757308959961
2023-03-02,45.46036148071289
2023-03-03,45.61530685424805
2023-03-06,45.01873016357422
2023-03-07,44.502872467041016
2023-03-08,45.777671813964844
2023-03-09,45.488197326660156
2023-03-10,44.4249382019043
2023-03-13,44.25607681274414
2023-03-14,45.99782943725586
2023-03-15,45.3525276184082
2023-03-16,47.97283172607422
2023-03-17,47.33684539794922
2023-03-20,47.7959098815918
2023-03-21,47.24373245239258
2023-03-22,47.145023345947266
