,WBA
2019-06-19,39.561222076416016
2019-06-20,39.5462646484375
2019-06-21,39.22468948364258
2019-06-24,38.85076141357422
2019-06-25,39.598602294921875
2019-06-26,39.17233657836914
2019-06-27,40.772727966308594
2019-06-28,40.88490676879883
2019-07-01,40.86995315551758
2019-07-02,41.10177993774414
2019-07-03,41.27378845214844
2019-07-05,41.27378845214844
2019-07-08,41.45327377319336
2019-07-09,41.5056266784668
2019-07-10,41.55797576904297
2019-07-11,41.595367431640625
2019-07-12,41.685115814208984
2019-07-15,41.79728317260742
2019-07-16,41.737457275390625
2019-07-17,40.772727966308594
2019-07-18,40.99708557128906
2019-07-19,40.71290588378906
2019-07-22,40.338985443115234
2019-07-23,40.86995315551758
2019-07-24,41.28126525878906
2019-07-25,40.952213287353516
2019-07-26,41.169090270996094
2019-07-29,41.22144317626953
2019-07-30,41.43083953857422
2019-07-31,40.75029754638672
2019-08-01,40.436195373535156
2019-08-02,40.144535064697266
2019-08-05,38.79093933105469
2019-08-06,38.47684097290039
2019-08-07,39.24711990356445
2019-08-08,39.650962829589844
2019-08-09,39.47895431518555
2019-08-12,38.888160705566406
2019-08-13,39.68836212158203
2019-08-14,37.699073791503906
2019-08-15,36.861480712890625
2019-08-16,37.751426696777344
2019-08-19,38.610260009765625
2019-08-20,38.2404670715332
2019-08-21,38.4140510559082
2019-08-22,38.451778411865234
2019-08-23,37.22163009643555
2019-08-26,37.7650032043457
2019-08-27,37.319740295410156
2019-08-28,37.697086334228516
2019-08-29,38.03670120239258
2019-08-30,38.63290023803711
2019-09-03,38.05934143066406
2019-09-04,38.81404113769531
2019-09-05,39.49326705932617
2019-09-06,39.666839599609375
2019-09-09,41.95356369018555
2019-09-10,42.92713165283203
2019-09-11,43.81766891479492
2019-09-12,41.93093490600586
2019-09-13,42.25545883178711
2019-09-16,41.764896392822266
2019-09-17,41.38755416870117
2019-09-18,41.063026428222656
2019-09-19,41.18378829956055
2019-09-20,41.508304595947266
2019-09-23,40.995113372802734
2019-09-24,40.47437286376953
2019-09-25,41.025291442871094
2019-09-26,40.813987731933594
2019-09-27,41.063026428222656
2019-09-30,41.74226379394531
2019-10-01,41.28188705444336
2019-10-02,39.87060546875
2019-10-03,39.69703674316406
2019-10-04,39.97626495361328
2019-10-07,39.81778335571289
2019-10-08,39.3121337890625
2019-10-09,39.30458450317383
2019-10-10,39.946075439453125
2019-10-11,40.74605941772461
2019-10-14,40.50455856323242
2019-10-15,41.14604568481445
2019-10-16,41.251708984375
2019-10-17,42.21772003173828
2019-10-18,41.73470687866211
2019-10-21,41.19887924194336
2019-10-22,41.74980163574219
2019-10-23,41.176231384277344
2019-10-24,41.09321212768555
2019-10-25,41.82527160644531
2019-10-28,42.112060546875
2019-10-29,42.466766357421875
2019-10-30,42.15733337402344
2019-10-31,41.34226989746094
2019-11-01,43.304481506347656
2019-11-04,45.017642974853516
