,GOOG
2020-04-20,63.103763580322266
2020-04-21,60.59926223754883
2020-04-22,62.93436813354492
2020-04-23,63.5870246887207
2020-04-24,63.736488342285156
2020-04-27,63.56560134887695
2020-04-28,61.46265411376953
2020-04-29,66.83385467529297
2020-04-30,67.19158172607422
2020-05-01,65.7940902709961
2020-05-04,66.10248565673828
2020-05-05,67.31362915039062
2020-05-06,67.12381744384766
2020-05-07,68.3823013305664
2020-05-08,69.16996765136719
2020-05-11,69.91180419921875
2020-05-12,68.54073333740234
2020-05-13,67.22496032714844
2020-05-14,67.56373596191406
2020-05-15,68.41368865966797
2020-05-18,68.94925689697266
2020-05-19,68.42838287353516
2020-05-20,70.08417510986328
2020-05-21,69.88888549804688
2020-05-22,70.26851654052734
2020-05-26,70.59732818603516
2020-05-27,70.63818359375
2020-05-28,70.5828857421875
2020-05-29,71.1902084350586
2020-06-01,71.3346939086914
2020-06-02,71.70336151123047
2020-06-03,71.56187438964844
2020-06-04,70.356201171875
2020-06-05,71.6620101928711
2020-06-08,72.07154083251953
2020-06-09,72.54733276367188
2020-06-10,73.03009796142578
2020-06-11,69.9406967163086
2020-06-12,70.40602111816406
2020-06-15,70.73832702636719
2020-06-16,71.87773895263672
2020-06-17,72.29623413085938
2020-06-18,71.54093933105469
2020-06-19,71.32970428466797
2020-06-22,72.3331069946289
2020-06-23,72.9583511352539
2020-06-24,71.3421630859375
2020-06-25,71.80847930908203
2020-06-26,67.7515640258789
2020-06-29,69.49878692626953
2020-06-30,70.42744445800781
2020-07-01,71.64456939697266
2020-07-02,72.9728012084961
2020-07-06,74.51725006103516
2020-07-07,73.9931411743164
2020-07-08,74.5322036743164
2020-07-09,75.27901458740234
2020-07-10,76.81100463867188
2020-07-13,75.29645538330078
2020-07-14,75.75679779052734
2020-07-15,75.41104125976562
2020-07-16,75.62825775146484
2020-07-17,75.50618743896484
2020-07-20,78.00572967529297
2020-07-21,77.64202117919922
2020-07-22,78.14372253417969
2020-07-23,75.51266479492188
2020-07-24,75.32286071777344
2020-07-27,76.23607635498047
