,STLD
2020-01-10,29.61692237854004
2020-01-13,30.124286651611328
2020-01-14,30.450443267822266
2020-01-15,29.92496109008789
2020-01-16,29.861541748046875
2020-01-17,30.088041305541992
2020-01-21,28.9193058013916
2020-01-22,29.05521011352539
2020-01-23,28.656572341918945
2020-01-24,27.859302520751953
2020-01-27,27.487842559814453
2020-01-28,27.81399917602539
2020-01-29,27.42442512512207
2020-01-30,27.58750343322754
2020-01-31,27.071081161499023
2020-02-03,27.188858032226562
2020-02-04,27.125444412231445
2020-02-05,27.28852081298828
2020-02-06,26.68150520324707
2020-02-07,26.29193687438965
2020-02-10,26.373472213745117
2020-02-11,26.8898868560791
2020-02-12,26.636207580566406
2020-02-13,26.373472213745117
2020-02-14,25.76645278930664
2020-02-18,26.020130157470703
2020-02-19,26.391584396362305
2020-02-20,26.590906143188477
2020-02-21,26.898944854736328
2020-02-24,26.56372833251953
2020-02-25,25.413122177124023
2020-02-26,25.240978240966797
2020-02-27,24.362167358398438
2020-02-28,24.126604080200195
2020-03-02,24.72456169128418
2020-03-03,24.153783798217773
2020-03-04,24.7789249420166
2020-03-05,23.238737106323242
2020-03-06,22.604541778564453
2020-03-09,19.198001861572266
2020-03-10,20.466394424438477
2020-03-11,19.161760330200195
2020-03-12,16.97831916809082
2020-03-13,19.795957565307617
2020-03-16,16.19916343688965
2020-03-17,15.836762428283691
2020-03-18,14.042898178100586
2020-03-19,16.76993751525879
2020-03-20,17.041738510131836
2020-03-23,16.208221435546875
2020-03-24,18.908084869384766
2020-03-25,17.820892333984375
2020-03-26,18.663467407226562
2020-03-27,18.382604598999023
2020-03-30,20.024566650390625
2020-03-31,20.67584991455078
2020-04-01,20.125465393066406
2020-04-02,19.52922821044922
2020-04-03,19.244861602783203
2020-04-06,20.73088264465332
2020-04-07,20.905174255371094
2020-04-08,21.556455612182617
2020-04-09,21.978403091430664
2020-04-13,21.712392807006836
2020-04-14,21.299604415893555
2020-04-15,20.04291343688965
2020-04-16,20.41900062561035
2020-04-17,21.5289306640625
2020-04-20,20.703367233276367
2020-04-21,20.382308959960938
2020-04-22,20.951038360595703
2020-04-23,22.079307556152344
2020-04-24,21.593141555786133
2020-04-27,22.868181228637695
2020-04-28,22.67555046081543
2020-04-29,23.748790740966797
2020-04-30,22.262767791748047
2020-05-01,22.39118766784668
