,DHR
2018-07-25,89.38623809814453
2018-07-26,89.6020736694336
2018-07-27,88.7042236328125
2018-07-30,87.89271545410156
2018-07-31,88.55744934082031
2018-08-01,88.0567398071289
2018-08-02,87.58192443847656
2018-08-03,87.51286315917969
2018-08-06,88.3243637084961
2018-08-07,88.28118133544922
2018-08-08,88.01356506347656
2018-08-09,87.806396484375
2018-08-10,86.61503601074219
2018-08-13,86.20928192138672
2018-08-14,87.01213836669922
2018-08-15,86.40785217285156
2018-08-16,86.7445297241211
2018-08-17,86.9430923461914
2018-08-20,86.83086395263672
2018-08-21,86.85676574707031
2018-08-22,86.92582702636719
2018-08-23,86.11431884765625
2018-08-24,86.45964813232422
2018-08-27,88.45387268066406
2018-08-28,88.66106414794922
2018-08-29,89.48983001708984
2018-08-30,88.92869567871094
2018-08-31,89.38623809814453
2018-09-04,89.39485931396484
2018-09-05,89.79197692871094
2018-09-06,90.30132293701172
2018-09-07,90.3531494140625
2018-09-10,90.7588882446289
2018-09-11,90.86248016357422
2018-09-12,91.32865905761719
2018-09-13,92.73585510253906
2018-09-14,92.26103973388672
2018-09-17,91.48406219482422
2018-09-18,92.16606903076172
2018-09-19,92.81355285644531
2018-09-20,93.21063995361328
2018-09-21,93.30561065673828
2018-09-24,93.08980560302734
2018-09-25,93.25383758544922
2018-09-26,94.01354217529297
2018-09-27,93.52938079833984
2018-09-28,93.94436645507812
2018-10-01,94.48904418945312
2018-10-02,94.2037353515625
2018-10-03,93.83196258544922
2018-10-04,92.50917053222656
2018-10-05,92.49188995361328
2018-10-08,91.30744171142578
2018-10-09,92.2757568359375
2018-10-10,89.77711486816406
2018-10-11,87.55519104003906
2018-10-12,89.3794174194336
2018-10-15,88.17767333984375
2018-10-16,90.82327270507812
2018-10-17,90.74543762207031
2018-10-18,87.52925109863281
2018-10-19,86.79437255859375
2018-10-22,85.21218872070312
2018-10-23,84.22657775878906
2018-10-24,82.8346176147461
2018-10-25,84.97874450683594
2018-10-26,83.9844970703125
2018-10-29,83.73377990722656
2018-10-30,84.48595428466797
2018-10-31,85.93841552734375
2018-11-01,86.9067611694336
2018-11-02,87.53791046142578
2018-11-05,87.97882843017578
2018-11-06,87.511962890625
2018-11-07,89.97599029541016
2018-11-08,90.56389617919922
2018-11-09,90.25263977050781
2018-11-12,87.79725646972656
2018-11-13,86.88082122802734
2018-11-14,87.09696197509766
2018-11-15,87.88370513916016
2018-11-16,89.22380828857422
2018-11-19,87.58108520507812
2018-11-20,88.16036224365234
2018-11-21,88.99900817871094
2018-11-23,88.54078674316406
2018-11-26,89.29296875
2018-11-27,89.91545867919922
2018-11-28,92.48323822021484
2018-11-29,93.32188415527344
2018-11-30,94.70519256591797
2018-12-03,93.92709350585938
2018-12-04,91.90397644042969
