,NI
2018-01-16,19.001060485839844
2018-01-17,19.095949172973633
2018-01-18,18.961517333984375
2018-01-19,18.92989158630371
2018-01-22,18.937795639038086
2018-01-23,19.111757278442383
2018-01-24,19.119667053222656
2018-01-25,19.309436798095703
2018-01-26,19.372695922851562
2018-01-29,19.151296615600586
2018-01-30,19.333158493041992
2018-01-31,19.515029907226562
2018-02-01,19.167104721069336
2018-02-02,18.953609466552734
2018-02-05,18.597789764404297
2018-02-06,18.40802001953125
2018-02-07,18.25777816772461
2018-02-08,17.950759887695312
2018-02-09,18.413280487060547
2018-02-12,18.42922592163086
2018-02-13,18.44517707824707
2018-02-14,18.134174346923828
2018-02-15,18.636571884155273
2018-02-16,18.724287033081055
2018-02-20,18.357460021972656
2018-02-21,18.182018280029297
2018-02-22,18.405303955078125
2018-02-23,18.819984436035156
2018-02-26,18.812009811401367
2018-02-27,18.596698760986328
2018-02-28,18.44517707824707
2018-03-01,18.477081298828125
2018-03-02,18.477081298828125
2018-03-05,18.764162063598633
2018-03-06,18.508974075317383
2018-03-07,18.3016357421875
2018-03-08,18.405303955078125
2018-03-09,18.30961036682129
2018-03-12,18.453157424926758
2018-03-13,18.453157424926758
2018-03-14,18.588726043701172
2018-03-15,18.65252113342285
2018-03-16,18.684419631958008
2018-03-19,18.532899856567383
2018-03-20,18.48505973815918
2018-03-21,18.572776794433594
2018-03-22,18.65252113342285
2018-03-23,18.389358520507812
2018-03-26,18.65252113342285
2018-03-27,18.971498489379883
2018-03-28,18.915681838989258
2018-03-29,19.06719970703125
2018-04-02,19.019351959228516
2018-04-03,19.154916763305664
2018-04-04,19.290491104125977
2018-04-05,19.48187255859375
2018-04-06,19.338333129882812
2018-04-09,19.258590698242188
2018-04-10,19.226688385009766
2018-04-11,19.12302017211914
2018-04-12,18.756187438964844
2018-04-13,18.78011131286621
2018-04-16,19.05124855041504
2018-04-17,19.250612258911133
2018-04-18,19.099090576171875
2018-04-19,19.13896942138672
2018-04-20,18.939607620239258
2018-04-23,19.035303115844727
2018-04-24,19.083147048950195
2018-04-25,19.06719970703125
2018-04-26,19.36225700378418
2018-04-27,19.70391845703125
2018-04-30,19.607450485229492
2018-05-01,19.711959838867188
2018-05-02,20.403322219848633
2018-05-03,20.556066513061523
2018-05-04,20.427440643310547
2018-05-07,20.48371696472168
2018-05-08,20.178232192993164
2018-05-09,19.816469192504883
2018-05-10,20.025484085083008
2018-05-11,20.04156494140625
2018-05-14,19.977249145507812
2018-05-15,19.84862518310547
2018-05-16,19.61548614501953
2018-05-17,19.58333396911621
2018-05-18,19.63961410522461
2018-05-21,19.61548614501953
2018-05-22,19.61548614501953
2018-05-23,19.832544326782227
2018-05-24,19.977249145507812
2018-05-25,20.178232192993164
2018-05-29,20.154111862182617
2018-05-30,20.3470516204834
2018-05-31,20.339012145996094
2018-06-01,19.88882064819336
2018-06-04,19.687843322753906
2018-06-05,19.494903564453125
2018-06-06,18.92412567138672
2018-06-07,18.940204620361328
2018-06-08,18.908042907714844
2018-06-11,18.707067489624023
2018-06-12,19.076868057250977
2018-06-13,19.13313865661621
2018-06-14,19.285884857177734
2018-06-15,19.50294303894043
2018-06-18,19.607450485229492
2018-06-19,19.832544326782227
2018-06-20,19.937055587768555
2018-06-21,19.92098045349121
2018-06-22,20.146072387695312
2018-06-25,20.63646125793457
2018-06-26,20.556066513061523
2018-06-27,20.76508903503418
2018-06-28,20.99822425842285
2018-06-29,21.12685203552246
2018-07-02,21.319786071777344
2018-07-03,21.488609313964844
2018-07-05,21.54488182067871
2018-07-06,21.60919189453125
2018-07-09,20.949989318847656
2018-07-10,21.094690322875977
2018-07-11,21.20723533630371
2018-07-12,21.14292335510254
2018-07-13,21.14292335510254
2018-07-16,21.11077117919922
2018-07-17,20.99822425842285
2018-07-18,20.821361541748047
2018-07-19,21.022336959838867
2018-07-20,20.861555099487305
2018-07-23,20.692731857299805
2018-07-24,20.732929229736328
2018-07-25,20.732929229736328
2018-07-26,20.99822425842285
2018-07-27,21.03841781616211
2018-07-30,20.831876754760742
2018-07-31,21.204458236694336
2018-08-01,20.97767448425293
2018-08-02,21.293554306030273
2018-08-03,21.536537170410156
2018-08-06,21.698524475097656
2018-08-07,21.496042251586914
2018-08-08,21.439342498779297
2018-08-09,21.47173500061035
2018-08-10,21.552738189697266
2018-08-13,21.73092269897461
