,DRI
2022-09-23,113.21471405029297
2022-09-26,112.07694244384766
2022-09-27,114.31549835205078
2022-09-28,118.1451416015625
2022-09-29,119.62520599365234
2022-09-30,116.85009765625
2022-10-03,116.0083236694336
2022-10-04,122.30780029296875
2022-10-05,123.1218032836914
2022-10-06,120.9000244140625
2022-10-07,117.33399963378906
2022-10-10,118.24884033203125
2022-10-11,119.98519134521484
2022-10-12,121.60017395019531
2022-10-13,124.13002014160156
2022-10-14,121.37614440917969
2022-10-17,123.16851043701172
2022-10-18,124.56875610351562
2022-10-19,124.15802001953125
2022-10-20,123.43920135498047
2022-10-21,124.45674896240234
2022-10-24,125.09153747558594
2022-10-25,126.9305648803711
2022-10-26,129.31103515625
2022-10-27,131.3740997314453
2022-10-28,133.01712036132812
2022-10-31,133.6239013671875
2022-11-01,133.53054809570312
2022-11-02,130.4219512939453
2022-11-03,130.19789123535156
2022-11-04,131.9435577392578
2022-11-07,130.5432891845703
2022-11-08,130.82334899902344
2022-11-09,130.3659210205078
2022-11-10,135.6682891845703
2022-11-11,131.77552795410156
2022-11-14,133.05445861816406
2022-11-15,133.58657836914062
2022-11-16,135.7616424560547
2022-11-17,136.34043884277344
2022-11-18,137.35797119140625
2022-11-21,136.94725036621094
2022-11-22,138.1514892578125
2022-11-23,138.46885681152344
2022-11-25,138.52487182617188
2022-11-28,137.0592498779297
2022-11-29,135.3229217529297
2022-11-30,137.21792602539062
2022-12-01,135.967041015625
2022-12-02,135.80831909179688
