,HES
2018-01-17,48.449485778808594
2018-01-18,48.288055419921875
2018-01-19,47.18489074707031
2018-01-22,47.95621109008789
2018-01-23,48.09073257446289
2018-01-24,48.32392120361328
2018-01-25,48.06382369995117
2018-01-26,48.15351867675781
2018-01-29,46.91582107543945
2018-01-30,45.31040573120117
2018-01-31,45.30143356323242
2018-02-01,45.37318801879883
2018-02-02,42.861907958984375
2018-02-05,39.9022102355957
2018-02-06,41.22063064575195
2018-02-07,39.561397552490234
2018-02-08,38.56586837768555
2018-02-09,37.776611328125
2018-02-12,39.58830642700195
2018-02-13,38.386478424072266
2018-02-14,40.691463470458984
2018-02-15,40.8349723815918
2018-02-16,40.942604064941406
2018-02-20,41.113006591796875
2018-02-21,40.56589889526367
2018-02-22,42.225135803222656
2018-02-23,42.93367004394531
2018-02-26,42.85294723510742
2018-02-27,41.67803955078125
2018-02-28,40.73632049560547
2018-03-01,40.960540771484375
2018-03-02,41.866390228271484
2018-03-05,43.44490051269531
2018-03-06,43.48077392578125
2018-03-07,41.687007904052734
2018-03-08,41.88431930541992
2018-03-09,43.46284103393555
2018-03-12,43.633235931396484
2018-03-13,43.409019470214844
2018-03-14,43.561492919921875
2018-03-15,43.82158279418945
2018-03-16,44.15513229370117
2018-03-19,42.33412170410156
2018-03-20,43.623252868652344
2018-03-21,45.696685791015625
2018-03-22,45.164817810058594
2018-03-23,44.58785629272461
2018-03-26,45.507381439208984
2018-03-27,44.957462310791016
2018-03-28,43.92976379394531
2018-03-29,45.63358688354492
2018-04-02,43.72241973876953
2018-04-03,45.48032760620117
2018-04-04,45.985164642333984
2018-04-05,47.364444732666016
2018-04-06,46.057289123535156
2018-04-09,46.517051696777344
2018-04-10,48.40117263793945
2018-04-11,49.5190315246582
2018-04-12,49.582122802734375
2018-04-13,50.7720947265625
2018-04-16,50.69996643066406
2018-04-17,50.7811164855957
2018-04-18,52.21446990966797
2018-04-19,52.46690368652344
2018-04-20,52.115325927734375
2018-04-23,52.77341079711914
2018-04-24,51.97107696533203
2018-04-25,53.49460220336914
2018-04-26,52.68326187133789
2018-04-27,51.05156326293945
2018-04-30,51.37610626220703
2018-05-01,51.97107696533203
2018-05-02,51.935028076171875
2018-05-03,52.0972900390625
2018-05-04,52.92667007446289
2018-05-07,53.386417388916016
2018-05-08,54.90993881225586
2018-05-09,56.20809555053711
2018-05-10,57.064517974853516
2018-05-11,56.541648864746094
2018-05-14,56.9112663269043
2018-05-15,57.20875930786133
2018-05-16,57.34397888183594
2018-05-17,58.75029754638672
2018-05-18,58.290557861328125
2018-05-21,58.840450286865234
2018-05-22,57.533302307128906
2018-05-23,56.902244567871094
2018-05-24,56.253170013427734
2018-05-25,53.33234405517578
2018-05-29,53.57573318481445
2018-05-30,54.95502853393555
2018-05-31,54.46821212768555
2018-06-01,55.712276458740234
2018-06-04,54.83784103393555
2018-06-05,55.06320571899414
2018-06-06,55.50493240356445
2018-06-07,56.1900749206543
2018-06-08,55.74834060668945
2018-06-11,55.712276458740234
2018-06-12,54.51329040527344
2018-06-13,54.53131866455078
2018-06-14,54.96405029296875
2018-06-15,54.34850311279297
2018-06-18,55.7606201171875
2018-06-19,55.57958221435547
2018-06-20,56.70203399658203
2018-06-21,55.86018753051758
2018-06-22,58.44908142089844
2018-06-25,56.38520812988281
2018-06-26,57.72492218017578
2018-06-27,59.354286193847656
2018-06-28,59.34521484375
2018-06-29,60.54914855957031
