,GEN
2021-12-06,22.77716064453125
2021-12-07,23.15147590637207
2021-12-08,22.84266471862793
2021-12-09,22.365413665771484
2021-12-10,22.758445739746094
2021-12-13,22.99239158630371
2021-12-14,22.711654663085938
2021-12-15,23.22633934020996
2021-12-16,23.881393432617188
2021-12-17,24.068553924560547
2021-12-20,24.12470245361328
2021-12-21,23.9468994140625
2021-12-22,23.956260681152344
2021-12-23,24.208921432495117
2021-12-27,24.452228546142578
2021-12-28,24.49901580810547
2021-12-29,24.60195541381836
2021-12-30,24.51773452758789
2021-12-31,24.311857223510742
2022-01-03,24.639385223388672
2022-01-04,24.845258712768555
2022-01-05,24.51773452758789
2022-01-06,25.322511672973633
2022-01-07,24.901411056518555
2022-01-10,25.125999450683594
2022-01-11,25.163429260253906
2022-01-12,24.873334884643555
2022-01-13,24.892051696777344
2022-01-14,25.154067993164062
2022-01-18,25.041778564453125
2022-01-19,24.667457580566406
2022-01-20,24.59259796142578
2022-01-21,24.386722564697266
2022-01-24,24.452228546142578
2022-01-25,23.86268424987793
2022-01-26,23.712953567504883
2022-01-27,23.684879302978516
2022-01-28,23.993690490722656
2022-01-31,24.33993148803711
2022-02-01,24.3305721282959
2022-02-02,24.396080017089844
2022-02-03,23.750383377075195
2022-02-04,25.818483352661133
2022-02-07,26.482894897460938
2022-02-08,28.139245986938477
2022-02-09,28.784944534301758
2022-02-10,28.410625457763672
2022-02-11,27.942731857299805
2022-02-14,27.587127685546875
2022-02-15,27.278318405151367
2022-02-16,26.988222122192383
2022-02-17,26.379959106445312
2022-02-18,26.290660858154297
2022-02-22,25.548095703125
2022-02-23,24.946516036987305
2022-02-24,25.623291015625
2022-02-25,26.741844177246094
2022-02-28,27.240020751953125
2022-03-01,27.127225875854492
2022-03-02,27.832195281982422
2022-03-03,27.973190307617188
2022-03-04,27.437410354614258
2022-03-07,26.647844314575195
2022-03-08,25.736083984375
2022-03-09,26.06507110595703
2022-03-10,26.243663787841797
2022-03-11,25.96167755126953
2022-03-14,27.324613571166992
2022-03-15,28.30217742919922
2022-03-16,24.54233741760254
2022-03-17,24.373146057128906
2022-03-18,25.801883697509766
2022-03-21,25.56689453125
2022-03-22,25.745485305786133
2022-03-23,25.792482376098633
2022-03-24,26.375255584716797
2022-03-25,26.59145164489746
2022-03-28,26.488056182861328
2022-03-29,25.4540958404541
2022-03-30,25.5574951171875
2022-03-31,24.927722930908203
2022-04-01,25.32250213623047
2022-04-04,25.350698471069336
2022-04-05,25.41649627685547
2022-04-06,25.16271209716797
2022-04-07,25.529294967651367
2022-04-08,25.18151092529297
2022-04-11,25.012319564819336
2022-04-12,24.84312629699707
2022-04-13,25.256710052490234
2022-04-14,25.04051399230957
2022-04-18,24.95591926574707
2022-04-19,25.256710052490234
2022-04-20,25.350698471069336
2022-04-21,24.673931121826172
2022-04-22,23.987762451171875
2022-04-25,24.31674575805664
2022-04-26,23.92196273803711
2022-04-27,23.997163772583008
2022-04-28,24.19455337524414
2022-04-29,23.536579132080078
2022-05-02,23.865564346313477
2022-05-03,23.527183532714844
2022-05-04,23.536579132080078
2022-05-05,22.66242218017578
2022-05-06,23.216995239257812
2022-05-09,23.094799041748047
2022-05-10,23.03840446472168
2022-05-11,22.888011932373047
2022-05-12,22.248836517333984
2022-05-13,22.512025833129883
2022-05-16,22.49322509765625
2022-05-17,22.82221221923828
2022-05-18,22.371028900146484
2022-05-19,22.33343505859375
2022-05-20,22.850412368774414
2022-05-23,23.169994354248047
2022-05-24,23.141799926757812
2022-05-25,23.094799041748047
2022-05-26,23.404985427856445
2022-05-27,23.57417869567871
2022-05-31,22.87860870361328
2022-06-01,22.89740753173828
2022-06-02,23.179397583007812
2022-06-03,23.198196411132812
2022-06-06,23.169994354248047
2022-06-07,23.420358657836914
2022-06-08,23.19361686706543
2022-06-09,22.929086685180664
2022-06-10,21.68201446533203
2022-06-13,21.00179672241211
2022-06-14,20.775054931640625
2022-06-15,20.784502029418945
2022-06-16,20.60500144958496
