,AMAT
2020-07-30,61.91897964477539
2020-07-31,61.83246994018555
2020-08-03,62.4860725402832
2020-08-04,62.3322868347168
2020-08-05,62.35150146484375
2020-08-06,61.140419006347656
2020-08-07,61.101985931396484
2020-08-10,62.707149505615234
2020-08-11,61.957427978515625
2020-08-12,63.9182243347168
2020-08-13,62.54374694824219
2020-08-14,64.9947509765625
2020-08-17,64.34113311767578
2020-08-18,63.8509635925293
2020-08-19,63.52305603027344
2020-08-20,61.51715850830078
2020-08-21,60.05132293701172
2020-08-24,61.46894836425781
2020-08-25,61.76789855957031
2020-08-26,61.48823547363281
2020-08-27,59.81987762451172
2020-08-28,60.82281494140625
2020-08-31,59.405208587646484
2020-09-01,59.684871673583984
2020-09-02,62.761207580566406
2020-09-03,59.27018356323242
2020-09-04,58.78799819946289
2020-09-08,53.64791488647461
2020-09-09,53.23323059082031
2020-09-10,53.15607452392578
2020-09-11,53.040348052978516
2020-09-14,54.44833755493164
2020-09-15,55.16197204589844
2020-09-16,54.45798110961914
2020-09-17,54.33260726928711
2020-09-18,54.14938735961914
2020-09-21,55.277687072753906
2020-09-22,55.827392578125
2020-09-23,55.2101936340332
2020-09-24,55.7309455871582
2020-09-25,56.155277252197266
2020-09-28,57.24501037597656
2020-09-29,57.524681091308594
2020-09-30,57.33180618286133
2020-10-01,58.48904800415039
2020-10-02,56.135982513427734
2020-10-05,58.440826416015625
2020-10-06,58.247962951660156
2020-10-07,58.94230651855469
2020-10-08,60.36956024169922
2020-10-09,61.03499221801758
2020-10-12,62.375457763671875
2020-10-13,62.385101318359375
2020-10-14,61.70039749145508
2020-10-15,61.24713897705078
2020-10-16,60.75531768798828
2020-10-19,59.839168548583984
2020-10-20,60.041683197021484
2020-10-21,59.89701843261719
2020-10-22,59.50163269042969
2020-10-23,58.77835464477539
2020-10-26,57.38966369628906
2020-10-27,56.73389434814453
2020-10-28,55.277687072753906
2020-10-29,57.3800163269043
2020-10-30,57.11964416503906
2020-11-02,58.18044662475586
2020-11-03,59.62700271606445
2020-11-04,62.549041748046875
2020-11-05,67.45768737792969
2020-11-06,68.01701354980469
2020-11-09,68.75959014892578
2020-11-10,66.91767120361328
2020-11-11,68.62460327148438
2020-11-12,67.31303405761719
2020-11-13,70.21578216552734
2020-11-16,71.82628631591797
2020-11-17,71.72021484375
2020-11-18,73.22907257080078
2020-11-19,74.7186279296875
2020-11-20,74.20597839355469
2020-11-23,77.86212921142578
2020-11-24,80.23184204101562
2020-11-25,78.48115539550781
2020-11-27,79.95133972167969
2020-11-30,79.77725219726562
2020-12-01,81.50859069824219
2020-12-02,82.49516296386719
2020-12-03,83.27863311767578
2020-12-04,85.92882537841797
2020-12-07,86.218994140625
2020-12-08,86.80900573730469
2020-12-09,84.94226837158203
2020-12-10,85.00996398925781
2020-12-11,85.4065170288086
2020-12-14,85.59996795654297
2020-12-15,85.57096099853516
2020-12-16,85.64832305908203
2020-12-17,84.63274383544922
2020-12-18,83.26893615722656
2020-12-21,83.57847595214844
2020-12-22,82.83368682861328
2020-12-23,81.27645874023438
2020-12-24,82.53384399414062
2020-12-28,82.08891296386719
2020-12-29,81.50859069824219
2020-12-30,84.1297836303711
2020-12-31,83.47206115722656
2021-01-04,84.02338409423828
2021-01-05,86.66393280029297
2021-01-06,87.8536376953125
2021-01-07,91.46138763427734
2021-01-08,92.42861938476562
2021-01-11,94.74998474121094
2021-01-12,96.7328109741211
2021-01-13,94.8370361328125
2021-01-14,102.33309173583984
2021-01-15,99.76024627685547
2021-01-19,105.6410140991211
2021-01-20,104.30622863769531
2021-01-21,104.43197631835938
2021-01-22,102.8457260131836
2021-01-25,104.5770492553711
2021-01-26,102.0719223022461
2021-01-27,95.34966278076172
2021-01-28,97.83544921875
2021-01-29,93.51193237304688
2021-02-01,97.89347076416016
2021-02-02,100.19548034667969
2021-02-03,96.59739685058594
2021-02-04,99.8569564819336
2021-02-05,97.40985870361328
2021-02-08,102.71031188964844
2021-02-09,101.92684173583984
2021-02-10,102.41045379638672
2021-02-11,109.29713439941406
2021-02-12,112.87589263916016
2021-02-16,114.47183227539062
2021-02-17,111.9183349609375
2021-02-18,109.71305084228516
2021-02-19,115.54545593261719
2021-02-22,111.45407104492188
2021-02-23,112.33425903320312
2021-02-24,119.01112365722656
2021-02-25,110.40580749511719
2021-02-26,114.53402709960938
2021-03-01,118.46844482421875
2021-03-02,113.86537170410156
2021-03-03,111.86910247802734
2021-03-04,104.89183807373047
2021-03-05,109.94065856933594
2021-03-08,102.41099548339844
2021-03-09,110.68684387207031
2021-03-10,109.19447326660156
2021-03-11,113.5649642944336
