,AON
2018-05-09,133.3043670654297
2018-05-10,136.08763122558594
2018-05-11,135.94607543945312
2018-05-14,135.13465881347656
2018-05-15,132.813720703125
2018-05-16,132.07778930664062
2018-05-17,132.97412109375
2018-05-18,133.3137664794922
2018-05-21,134.04966735839844
2018-05-22,134.83279418945312
2018-05-23,134.10629272460938
2018-05-24,134.3421630859375
2018-05-25,134.1817626953125
2018-05-29,130.53994750976562
2018-05-30,132.30426025390625
2018-05-31,131.96458435058594
2018-06-01,132.16270446777344
2018-06-04,133.3892364501953
2018-06-05,132.7665557861328
2018-06-06,133.6251220703125
2018-06-07,134.01193237304688
2018-06-08,134.889404296875
2018-06-11,134.5780029296875
2018-06-12,133.8515625
2018-06-13,133.2854461669922
2018-06-14,132.28536987304688
2018-06-15,131.64378356933594
2018-06-18,132.33248901367188
2018-06-19,131.80422973632812
2018-06-20,129.82289123535156
2018-06-21,128.8321990966797
2018-06-22,129.38885498046875
2018-06-25,129.91725158691406
2018-06-26,129.9644012451172
2018-06-27,127.36042785644531
2018-06-28,128.48313903808594
2018-06-29,129.41717529296875
2018-07-02,129.49264526367188
2018-07-03,129.33230590820312
2018-07-05,130.40786743164062
2018-07-06,131.7287139892578
2018-07-09,134.4742431640625
2018-07-10,134.7478485107422
2018-07-11,134.4364776611328
2018-07-12,135.74795532226562
2018-07-13,136.0498504638672
2018-07-16,137.00277709960938
2018-07-17,137.38958740234375
2018-07-18,139.01235961914062
2018-07-19,137.88961791992188
2018-07-20,137.89907836914062
2018-07-23,138.87083435058594
2018-07-24,138.8802947998047
2018-07-25,139.36148071289062
2018-07-26,139.8144073486328
2018-07-27,136.33291625976562
2018-07-30,135.2855987548828
2018-07-31,135.81546020507812
2018-08-01,134.65174865722656
2018-08-02,133.78128051757812
2018-08-03,135.4086456298828
2018-08-06,136.0330810546875
2018-08-07,135.69247436523438
2018-08-08,135.6546630859375
2018-08-09,135.65464782714844
2018-08-10,134.4971160888672
2018-08-13,133.28271484375
2018-08-14,133.6337432861328
2018-08-15,133.8899383544922
2018-08-16,135.5028533935547
2018-08-17,136.10052490234375
2018-08-20,135.6830596923828
2018-08-21,136.9639129638672
2018-08-22,135.806396484375
2018-08-23,135.82540893554688
2018-08-24,137.98858642578125
2018-08-27,137.8842315673828
2018-08-28,137.61856079101562
2018-08-29,138.6527099609375
2018-08-30,136.98292541503906
2018-08-31,138.10243225097656
2018-09-04,139.3453369140625
2018-09-05,140.16127014160156
2018-09-06,142.72293090820312
2018-09-07,142.3339385986328
2018-09-10,142.06829833984375
2018-09-11,143.28269958496094
2018-09-12,143.33963012695312
2018-09-13,143.65274047851562
2018-09-14,144.18405151367188
2018-09-17,144.3548126220703
