,TGT
2022-08-03,156.0086669921875
2022-08-04,154.7451171875
2022-08-05,154.34561157226562
2022-08-08,155.1260528564453
2022-08-09,153.4072723388672
2022-08-10,157.634521484375
2022-08-11,157.5694580078125
2022-08-12,160.24517822265625
2022-08-15,161.09063720703125
2022-08-16,168.45753479003906
2022-08-17,163.92332458496094
2022-08-18,161.782470703125
2022-08-19,156.1637725830078
2022-08-22,151.41455078125
2022-08-23,151.42391967773438
2022-08-24,152.5083465576172
2022-08-25,156.5937957763672
2022-08-26,150.1617889404297
2022-08-29,148.3574676513672
2022-08-30,150.31137084960938
2022-08-31,149.90000915527344
2022-09-01,154.1070098876953
2022-09-02,153.88265991210938
2022-09-06,152.92906188964844
2022-09-07,159.6696014404297
2022-09-08,160.70733642578125
2022-09-09,162.34336853027344
2022-09-12,162.53036499023438
2022-09-13,155.41586303710938
2022-09-14,154.61187744140625
2022-09-15,154.26593017578125
2022-09-16,153.4058380126953
2022-09-19,154.03224182128906
2022-09-20,149.61019897460938
2022-09-21,148.67530822753906
2022-09-22,143.00054931640625
2022-09-23,142.67332458496094
