,IRM
2020-07-15,22.229700088500977
2020-07-16,22.028348922729492
2020-07-17,21.963912963867188
2020-07-20,21.649795532226562
2020-07-21,21.963912963867188
2020-07-22,22.1491641998291
2020-07-23,22.157215118408203
2020-07-24,21.93975257873535
2020-07-27,22.350515365600586
2020-07-28,22.447168350219727
2020-07-29,22.76128387451172
2020-07-30,22.75322914123535
2020-07-31,22.704906463623047
2020-08-03,22.592144012451172
2020-08-04,23.244539260864258
2020-08-05,23.341188430786133
2020-08-06,23.429786682128906
2020-08-07,23.719736099243164
2020-08-10,23.961366653442383
2020-08-11,23.808332443237305
2020-08-12,24.017742156982422
2020-08-13,23.647253036499023
2020-08-14,23.953310012817383
2020-08-17,24.428510665893555
2020-08-18,24.162723541259766
2020-08-19,24.162723541259766
2020-08-20,24.24326515197754
2020-08-21,24.331857681274414
2020-08-24,24.436567306518555
2020-08-25,24.468782424926758
2020-08-26,24.37213134765625
2020-08-27,24.525163650512695
2020-08-28,24.436567306518555
2020-08-31,24.235210418701172
2020-09-01,24.114391326904297
2020-09-02,24.5654354095459
2020-09-03,24.396297454833984
2020-09-04,24.291587829589844
2020-09-08,24.24326515197754
2020-09-09,24.219097137451172
2020-09-10,24.001638412475586
2020-09-11,24.017742156982422
2020-09-14,23.819520950317383
2020-09-15,23.909996032714844
2020-09-16,24.11562156677246
2020-09-17,23.737276077270508
2020-09-18,23.301347732543945
2020-09-21,22.429500579833984
2020-09-22,22.36370277404785
2020-09-23,21.434276580810547
2020-09-24,21.796175003051758
2020-09-25,21.820852279663086
2020-09-28,21.878427505493164
2020-09-29,22.010028839111328
2020-09-30,22.034706115722656
2020-10-01,22.215656280517578
2020-10-02,22.487079620361328
2020-10-05,22.495304107666016
2020-10-06,22.297903060913086
2020-10-07,22.289676666259766
2020-10-08,23.227319717407227
2020-10-09,23.23554801940918
2020-10-12,23.317798614501953
2020-10-13,22.725603103637695
2020-10-14,22.62689971923828
2020-10-15,22.74205207824707
2020-10-16,22.62689971923828
2020-10-19,22.47885513305664
2020-10-20,22.61045265197754
2020-10-21,22.519975662231445
2020-10-22,22.74205207824707
2020-10-23,22.906551361083984
2020-10-26,22.45417594909668
2020-10-27,22.223878860473633
2020-10-28,21.672805786132812
2020-10-29,21.65635108947754
2020-10-30,21.434276580810547
2020-11-02,21.8126277923584
2020-11-03,22.45417594909668
2020-11-04,21.894878387451172
2020-11-05,22.602224349975586
2020-11-06,22.051149368286133
2020-11-09,21.919551849365234
2020-11-10,22.339025497436523
2020-11-11,21.763273239135742
2020-11-12,21.039478302001953
