,MET
2023-04-21,56.82699203491211
2023-04-24,57.05365753173828
2023-04-25,55.92033004760742
2023-04-26,55.64643859863281
2023-04-27,56.9592170715332
2023-04-28,57.922550201416016
2023-05-01,57.8564338684082
2023-05-02,56.12810516357422
2023-05-03,55.4481086730957
2023-05-04,51.10368347167969
2023-05-05,51.62312316894531
2023-05-08,51.19404220581055
2023-05-09,50.33588409423828
2023-05-10,49.410980224609375
2023-05-11,48.84840393066406
2023-05-12,47.88536071777344
2023-05-15,48.133270263671875
2023-05-16,46.83649826049805
2023-05-17,49.29656219482422
2023-05-18,49.46819305419922
2023-05-19,49.1821403503418
2023-05-22,49.93540954589844
2023-05-23,49.430049896240234
2023-05-24,47.91396713256836
2023-05-25,50.31681442260742
2023-05-26,49.40144729614258
2023-05-30,49.24888610839844
2023-05-31,47.24650955200195
2023-06-01,48.03791809082031
2023-06-02,50.50751876831055
2023-06-05,50.202396392822266
2023-06-06,50.91753005981445
2023-06-07,52.300113677978516
2023-06-08,51.26078796386719
2023-06-09,51.36567687988281
2023-06-12,51.49917221069336
2023-06-13,52.60523986816406
2023-06-14,51.43242263793945
2023-06-15,52.595703125
2023-06-16,52.91990280151367
2023-06-20,51.9854621887207
2023-06-21,52.01406478881836
2023-06-22,51.356143951416016
2023-06-23,50.85078811645508
2023-06-26,51.54684829711914
2023-06-27,52.4240837097168
2023-06-28,52.319190979003906
2023-06-29,53.56829833984375
2023-06-30,53.90201950073242
2023-07-03,54.61715316772461
2023-07-05,54.1403923034668
2023-07-06,54.07365036010742
2023-07-07,54.93181228637695
2023-07-10,54.74110794067383
2023-07-11,56.48603820800781
2023-07-12,55.97113800048828
2023-07-13,56.419288635253906
2023-07-14,55.456241607666016
2023-07-17,56.25719451904297
2023-07-18,56.609989166259766
2023-07-19,57.4586181640625
2023-07-20,58.106998443603516
2023-07-21,58.35492706298828
2023-07-24,59.098655700683594
2023-07-25,58.850746154785156
2023-07-26,59.9282112121582
2023-07-27,59.422855377197266
2023-07-28,59.65169143676758
2023-07-31,60.04263687133789
2023-08-01,59.89960861206055
2023-08-02,59.832862854003906
2023-08-03,61.42522430419922
2023-08-04,60.57659912109375
2023-08-07,61.701416015625
2023-08-08,61.04767608642578
2023-08-09,60.211280822753906
2023-08-10,60.240116119384766
2023-08-11,61.1918830871582
2023-08-14,61.11497116088867
2023-08-15,59.471012115478516
2023-08-16,59.27873611450195
2023-08-17,59.4517822265625
2023-08-18,59.855560302734375
2023-08-21,59.55753707885742
2023-08-22,58.95186996459961
2023-08-23,59.346031188964844
2023-08-24,59.86518096923828
2023-08-25,59.99977111816406
2023-08-28,60.115135192871094
2023-08-29,60.42277908325195
2023-08-30,60.509300231933594
2023-08-31,60.89385223388672
2023-09-01,61.8167839050293
2023-09-05,61.3072509765625
2023-09-06,60.75926208496094
2023-09-07,60.34586715698242
2023-09-08,60.86501693725586
2023-09-11,60.951541900634766
2023-09-12,61.51875686645508
2023-09-13,61.32647705078125
2023-09-14,63.38382339477539
