,INTC
2017-01-06,29.78180694580078
2017-01-09,29.8879337310791
2017-01-10,29.830799102783203
2017-01-11,30.16551399230957
2017-01-12,29.969572067260742
2017-01-13,30.034887313842773
2017-01-17,30.043048858642578
2017-01-18,30.010398864746094
2017-01-19,29.85528564453125
2017-01-20,30.157346725463867
2017-01-23,30.018566131591797
2017-01-24,30.712491989135742
2017-01-25,30.859437942504883
2017-01-26,30.66350555419922
2017-01-27,31.00638198852539
2017-01-30,30.549213409423828
2017-01-31,30.059370040893555
2017-02-01,29.814462661743164
2017-02-02,29.945079803466797
2017-02-03,30.027301788330078
2017-02-06,29.821754455566406
2017-02-07,29.88752555847168
2017-02-08,29.91219139099121
2017-02-09,29.155757904052734
2017-02-10,29.05709457397461
2017-02-13,29.435306549072266
2017-02-14,29.54220199584961
2017-02-15,29.64086151123047
2017-02-16,29.936866760253906
2017-02-17,29.994415283203125
2017-02-21,30.027301788330078
2017-02-22,29.657312393188477
2017-02-23,29.747753143310547
2017-02-24,30.0355281829834
2017-02-27,30.019084930419922
2017-02-28,29.764202117919922
2017-03-01,29.54220199584961
2017-03-02,29.525758743286133
2017-03-03,29.517541885375977
2017-03-06,29.246192932128906
2017-03-07,29.435306549072266
2017-03-08,29.287307739257812
2017-03-09,29.451763153076172
2017-03-10,29.525758743286133
2017-03-13,28.909093856811523
2017-03-14,28.9255313873291
2017-03-15,28.859752655029297
2017-03-16,28.892641067504883
2017-03-17,28.999544143676758
2017-03-20,29.131093978881836
2017-03-21,28.8104248046875
2017-03-22,29.081762313842773
2017-03-23,28.999544143676758
2017-03-24,28.909093856811523
2017-03-27,29.098201751708984
2017-03-28,29.27086639404297
2017-03-29,29.246192932128906
2017-03-30,29.394201278686523
2017-03-31,29.657312393188477
2017-04-03,29.73130226135254
2017-04-04,29.82997703552246
2017-04-05,29.7806396484375
2017-04-06,29.62441635131836
2017-04-07,29.62441635131836
2017-04-10,29.435306549072266
2017-04-11,29.3859806060791
2017-04-12,29.295534133911133
2017-04-13,28.98308753967285
2017-04-17,29.172203063964844
2017-04-18,29.410642623901367
2017-04-19,29.525758743286133
2017-04-20,29.747753143310547
2017-04-21,29.86285972595215
2017-04-24,30.216413497924805
2017-04-25,30.315080642700195
2017-04-26,30.364418029785156
2017-04-27,30.775522232055664
2017-04-28,29.72309112548828
2017-05-01,29.85464859008789
2017-05-02,30.39730453491211
2017-05-03,30.63172721862793
2017-05-04,30.524038314819336
2017-05-05,30.499187469482422
2017-05-08,30.267253875732422
2017-05-09,30.12643814086914
2017-05-10,29.828243255615234
2017-05-11,29.563173294067383
2017-05-12,29.430641174316406
2017-05-15,29.513471603393555
2017-05-16,29.670860290527344
2017-05-17,29.024751663208008
2017-05-18,29.17385482788086
2017-05-19,29.322952270507812
2017-05-22,29.629436492919922
2017-05-23,29.70399284362793
2017-05-24,29.91935920715332
2017-05-25,30.035316467285156
2017-05-26,30.035316467285156
2017-05-30,29.96905517578125
2017-05-31,29.911067962646484
