,RJF
2022-01-14,103.98997497558594
2022-01-18,100.63361358642578
2022-01-19,98.01563262939453
2022-01-20,97.4786148071289
2022-01-21,94.13184356689453
2022-01-24,93.63317108154297
2022-01-25,92.83722686767578
2022-01-26,94.41952514648438
2022-01-27,96.76898956298828
2022-01-28,99.81848907470703
2022-01-31,101.52544403076172
2022-02-01,104.60371398925781
2022-02-02,105.2078628540039
2022-02-03,103.61598205566406
2022-02-04,106.40657043457031
2022-02-07,107.47101593017578
2022-02-08,110.0698013305664
2022-02-09,110.70272064208984
2022-02-10,108.95741271972656
2022-02-11,106.71341705322266
2022-02-14,104.98729705810547
2022-02-15,107.74911499023438
2022-02-16,108.16146087646484
2022-02-17,104.50782012939453
2022-02-18,104.06668853759766
2022-02-22,104.2968521118164
2022-02-23,102.51316833496094
2022-02-24,102.77208709716797
2022-02-25,107.6819839477539
2022-02-28,105.15031433105469
2022-03-01,98.46635437011719
2022-03-02,101.44871520996094
2022-03-03,99.66504669189453
2022-03-04,95.79084777832031
2022-03-07,90.90013122558594
2022-03-08,89.14523315429688
2022-03-09,91.94539642333984
2022-03-10,92.33856964111328
2022-03-11,92.18512725830078
2022-03-14,94.4099349975586
2022-03-15,95.38807678222656
2022-03-16,99.53080749511719
2022-03-17,100.4322280883789
2022-03-18,101.43912506103516
2022-03-21,101.43912506103516
2022-03-22,103.18446350097656
2022-03-23,101.36241149902344
2022-03-24,102.75292205810547
2022-03-25,104.83386993408203
2022-03-28,106.75179290771484
2022-03-29,108.10393524169922
2022-03-30,107.394287109375
2022-03-31,105.399658203125
2022-04-01,104.79363250732422
2022-04-04,103.75473022460938
2022-04-05,104.5820083618164
2022-04-06,102.8216552734375
2022-04-07,102.48497772216797
2022-04-08,104.4858169555664
2022-04-11,103.98560333251953
2022-04-12,104.06255340576172
2022-04-13,107.390869140625
2022-04-14,107.54476928710938
2022-04-18,106.69827270507812
2022-04-19,108.74720001220703
2022-04-20,109.45902252197266
2022-04-21,105.5824203491211
2022-04-22,99.57990264892578
2022-04-25,100.01278686523438
2022-04-26,96.22276306152344
2022-04-27,96.5979232788086
2022-04-28,100.08012390136719
2022-04-29,93.75056457519531
2022-05-02,94.68366241455078
2022-05-03,96.53057861328125
2022-05-04,99.30097198486328
2022-05-05,95.49168395996094
2022-05-06,93.51970672607422
2022-05-09,90.06634521484375
2022-05-10,90.17215728759766
2022-05-11,89.4122314453125
2022-05-12,88.49838256835938
2022-05-13,91.37457275390625
2022-05-16,90.56655883789062
2022-05-17,93.23112487792969
2022-05-18,88.48876953125
2022-05-19,88.05590057373047
2022-05-20,88.27713012695312
2022-05-23,90.60502624511719
2022-05-24,89.57575225830078
2022-05-25,89.55652618408203
2022-05-26,92.47117614746094
2022-05-27,95.41472625732422
2022-05-31,94.74137115478516
2022-06-01,94.0199203491211
2022-06-02,94.61632537841797
2022-06-03,92.3172836303711
2022-06-06,93.65438842773438
2022-06-07,94.89527130126953
2022-06-08,92.81748962402344
2022-06-09,90.02787017822266
2022-06-10,85.94924926757812
2022-06-13,82.19769287109375
2022-06-14,83.47705078125
2022-06-15,84.63138580322266
2022-06-16,83.19811248779297
2022-06-17,84.16966247558594
2022-06-21,86.58412170410156
2022-06-22,85.29512023925781
2022-06-23,84.46785736083984
2022-06-24,88.97935485839844
2022-06-27,89.06592559814453
2022-06-28,88.34447479248047
2022-06-29,86.79574584960938
2022-06-30,86.33228302001953
2022-07-01,86.02328491210938
2022-07-05,87.56822204589844
2022-07-06,86.47710418701172
2022-07-07,87.60684204101562
2022-07-08,87.55855560302734
2022-07-11,86.8440170288086
2022-07-12,86.57366943359375
2022-07-13,86.18743896484375
2022-07-14,84.29490661621094
2022-07-15,87.07576751708984
2022-07-18,86.49642181396484
2022-07-19,90.4939193725586
2022-07-20,92.2029800415039
2022-07-21,93.12993621826172
2022-07-22,92.43472290039062
2022-07-25,93.60308074951172
2022-07-26,91.00566864013672
2022-07-27,92.56991577148438
2022-07-28,92.09676361083984
2022-07-29,95.08041381835938
2022-08-01,95.26386260986328
2022-08-02,94.63623809814453
2022-08-03,96.66394805908203
2022-08-04,96.87638092041016
2022-08-05,98.778564453125
2022-08-08,98.45027923583984
2022-08-09,100.07243347167969
2022-08-10,102.40914154052734
2022-08-11,103.74164581298828
2022-08-12,105.57621765136719
2022-08-15,106.23282623291016
2022-08-16,107.01493835449219
2022-08-17,106.98597717285156
2022-08-18,107.1597900390625
2022-08-19,105.14171600341797
2022-08-22,102.44776153564453
2022-08-23,102.83399963378906
2022-08-24,103.47127532958984
2022-08-25,104.9679183959961
2022-08-26,103.10435485839844
2022-08-29,101.9456558227539
2022-08-30,100.92213439941406
2022-08-31,100.77731323242188
2022-09-01,100.96076965332031
2022-09-02,99.93724822998047
2022-09-06,99.8406982421875
2022-09-07,102.09049224853516
2022-09-08,103.75128173828125
2022-09-09,104.6878890991211
2022-09-12,106.02040100097656
2022-09-13,103.35540008544922
2022-09-14,103.55816650390625
2022-09-15,104.21476745605469
2022-09-16,103.17194366455078
2022-09-19,105.7017593383789
2022-09-20,104.66859436035156
2022-09-21,103.29747772216797
2022-09-22,101.7911605834961
2022-09-23,98.45993041992188
2022-09-26,97.27226257324219
2022-09-27,96.5577392578125
2022-09-28,97.49434661865234
2022-09-29,94.8969497680664
2022-09-30,95.74959564208984
2022-10-03,98.26881408691406
2022-10-04,104.17928314208984
2022-10-05,104.78002166748047
2022-10-06,104.85755157470703
2022-10-07,103.79171752929688
2022-10-10,104.01457977294922
2022-10-11,101.37908172607422
2022-10-12,100.10009765625
2022-10-13,103.21035766601562
2022-10-14,97.46459197998047
2022-10-17,97.73591613769531
2022-10-18,99.56718444824219
2022-10-19,96.8929443359375
2022-10-20,95.01321411132812
2022-10-21,97.85218048095703
2022-10-24,99.02458190917969
2022-10-25,101.52442169189453
2022-10-26,103.59793090820312
2022-10-27,110.41919708251953
2022-10-28,115.53514099121094
2022-10-31,114.46932220458984
2022-11-01,114.14957427978516
2022-11-02,113.7329330444336
2022-11-03,114.35305786132812
2022-11-04,116.69786834716797
2022-11-07,117.72492218017578
2022-11-08,119.22677612304688
2022-11-09,117.7442855834961
2022-11-10,120.12787628173828
2022-11-11,119.56588745117188
2022-11-14,118.05435180664062
2022-11-15,119.04267120361328
2022-11-16,116.7850570678711
2022-11-17,115.84519958496094
2022-11-18,117.81211853027344
2022-11-21,119.22677612304688
2022-11-22,119.68215942382812
2022-11-23,116.6300277709961
2022-11-25,115.84519958496094
2022-11-28,112.25047302246094
2022-11-29,111.78538513183594
2022-11-30,113.26785278320312
2022-12-01,113.76200866699219
2022-12-02,115.45763397216797
2022-12-05,112.56053161621094
2022-12-06,112.4636459350586
2022-12-07,110.37075805664062
2022-12-08,110.12850952148438
2022-12-09,109.93473815917969
2022-12-12,111.01992797851562
2022-12-13,108.05501556396484
2022-12-14,106.85352325439453
2022-12-15,104.50872039794922
2022-12-16,103.43321228027344
2022-12-19,101.8829345703125
2022-12-20,102.3189468383789
2022-12-21,103.42352294921875
2022-12-22,102.7937240600586
2022-12-23,104.01457977294922
2022-12-27,103.22975158691406
2022-12-28,102.95843505859375
2022-12-29,104.63468170166016
2022-12-30,103.93433380126953
2023-01-03,103.21453094482422
2023-01-04,102.66007995605469
2023-01-05,104.32341766357422
2023-01-06,107.17347717285156
2023-01-09,107.65010070800781
2023-01-10,107.94190979003906
2023-01-11,108.74925994873047
2023-01-12,110.72386932373047
2023-01-13,112.39693450927734
2023-01-17,113.81710052490234
2023-01-18,111.29777526855469
2023-01-19,109.3718032836914
2023-01-20,110.57797241210938
2023-01-23,113.03892517089844
2023-01-24,113.807373046875
2023-01-25,114.88707733154297
2023-01-26,110.28614807128906
2023-01-27,108.72007751464844
2023-01-30,108.70063018798828
2023-01-31,109.69278717041016
2023-02-01,109.04108428955078
2023-02-02,105.86030578613281
2023-02-03,108.8173599243164
2023-02-06,109.2064437866211
2023-02-07,110.81140899658203
2023-02-08,110.2667007446289
2023-02-09,107.96135711669922
2023-02-10,108.2823715209961
2023-02-13,110.32505798339844
2023-02-14,111.12267303466797
2023-02-15,110.76277923583984
2023-02-16,110.90868377685547
2023-02-17,109.10916900634766
2023-02-21,107.29991149902344
2023-02-22,106.5314712524414
2023-02-23,104.32341766357422
2023-02-24,104.8292236328125
2023-02-27,104.69304656982422
2023-02-28,105.50041198730469
2023-03-01,103.90515899658203
2023-03-02,103.69115447998047
2023-03-03,104.99459838867188
2023-03-06,104.13859558105469
2023-03-07,102.65036010742188
2023-03-08,103.62306213378906
2023-03-09,97.38799285888672
2023-03-10,92.26178741455078
2023-03-13,86.8729476928711
2023-03-14,89.80081176757812
2023-03-15,84.78163146972656
2023-03-16,87.01886749267578
