,VTRS
2017-05-05,32.55400085449219
2017-05-08,32.10735321044922
2017-05-09,32.64847946166992
2017-05-10,32.82027053833008
2017-05-11,33.86818313598633
2017-05-12,33.447303771972656
2017-05-15,33.22397232055664
2017-05-16,33.627681732177734
2017-05-17,33.19820785522461
2017-05-18,32.76873779296875
2017-05-19,32.588356018066406
2017-05-22,33.18960952758789
2017-05-23,34.005619049072266
2017-05-24,33.6534423828125
2017-05-25,34.211761474609375
2017-05-26,34.11728286743164
2017-05-30,33.80806350708008
2017-05-31,33.481658935546875
2017-06-01,33.9798469543457
2017-06-02,33.56755447387695
2017-06-05,33.18960952758789
2017-06-06,33.1123161315918
2017-06-07,33.79087448120117
2017-06-08,34.10868835449219
2017-06-09,34.435089111328125
2017-06-12,33.3957633972168
2017-06-13,32.44234085083008
2017-06-14,32.53681945800781
2017-06-15,31.763769149780273
2017-06-16,31.540443420410156
2017-06-19,31.97850799560547
2017-06-20,32.14170455932617
2017-06-21,32.87180709838867
2017-06-22,33.507423400878906
2017-06-23,33.52460861206055
2017-06-26,33.52460861206055
2017-06-27,33.009239196777344
2017-06-28,33.558963775634766
2017-06-29,33.292686462402344
2017-06-30,33.3442268371582
2017-07-03,33.33564758300781
2017-07-05,33.04359817504883
2017-07-06,32.33926773071289
2017-07-07,32.304901123046875
2017-07-10,32.39938735961914
2017-07-11,32.33926773071289
2017-07-12,33.138092041015625
2017-07-13,33.541778564453125
2017-07-14,33.67921829223633
2017-07-17,33.28409957885742
2017-07-18,32.734378814697266
2017-07-19,32.93192672729492
2017-07-20,33.91971969604492
2017-07-21,33.64485549926758
2017-07-24,33.292686462402344
2017-07-25,33.3442268371582
2017-07-26,33.66204071044922
2017-07-27,33.06077575683594
2017-07-28,33.275516510009766
2017-07-31,33.49025344848633
2017-08-01,33.146663665771484
2017-08-02,31.712230682373047
2017-08-03,29.80537223815918
2017-08-04,28.276453018188477
2017-08-07,27.486225128173828
2017-08-08,27.305849075317383
2017-08-09,27.554943084716797
2017-08-10,27.735321044921875
2017-08-11,26.52420997619629
2017-08-14,25.450525283813477
2017-08-15,25.8799991607666
2017-08-16,26.172039031982422
2017-08-17,26.249345779418945
2017-08-18,26.386777877807617
2017-08-21,26.146272659301758
2017-08-22,26.395366668701172
2017-08-23,26.043201446533203
2017-08-24,25.948713302612305
2017-08-25,26.223581314086914
2017-08-28,26.481260299682617
2017-08-29,26.19780731201172
2017-08-30,26.275114059448242
2017-08-31,27.03957748413086
2017-09-01,27.116880416870117
2017-09-05,27.134057998657227
2017-09-06,27.692373275756836
2017-09-07,27.408918380737305
2017-09-08,27.57212257385254
2017-09-11,28.379526138305664
2017-09-12,28.860536575317383
