,FITB
2020-11-16,22.57462501525879
2020-11-17,22.402629852294922
2020-11-18,22.101634979248047
2020-11-19,22.256431579589844
2020-11-20,21.74904441833496
2020-11-23,22.368228912353516
2020-11-24,23.443212509155273
2020-11-25,22.944419860839844
2020-11-27,22.600425720214844
2020-11-30,21.792041778564453
2020-12-01,22.531627655029297
2020-12-02,22.867021560668945
2020-12-03,23.07341766357422
2020-12-04,23.563608169555664
2020-12-07,23.546405792236328
2020-12-08,23.443212509155273
2020-12-09,23.84740447998047
2020-12-10,23.89040756225586
2020-12-11,23.512012481689453
2020-12-14,22.892820358276367
2020-12-15,23.297014236450195
2020-12-16,23.43461036682129
2020-12-17,23.3314151763916
2020-12-18,22.90142250061035
2020-12-21,23.365816116333008
2020-12-22,23.159420013427734
2020-12-23,23.84740447998047
2020-12-24,23.718408584594727
2020-12-28,23.67540740966797
2020-12-29,23.46041488647461
2020-12-30,23.694929122924805
2020-12-31,23.94681167602539
2021-01-04,23.651500701904297
2021-01-05,23.9815616607666
2021-01-06,26.283300399780273
2021-01-07,27.3082332611084
2021-01-08,27.0824031829834
2021-01-11,27.256114959716797
2021-01-12,27.638294219970703
2021-01-13,27.5340633392334
2021-01-14,28.263673782348633
2021-01-15,27.68172264099121
2021-01-19,27.855436325073242
2021-01-20,27.212690353393555
2021-01-21,26.648107528686523
2021-01-22,26.83919906616211
2021-01-25,26.404903411865234
2021-01-26,25.8403263092041
2021-01-27,24.702482223510742
2021-01-28,25.710039138793945
2021-01-29,25.128093719482422
2021-02-01,25.61449432373047
2021-02-02,26.335426330566406
2021-02-03,26.95211410522461
2021-02-04,27.872812271118164
2021-02-05,27.881492614746094
2021-02-08,28.28972625732422
2021-02-09,28.254987716674805
2021-02-10,28.324472427368164
2021-02-11,28.011781692504883
2021-02-12,28.237613677978516
2021-02-16,29.071453094482422
2021-02-17,29.123563766479492
2021-02-18,28.85430908203125
2021-02-19,30.000831604003906
2021-02-22,30.296157836914062
2021-02-23,30.469871520996094
2021-02-24,31.48611068725586
2021-02-25,30.660953521728516
2021-02-26,30.131120681762695
2021-03-01,31.268972396850586
2021-03-02,31.399255752563477
2021-03-03,31.19078826904297
2021-03-04,30.886791229248047
2021-03-05,31.937780380249023
2021-03-08,32.78030776977539
2021-03-09,31.885656356811523
2021-03-10,33.02350616455078
2021-03-11,33.01481628417969
2021-03-12,33.952884674072266
2021-03-15,33.370933532714844
2021-03-16,32.90190505981445
2021-03-17,33.509910583496094
2021-03-18,33.88339614868164
2021-03-19,33.275394439697266
2021-03-22,32.328643798828125
2021-03-23,31.564281463623047
2021-03-24,31.512165069580078
2021-03-25,32.7716178894043
2021-03-26,33.38831329345703
2021-03-29,32.29389190673828
2021-03-30,33.352561950683594
2021-03-31,32.766361236572266
2021-04-01,33.230079650878906
2021-04-05,33.448814392089844
2021-04-06,33.53630447387695
2021-04-07,33.59755325317383
2021-04-08,33.37007141113281
2021-04-09,33.63255310058594
2021-04-12,33.991268157958984
2021-04-13,33.4400634765625
2021-04-14,33.728790283203125
2021-04-15,33.27382278442383
2021-04-16,33.42256546020508
2021-04-19,33.13383483886719
2021-04-20,31.882673263549805
2021-04-21,32.687618255615234
2021-04-22,32.25014877319336
2021-04-23,33.54505157470703
2021-04-26,33.93002700805664
2021-04-27,34.341251373291016
2021-04-28,34.82246017456055
2021-04-29,35.61865234375
2021-04-30,35.46991729736328
2021-05-03,35.408668518066406
2021-05-04,36.152366638183594
2021-05-05,36.35360336303711
2021-05-06,36.67732238769531
2021-05-07,37.05354690551758
2021-05-10,36.957305908203125
2021-05-11,36.42359924316406
2021-05-12,35.81988525390625
2021-05-13,36.72982406616211
2021-05-14,37.30727767944336
2021-05-17,37.534767150878906
2021-05-18,36.75606918334961
2021-05-19,36.47608947753906
2021-05-20,36.33610153198242
2021-05-21,36.67732238769531
2021-05-24,36.63357925415039
2021-05-25,36.09986114501953
2021-05-26,36.458595275878906
2021-05-27,36.93105697631836
2021-05-28,36.86980438232422
2021-06-01,37.05354690551758
2021-06-02,36.88731002807617
