,TSN
2021-08-20,72.02429962158203
2021-08-23,71.65487670898438
2021-08-24,71.28546142578125
2021-08-25,70.91607666015625
2021-08-26,70.3664779663086
2021-08-27,70.73587036132812
2021-08-30,70.43854522705078
2021-08-31,71.14984893798828
2021-09-01,70.99581909179688
2021-09-02,71.1226806640625
2021-09-03,70.8871078491211
2021-09-07,70.03531646728516
2021-09-08,69.02043914794922
2021-09-09,68.48582458496094
2021-09-10,67.7790298461914
2021-09-13,69.25604248046875
2021-09-14,68.34991455078125
2021-09-15,69.05668640136719
2021-09-16,68.68518829345703
2021-09-17,68.69425201416016
2021-09-20,68.59455871582031
2021-09-21,68.43144989013672
2021-09-22,68.39521789550781
2021-09-23,68.96607208251953
2021-09-24,69.06576538085938
2021-09-27,69.64569091796875
2021-09-28,70.49745178222656
2021-09-29,72.9349594116211
2021-09-30,71.53044891357422
2021-10-01,70.95956420898438
2021-10-04,70.75116729736328
2021-10-05,70.95956420898438
2021-10-06,71.24049377441406
2021-10-07,71.29484558105469
2021-10-08,71.19518280029297
2021-10-11,70.98675537109375
2021-10-12,71.80228424072266
2021-10-13,71.86570739746094
2021-10-14,72.21912384033203
2021-10-15,72.20098114013672
2021-10-18,71.97445678710938
2021-10-19,72.58155059814453
2021-10-20,73.60550689697266
2021-10-21,73.56925964355469
2021-10-22,74.75630187988281
2021-10-25,75.47212982177734
2021-10-26,74.74723052978516
2021-10-27,73.06182098388672
2021-10-28,73.4061508178711
2021-10-29,72.46376037597656
2021-11-01,73.2430419921875
2021-11-02,73.87733459472656
2021-11-03,74.04949951171875
2021-11-04,73.46052551269531
2021-11-05,73.90453338623047
2021-11-08,73.73236083984375
2021-11-09,73.86827850341797
2021-11-10,74.79252624511719
2021-11-11,75.32716369628906
2021-11-12,73.60550689697266
2021-11-15,76.21517181396484
2021-11-16,75.73491668701172
2021-11-17,74.83783721923828
2021-11-18,74.81068420410156
2021-11-19,73.85921478271484
