,ALLE
2023-03-06,111.36717987060547
2023-03-07,110.34529113769531
2023-03-08,111.2893295288086
2023-03-09,108.51560974121094
2023-03-10,104.6129379272461
2023-03-13,103.14335632324219
2023-03-14,105.18608856201172
2023-03-15,101.49156951904297
2023-03-16,103.77865600585938
2023-03-17,100.98333740234375
2023-03-20,103.4170150756836
2023-03-21,104.50191497802734
2023-03-22,101.51111602783203
2023-03-23,99.95708465576172
2023-03-24,98.32484436035156
2023-03-27,100.08414459228516
2023-03-28,101.86297607421875
2023-03-29,103.01629638671875
2023-03-30,102.66444396972656
2023-03-31,104.31621551513672
2023-04-03,103.66136932373047
2023-04-04,97.70909881591797
2023-04-05,96.94673156738281
2023-04-06,97.38655853271484
2023-04-10,98.10981750488281
2023-04-11,99.03833770751953
2023-04-12,99.25336456298828
2023-04-13,99.83002471923828
2023-04-14,100.41644287109375
2023-04-17,102.0682373046875
2023-04-18,101.9509506225586
2023-04-19,101.82389068603516
2023-04-20,101.83365631103516
2023-04-21,100.6607894897461
2023-04-24,100.80740356445312
2023-04-25,99.64431762695312
2023-04-26,105.05902862548828
2023-04-27,108.91969299316406
2023-04-28,107.98140716552734
2023-05-01,108.17688751220703
2023-05-02,107.13108825683594
2023-05-03,106.49578094482422
2023-05-04,104.60942840576172
2023-05-05,105.64545440673828
2023-05-08,105.18608856201172
2023-05-09,105.41088104248047
2023-05-10,105.86048889160156
2023-05-11,106.40782928466797
2023-05-12,106.26121520996094
2023-05-15,106.90628051757812
2023-05-16,104.09142303466797
2023-05-17,106.583740234375
2023-05-18,107.99117279052734
2023-05-19,106.82809448242188
2023-05-22,107.2776870727539
2023-05-23,105.42066192626953
2023-05-24,103.87639617919922
2023-05-25,102.86968994140625
2023-05-26,104.67784118652344
2023-05-30,104.6583023071289
2023-05-31,102.37122344970703
2023-06-01,102.3907699584961
2023-06-02,106.79876708984375
2023-06-05,106.01686096191406
2023-06-06,107.67840576171875
2023-06-07,110.5226058959961
2023-06-08,110.54215240478516
2023-06-09,110.10233306884766
2023-06-12,111.99845123291016
2023-06-13,115.10652160644531
2023-06-14,114.56690979003906
2023-06-15,116.69597625732422
2023-06-16,116.19558715820312
2023-06-20,115.98955535888672
2023-06-21,117.16690826416016
2023-06-22,114.19407653808594
2023-06-23,113.32087707519531
2023-06-26,114.95936584472656
2023-06-27,116.74502563476562
2023-06-28,115.93067932128906
2023-06-29,117.32390594482422
2023-06-30,117.7555923461914
2023-07-03,116.50955963134766
2023-07-05,114.37068939208984
2023-07-06,113.24238586425781
2023-07-07,114.58654022216797
2023-07-10,116.3231430053711
2023-07-11,119.10955810546875
2023-07-12,120.04163360595703
2023-07-13,120.46351623535156
2023-07-14,120.42427825927734
2023-07-17,121.846923828125
2023-07-18,123.23031616210938
2023-07-19,123.42655181884766
2023-07-20,122.26881408691406
2023-07-21,122.82806396484375
2023-07-24,123.9661636352539
2023-07-25,124.67257690429688
2023-07-26,115.0869140625
2023-07-27,113.3306884765625
2023-07-28,112.82050323486328
2023-07-31,114.65522003173828
2023-08-01,113.9389877319336
2023-08-02,112.32011413574219
2023-08-03,109.48463439941406
2023-08-04,109.79859924316406
2023-08-07,111.08390045166016
2023-08-08,109.70048522949219
2023-08-09,108.81747436523438
2023-08-10,109.18049621582031
2023-08-11,109.30804443359375
2023-08-14,110.20085906982422
2023-08-15,107.18879699707031
2023-08-16,105.73670959472656
2023-08-17,103.87255859375
2023-08-18,105.59935760498047
2023-08-21,105.41294860839844
2023-08-22,105.75634765625
2023-08-23,108.34652709960938
2023-08-24,106.33519744873047
2023-08-25,107.76765441894531
2023-08-28,108.71935272216797
2023-08-29,110.63256072998047
2023-08-30,111.42729187011719
2023-08-31,111.66275024414062
2023-09-01,112.58502960205078
2023-09-05,109.04313659667969
2023-09-06,106.42351531982422
2023-09-07,105.99180603027344
2023-09-08,106.06049346923828
2023-09-11,106.2272720336914
2023-09-12,104.74577331542969
2023-09-13,103.56840515136719
2023-09-14,104.30426025390625
2023-09-15,104.12690734863281
2023-09-18,103.63426208496094
2023-09-19,104.2845458984375
2023-09-20,102.71792602539062
2023-09-21,102.32379150390625
2023-09-22,102.29423522949219
2023-09-25,102.46173858642578
2023-09-26,100.58966064453125
2023-09-27,101.77202606201172
2023-09-28,102.72776794433594
2023-09-29,102.66864776611328
2023-10-02,101.61437225341797
2023-10-03,101.26952362060547
2023-10-04,102.58982849121094
2023-10-05,101.23995971679688
2023-10-06,102.16615295410156
2023-10-09,102.91497802734375
