,NKE
2021-01-25,131.09971618652344
2021-01-26,128.7646026611328
2021-01-27,124.87592315673828
2021-01-28,128.4023895263672
2021-01-29,127.32539367675781
2021-02-01,129.3459930419922
2021-02-02,133.0440216064453
2021-02-03,132.1290283203125
2021-02-04,134.03526306152344
2021-02-05,138.30517578125
2021-02-08,136.68490600585938
2021-02-09,135.14085388183594
2021-02-10,135.77944946289062
2021-02-11,136.80882263183594
2021-02-12,135.45538330078125
2021-02-16,135.0646209716797
2021-02-17,137.23768615722656
2021-02-18,138.28610229492188
2021-02-19,135.36007690429688
2021-02-22,130.26097106933594
2021-02-23,129.74627685546875
2021-02-24,129.288818359375
2021-02-25,129.18392944335938
2021-02-26,128.72073364257812
2021-03-01,131.4617462158203
2021-03-02,130.8600616455078
2021-03-03,128.22413635253906
2021-03-04,126.10392761230469
2021-03-05,127.35506439208984
2021-03-08,128.51063537597656
2021-03-09,129.83811950683594
2021-03-10,131.4044189453125
2021-03-11,134.84259033203125
2021-03-12,134.13584899902344
2021-03-15,138.42398071289062
2021-03-16,138.14703369140625
2021-03-17,138.3094024658203
2021-03-18,136.73358154296875
2021-03-19,131.3089599609375
2021-03-22,132.05384826660156
2021-03-23,130.95556640625
2021-03-24,127.17357635498047
2021-03-25,122.85680389404297
2021-03-26,127.01122283935547
2021-03-29,127.48873901367188
2021-03-30,126.97305297851562
2021-03-31,126.91571807861328
2021-04-01,126.57189178466797
2021-04-05,129.0454559326172
2021-04-06,130.99375915527344
2021-04-07,130.401611328125
2021-04-08,127.67019653320312
2021-04-09,129.36062622070312
2021-04-12,130.49710083007812
2021-04-13,127.53646850585938
2021-04-14,126.31404113769531
2021-04-15,127.66068267822266
2021-04-16,128.27191162109375
2021-04-19,126.61012268066406
2021-04-20,121.39557647705078
2021-04-21,124.0601577758789
2021-04-22,123.37249755859375
2021-04-23,124.33711242675781
2021-04-26,125.68373107910156
2021-04-27,126.17079162597656
2021-04-28,124.833740234375
2021-04-29,127.26909637451172
2021-04-30,126.65787506103516
2021-05-03,127.0494384765625
2021-05-04,125.63597869873047
2021-05-05,126.26628875732422
2021-05-06,127.48873901367188
2021-05-07,131.61451721191406
2021-05-10,130.2678985595703
2021-05-11,130.95556640625
2021-05-12,127.39324951171875
2021-05-13,127.60334777832031
2021-05-14,129.81903076171875
2021-05-17,130.2775115966797
2021-05-18,129.46566772460938
2021-05-19,126.98257446289062
2021-05-20,127.27864837646484
2021-05-21,126.69605255126953
2021-05-24,128.0331268310547
2021-05-25,128.2814178466797
2021-05-26,130.73587036132812
2021-05-27,130.42074584960938
2021-05-28,130.58819580078125
2021-06-01,128.7221221923828
2021-06-02,128.39674377441406
2021-06-03,128.39674377441406
2021-06-04,127.98524475097656
2021-06-07,128.1862030029297
2021-06-08,127.61202239990234
2021-06-09,126.16703033447266
2021-06-10,125.34400177001953
2021-06-11,126.26270294189453
2021-06-14,125.70765686035156
2021-06-15,124.6836929321289
2021-06-16,124.78897094726562
2021-06-17,123.37263488769531
2021-06-18,122.88459777832031
2021-06-21,124.48274993896484
2021-06-22,126.77949523925781
2021-06-23,127.37281036376953
2021-06-24,127.85126495361328
2021-06-25,147.70840454101562
2021-06-28,145.8040313720703
2021-06-29,149.23956298828125
2021-06-30,147.84239196777344
2021-07-01,151.2013397216797
