,SJM
2018-08-30,85.57218170166016
2018-08-31,85.91290283203125
2018-09-04,86.17054748535156
2018-09-05,89.04594421386719
2018-09-06,91.2232666015625
2018-09-07,91.02381896972656
2018-09-10,91.5556869506836
2018-09-11,90.74125671386719
2018-09-12,91.58059692382812
2018-09-13,92.18727111816406
2018-09-14,92.31193542480469
2018-09-17,92.7856216430664
2018-09-18,91.80499267578125
2018-09-19,90.72463989257812
2018-09-20,91.12355041503906
2018-09-21,91.54736328125
2018-09-24,90.33405303955078
2018-09-25,90.05980682373047
2018-09-26,87.80770111083984
2018-09-27,85.07357788085938
2018-09-28,85.27301025390625
2018-10-01,85.18990325927734
2018-10-02,85.73841857910156
2018-10-03,84.45861053466797
2018-10-04,84.50846862792969
2018-10-05,85.55557250976562
2018-10-08,86.76058197021484
2018-10-09,84.74115753173828
2018-10-10,86.04588317871094
2018-10-11,84.90736389160156
2018-10-12,85.73009490966797
2018-10-15,86.3699951171875
2018-10-16,87.58329772949219
2018-10-17,86.2619400024414
2018-10-18,85.51400756835938
2018-10-19,87.2425765991211
2018-10-22,87.01819610595703
2018-10-23,87.97388458251953
2018-10-24,89.13737487792969
2018-10-25,88.53069305419922
2018-10-26,87.55838775634766
2018-10-29,89.5113296508789
2018-10-30,91.08200073242188
2018-10-31,90.01824951171875
2018-11-01,91.19833374023438
2018-11-02,87.8326187133789
2018-11-05,89.7356948852539
2018-11-06,91.34791564941406
2018-11-07,92.0709228515625
2018-11-08,92.1789321899414
2018-11-09,93.80778503417969
2018-11-12,94.90477752685547
2018-11-13,94.59727478027344
2018-11-14,94.6886978149414
2018-11-15,94.56312561035156
2018-11-16,94.66358947753906
2018-11-19,93.65046691894531
2018-11-20,94.010498046875
2018-11-21,92.09310150146484
2018-11-23,92.69597625732422
2018-11-26,91.27256774902344
2018-11-27,91.41490936279297
2018-11-28,84.80035400390625
2018-11-29,86.60888671875
2018-11-30,87.50477600097656
2018-12-03,86.45818328857422
2018-12-04,85.60414123535156
2018-12-06,84.42356872558594
2018-12-07,82.19638061523438
2018-12-10,83.02531433105469
2018-12-11,84.46542358398438
2018-12-12,85.13526916503906
2018-12-13,86.88520050048828
2018-12-14,85.32785034179688
2018-12-17,82.8913345336914
2018-12-18,81.50143432617188
2018-12-19,81.13301849365234
2018-12-20,79.89385223388672
2018-12-21,80.46321105957031
2018-12-24,78.00159454345703
2018-12-26,79.35800170898438
2018-12-27,79.03141784667969
2018-12-28,78.62954711914062
2018-12-31,78.27788543701172
2019-01-02,78.60443115234375
2019-01-03,79.19891357421875
2019-01-04,80.27900695800781
2019-01-07,81.3591079711914
2019-01-08,83.460693359375
2019-01-09,83.460693359375
2019-01-10,84.96781158447266
2019-01-11,85.56227111816406
2019-01-14,85.93067932128906
2019-01-15,86.3828353881836
2019-01-16,86.43305206298828
2019-01-17,87.22847747802734
2019-01-18,87.73921966552734
2019-01-22,87.90668487548828
2019-01-23,87.23683166503906
2019-01-24,85.21061706542969
2019-01-25,84.934326171875
2019-01-28,86.13163757324219
2019-01-29,86.44979858398438
2019-01-30,86.64239501953125
2019-01-31,87.81455993652344
2019-02-01,86.93541717529297
2019-02-04,87.86483001708984
2019-02-05,88.224853515625
2019-02-06,88.13274383544922
2019-02-07,86.93541717529297
2019-02-08,86.75121307373047
2019-02-11,86.5251693725586
2019-02-12,87.37921142578125
2019-02-13,86.85169982910156
2019-02-14,85.72046661376953
2019-02-15,87.27379608154297
2019-02-19,87.80564880371094
2019-02-20,90.2791748046875
2019-02-21,90.13566589355469
2019-02-22,85.61915588378906
2019-02-25,85.31523895263672
2019-02-26,89.56159973144531
2019-02-27,90.81101989746094
2019-02-28,89.40962982177734
2019-03-01,88.9959716796875
2019-03-04,86.56465911865234
2019-03-05,86.17634582519531
2019-03-06,87.29912567138672
2019-03-07,86.64064025878906
2019-03-08,86.52245330810547
2019-03-11,87.062744140625
2019-03-12,86.7841796875
2019-03-13,87.17250061035156
2019-03-14,87.67058563232422
2019-03-15,89.13104248046875
2019-03-18,90.3467025756836
2019-03-19,90.25384521484375
2019-03-20,90.388916015625
2019-03-21,94.2047119140625
2019-03-22,96.49252319335938
2019-03-25,97.86856079101562
2019-03-26,97.6828384399414
2019-03-27,96.99903869628906
2019-03-28,97.96986389160156
2019-03-29,98.34974670410156
2019-04-01,97.69973754882812
2019-04-02,97.96986389160156
2019-04-03,97.37047576904297
2019-04-04,97.66594696044922
2019-04-05,98.38352966308594
2019-04-08,99.59917449951172
2019-04-09,100.865478515625
2019-04-10,100.51936340332031
2019-04-11,100.84858703613281
2019-04-12,99.90309143066406
2019-04-15,100.61219787597656
2019-04-16,100.40118408203125
2019-04-17,100.67974090576172
2019-04-18,101.89541625976562
2019-04-22,102.33440399169922
2019-04-23,102.75650024414062
2019-04-24,103.29679107666016
2019-04-25,102.33440399169922
2019-04-26,103.65980529785156
2019-04-29,103.04352569580078
2019-04-30,103.52472686767578
2019-05-01,103.43187713623047
2019-05-02,103.77798461914062
2019-05-03,104.29295349121094
2019-05-06,105.65213012695312
2019-05-07,105.60145568847656
2019-05-08,105.20469665527344
2019-05-09,106.3359146118164
2019-05-10,107.12948608398438
2019-05-13,107.01129150390625
2019-05-14,107.02815246582031
2019-05-15,107.6360092163086
2019-05-16,106.86262512207031
2019-05-17,107.84847259521484
2019-05-20,108.2649154663086
2019-05-21,107.66999053955078
2019-05-22,108.17140197753906
2019-05-23,108.05242919921875
2019-05-24,107.66999053955078
2019-05-28,105.11188507080078
2019-05-29,102.79170989990234
2019-05-30,102.97870635986328
2019-05-31,103.3101577758789
2019-06-03,105.63880920410156
2019-06-04,105.89376831054688
2019-06-05,106.4546890258789
2019-06-06,103.9985580444336
2019-06-07,105.83426666259766
2019-06-10,104.22803497314453
2019-06-11,104.62744903564453
2019-06-12,105.2648696899414
2019-06-13,104.96741485595703
2019-06-14,104.79743194580078
2019-06-17,104.02405548095703
2019-06-18,102.49427795410156
2019-06-19,102.72373962402344
2019-06-20,102.91922760009766
2019-06-21,103.27616882324219
2019-06-24,103.09768676757812
2019-06-25,102.46878051757812
2019-06-26,98.58488464355469
2019-06-27,99.34127044677734
2019-06-28,97.896484375
2019-07-01,99.01832580566406
2019-07-02,99.92767333984375
2019-07-03,101.75489044189453
2019-07-05,101.55094146728516
2019-07-08,101.31297302246094
2019-07-09,100.93902587890625
2019-07-10,100.40361785888672
2019-07-11,97.31857299804688
2019-07-12,97.05512237548828
2019-07-15,97.81151580810547
2019-07-16,98.1259536743164
2019-07-17,98.59339141845703
2019-07-18,98.49140930175781
2019-07-19,97.14012145996094
2019-07-22,95.28739929199219
2019-07-23,95.72931671142578
2019-07-24,95.2703857421875
2019-07-25,96.07777404785156
2019-07-26,97.10612487792969
2019-07-29,97.18260955810547
2019-07-30,96.14576721191406
2019-07-31,94.49700164794922
2019-08-01,94.95594024658203
2019-08-02,95.3128890991211
2019-08-05,93.80012512207031
2019-08-06,94.05506134033203
2019-08-07,94.69246673583984
2019-08-08,96.49420928955078
2019-08-09,95.04943084716797
2019-08-12,96.4771957397461
2019-08-13,96.88513946533203
2019-08-14,96.34123229980469
2019-08-15,97.24059295654297
2019-08-16,97.94293975830078
2019-08-19,99.5788803100586
2019-08-20,98.13992309570312
2019-08-21,97.07782745361328
2019-08-22,97.5574951171875
2019-08-23,95.24488067626953
2019-08-26,96.7266616821289
2019-08-27,88.81243896484375
2019-08-28,89.39486694335938
2019-08-29,88.07582092285156
2019-08-30,90.0715103149414
2019-09-03,91.63037872314453
2019-09-04,91.03080749511719
2019-09-05,89.66038513183594
2019-09-06,90.11434936523438
2019-09-09,90.03726959228516
2019-09-10,91.38199615478516
2019-09-11,92.67533111572266
2019-09-12,90.66252899169922
2019-09-13,91.22782897949219
2019-09-16,91.8016586303711
2019-09-17,93.12071990966797
2019-09-18,93.21492767333984
2019-09-19,92.19569396972656
2019-09-20,92.34130096435547
2019-09-23,91.67317962646484
2019-09-24,92.29845428466797
2019-09-25,92.47833251953125
2019-09-26,93.489013671875
2019-09-27,93.39480590820312
2019-09-30,94.23419189453125
2019-10-01,92.46977233886719
2019-10-02,91.4676284790039
2019-10-03,91.07365417480469
2019-10-04,92.22993469238281
2019-10-07,91.95587158203125
2019-10-08,90.74817657470703
2019-10-09,91.03080749511719
2019-10-10,91.66463470458984
2019-10-11,91.66463470458984
2019-10-14,91.56185913085938
2019-10-15,91.93017578125
2019-10-16,92.11859893798828
2019-10-17,92.75241088867188
2019-10-18,92.1785659790039
2019-10-21,92.73529052734375
2019-10-22,91.44195556640625
2019-10-23,92.34130096435547
2019-10-24,92.82095336914062
2019-10-25,92.74383544921875
2019-10-28,91.63037872314453
2019-10-29,92.58111572265625
2019-10-30,91.08221435546875
2019-10-31,90.51689910888672
2019-11-01,90.4312515258789
2019-11-04,91.57898712158203
2019-11-05,92.02438354492188
2019-11-06,92.78668212890625
2019-11-07,91.75886535644531
2019-11-08,91.02224731445312
2019-11-11,89.44625091552734
2019-11-12,90.04582977294922
2019-11-13,90.60255432128906
2019-11-14,90.24844360351562
2019-11-15,90.68893432617188
