,RVTY
2017-08-30,64.9411392211914
2017-08-31,65.72602081298828
2017-09-01,65.72602081298828
2017-09-05,65.93207550048828
2017-09-06,66.31468963623047
2017-09-07,66.55016326904297
2017-09-08,66.37358093261719
2017-09-11,67.01129913330078
2017-09-12,67.26639556884766
2017-09-13,67.2369613647461
2017-09-14,67.42337036132812
2017-09-15,67.7765884399414
2017-09-18,68.16905975341797
2017-09-19,67.75696563720703
2017-09-20,67.68830108642578
2017-09-21,66.91319274902344
2017-09-22,66.88375091552734
2017-09-25,67.1584701538086
2017-09-26,66.89356994628906
2017-09-27,67.16827392578125
2017-09-28,67.05055236816406
2017-09-29,67.66864776611328
2017-10-02,68.15923309326172
2017-10-03,68.75772857666016
2017-10-04,68.87543487548828
2017-10-05,69.11093139648438
2017-10-06,69.27769470214844
2017-10-09,69.28751373291016
2017-10-10,69.54261779785156
2017-10-11,70.15092468261719
2017-10-12,70.45507049560547
2017-10-13,70.0429916381836
2017-10-16,69.90565490722656
2017-10-17,69.08148193359375
2017-10-18,68.86566925048828
2017-10-19,70.04418182373047
2017-10-20,70.44683074951172
2017-10-23,70.3584213256836
2017-10-24,70.3290023803711
2017-10-25,70.14238739013672
2017-10-26,70.81021881103516
2017-10-27,71.41913604736328
2017-10-30,70.54505920410156
2017-10-31,71.02629089355469
2017-11-01,70.9771728515625
2017-11-02,70.78076171875
2017-11-03,69.356689453125
2017-11-06,69.28791809082031
2017-11-07,69.85757446289062
2017-11-08,70.2013168334961
2017-11-09,70.181640625
2017-11-10,70.05401611328125
2017-11-13,69.99506378173828
2017-11-14,70.3290023803711
2017-11-15,69.85757446289062
2017-11-16,71.00665283203125
2017-11-17,71.01647186279297
2017-11-20,71.4486083984375
2017-11-21,71.949462890625
2017-11-22,71.73341369628906
2017-11-24,72.04769897460938
2017-11-27,72.24410247802734
2017-11-28,72.47980499267578
2017-11-29,71.87089538574219
2017-11-30,72.3619613647461
2017-12-01,71.81198120117188
2017-12-04,68.53170776367188
2017-12-05,68.1192398071289
2017-12-06,68.29601287841797
2017-12-07,68.85581970214844
2017-12-08,69.7593765258789
2017-12-11,69.54328918457031
2017-12-12,69.84778594970703
2017-12-13,70.03434753417969
2017-12-14,69.56295013427734
2017-12-15,70.83968353271484
2017-12-18,71.85128021240234
2017-12-19,72.51907348632812
2017-12-20,72.33250427246094
2017-12-21,71.96910858154297
2017-12-22,71.74325561523438
2017-12-26,71.74325561523438
2017-12-27,71.78250885009766
2017-12-28,72.1065902709961
2017-12-29,71.81198120117188
2018-01-02,72.5878677368164
2018-01-03,74.79759979248047
2018-01-04,74.9940185546875
2018-01-05,75.56364440917969
2018-01-08,75.39669799804688
2018-01-09,76.50647735595703
2018-01-10,75.76006317138672
2018-01-11,76.23149871826172
2018-01-12,77.478759765625
2018-01-16,77.12520599365234
2018-01-17,78.22515869140625
2018-01-18,78.18582153320312
2018-01-19,79.48339080810547
2018-01-22,79.81758880615234
2018-01-23,80.04368591308594
2018-01-24,80.03384399414062
2018-01-25,81.34120178222656
2018-01-26,81.34120178222656
2018-01-29,80.7808837890625
2018-01-30,79.67015075683594
2018-01-31,78.7952880859375
2018-02-01,78.65768432617188
2018-02-02,76.75071716308594
2018-02-05,73.50691223144531
2018-02-06,74.70608520507812
2018-02-07,74.48004913330078
2018-02-08,70.83319854736328
2018-02-09,71.590087890625
2018-02-12,73.23165130615234
2018-02-13,72.95643615722656
2018-02-14,74.17530822753906
2018-02-15,75.1288070678711
2018-02-16,75.08946228027344
2018-02-20,74.57835388183594
2018-02-21,74.8830337524414
2018-02-22,74.66680908203125
2018-02-23,75.70874786376953
2018-02-26,76.54427337646484
2018-02-27,75.63992309570312
2018-02-28,75.04033660888672
2018-03-01,73.00556182861328
2018-03-02,73.45773315429688
2018-03-05,73.24150848388672
2018-03-06,74.32274627685547
2018-03-07,75.68909454345703
2018-03-08,75.88569641113281
2018-03-09,77.87129974365234
2018-03-12,77.43878936767578
2018-03-13,76.75071716308594
2018-03-14,75.7775650024414
2018-03-15,76.27888488769531
2018-03-16,76.0232925415039
2018-03-19,75.58094024658203
2018-03-20,76.34768676757812
2018-03-21,75.88569641113281
2018-03-22,73.95905303955078
2018-03-23,72.70083618164062
2018-03-26,74.9813461303711
2018-03-27,74.23429107666016
2018-03-28,73.59538269042969
2018-03-29,74.43089294433594
2018-04-02,72.81880187988281
2018-04-03,74.05733489990234
2018-04-04,74.21463775634766
2018-04-05,74.60782623291016
2018-04-06,71.95377349853516
2018-04-09,72.88761901855469
2018-04-10,74.14581298828125
2018-04-11,73.06453704833984
2018-04-12,73.35970306396484
2018-04-13,73.22197723388672
2018-04-16,74.15665435791016
2018-04-17,74.57975769042969
2018-04-18,75.17010498046875
2018-04-19,73.89102172851562
2018-04-20,73.39907836914062
2018-04-23,73.86151885986328
2018-04-24,71.84452056884766
2018-04-25,72.06098175048828
2018-04-26,73.00553894042969
2018-04-27,72.9169692993164
2018-04-30,72.1790542602539
2018-05-01,71.2836685180664
2018-05-02,71.00819396972656
2018-05-03,71.00819396972656
2018-05-04,71.64773559570312
2018-05-07,72.1790542602539
2018-05-08,72.36597442626953
2018-05-09,72.73986053466797
2018-05-10,74.08781433105469
2018-05-11,74.43218231201172
2018-05-14,74.99301147460938
2018-05-15,72.64147186279297
2018-05-16,72.60210418701172
2018-05-17,73.20230102539062
2018-05-18,74.25506591796875
2018-05-21,75.12091064453125
2018-05-22,74.94380950927734
2018-05-23,74.79621887207031
2018-05-24,74.40264129638672
2018-05-25,73.12358856201172
2018-05-29,72.4742202758789
2018-05-30,73.20230102539062
2018-05-31,73.13341522216797
2018-06-01,74.04847717285156
2018-06-04,74.77651977539062
2018-06-05,75.36685943603516
2018-06-06,77.04931640625
2018-06-07,76.83290100097656
2018-06-08,77.03950500488281
2018-06-11,77.6790542602539
2018-06-12,78.11195373535156
2018-06-13,77.74791717529297
2018-06-14,77.07884979248047
2018-06-15,76.58690643310547
2018-06-18,76.2818832397461
2018-06-19,75.12091064453125
2018-06-20,74.25506591796875
2018-06-21,72.99565887451172
2018-06-22,73.16292572021484
2018-06-25,71.69690704345703
2018-06-26,71.64773559570312
2018-06-27,70.9393310546875
2018-06-28,71.2246322631836
2018-06-29,72.0511245727539
2018-07-02,71.42143249511719
2018-07-03,71.97242736816406
2018-07-05,72.59226989746094
2018-07-06,73.12358856201172
2018-07-09,74.1665267944336
2018-07-10,74.76667785644531
2018-07-11,73.8221435546875
2018-07-12,74.33379364013672
2018-07-13,74.45185089111328
2018-07-16,74.28459167480469
2018-07-17,75.14058685302734
2018-07-18,75.69158172607422
2018-07-19,77.20817565917969
2018-07-20,76.81422424316406
2018-07-23,76.43016815185547
2018-07-24,77.49375915527344
2018-07-25,78.0255355834961
2018-07-26,78.15354919433594
2018-07-27,76.94227600097656
2018-07-30,76.56803131103516
2018-07-31,77.9762954711914
2018-08-01,78.68534088134766
2018-08-02,85.2342529296875
2018-08-03,85.00775146484375
2018-08-06,84.3577880859375
2018-08-07,85.2342529296875
2018-08-08,84.78125
2018-08-09,84.28884887695312
2018-08-10,83.62903594970703
2018-08-13,83.21541595458984
2018-08-14,84.32821655273438
2018-08-15,83.01846313476562
2018-08-16,83.89494323730469
2018-08-17,84.06233215332031
2018-08-20,84.32821655273438
2018-08-21,84.8994140625
2018-08-22,85.51985168457031
2018-08-23,85.43120574951172
2018-08-24,86.15997314453125
2018-08-27,87.15460968017578
2018-08-28,87.85379028320312
2018-08-29,88.72042846679688
2018-08-30,91.19227600097656
2018-08-31,91.02485656738281
2018-09-04,91.05440521240234
2018-09-05,91.64527893066406
2018-09-06,92.97476196289062
2018-09-07,92.14753723144531
2018-09-10,93.67398071289062
2018-09-11,93.18156433105469
2018-09-12,93.48686218261719
2018-09-13,94.77694702148438
2018-09-14,94.28455352783203
2018-09-17,93.1421890258789
