,MDLZ
2021-09-22,56.09788131713867
2021-09-23,56.255348205566406
2021-09-24,55.9126091003418
2021-09-27,55.08818435668945
2021-09-28,54.37493133544922
2021-09-29,55.0272331237793
2021-09-30,54.21650314331055
2021-10-01,54.24445724487305
2021-10-04,54.113990783691406
2021-10-05,54.822227478027344
2021-10-06,56.09889221191406
2021-10-07,55.81001663208008
2021-10-08,55.483863830566406
2021-10-11,55.37202835083008
2021-10-12,55.60499954223633
2021-10-13,55.875240325927734
2021-10-14,56.49959945678711
2021-10-15,56.052303314208984
2021-10-18,55.67955017089844
2021-10-19,55.716827392578125
2021-10-20,56.182762145996094
2021-10-21,56.061614990234375
2021-10-22,56.397090911865234
2021-10-25,56.22935104370117
2021-10-26,56.68597412109375
2021-10-27,56.27595138549805
2021-10-28,56.79780197143555
2021-10-29,56.602108001708984
2021-11-01,56.76052474975586
2021-11-02,57.17987060546875
2021-11-03,58.093101501464844
2021-11-04,57.860137939453125
2021-11-05,58.01856231689453
2021-11-08,57.664451599121094
2021-11-09,57.999916076660156
2021-11-10,58.45653533935547
2021-11-11,58.21425247192383
2021-11-12,58.503135681152344
2021-11-15,58.568363189697266
2021-11-16,58.21425247192383
2021-11-17,57.93468475341797
