,EQIX
2022-01-19,692.4736938476562
2022-01-20,692.4927978515625
2022-01-21,684.027587890625
2022-01-24,692.8056640625
2022-01-25,682.2168579101562
2022-01-26,659.6176147460938
2022-01-27,647.4742431640625
2022-01-28,670.7371215820312
2022-01-31,687.1748046875
2022-02-01,678.06494140625
2022-02-02,679.2593383789062
2022-02-03,675.8085327148438
2022-02-04,665.6087036132812
2022-02-07,661.81689453125
2022-02-08,654.5839233398438
2022-02-09,681.2120361328125
2022-02-10,651.9296264648438
2022-02-11,636.5726928710938
2022-02-14,634.5441284179688
2022-02-15,638.3359375
2022-02-16,638.5255126953125
2022-02-17,655.6171264648438
2022-02-18,656.8779296875
2022-02-22,645.3414306640625
2022-02-23,639.046875
2022-02-24,668.77490234375
2022-02-25,678.4913940429688
2022-02-28,672.7941284179688
2022-03-01,673.8084716796875
2022-03-02,672.5382080078125
2022-03-03,683.3070678710938
2022-03-04,686.3535766601562
2022-03-07,669.3594360351562
2022-03-08,648.7474975585938
2022-03-09,670.435302734375
2022-03-10,672.6060180664062
2022-03-11,660.2959594726562
2022-03-14,650.822998046875
2022-03-15,667.9981689453125
2022-03-16,670.3019409179688
2022-03-17,685.3444213867188
2022-03-18,697.1500244140625
2022-03-21,683.3356323242188
2022-03-22,684.620849609375
2022-03-23,673.8817749023438
2022-03-24,677.5089721679688
2022-03-25,676.0904541015625
2022-03-28,695.8741455078125
2022-03-29,724.8735961914062
2022-03-30,717.6665649414062
2022-03-31,706.06103515625
2022-04-01,726.416015625
2022-04-04,727.8059692382812
2022-04-05,725.8447265625
2022-04-06,729.8148193359375
2022-04-07,722.82666015625
2022-04-08,731.9188842773438
2022-04-11,715.5720825195312
2022-04-12,706.089599609375
2022-04-13,715.876708984375
2022-04-14,699.9869995117188
2022-04-18,695.6265258789062
2022-04-19,718.0569458007812
2022-04-20,731.3380737304688
2022-04-21,721.3034057617188
2022-04-22,709.6693115234375
2022-04-25,716.4385986328125
2022-04-26,703.8333740234375
2022-04-27,683.4783935546875
2022-04-28,720.1801147460938
2022-04-29,684.6017456054688
2022-05-02,668.7120361328125
2022-05-03,686.7344360351562
2022-05-04,697.03564453125
2022-05-05,679.1846313476562
2022-05-06,679.2323608398438
2022-05-09,622.8231201171875
2022-05-10,599.840576171875
2022-05-11,594.2425537109375
2022-05-12,599.6788330078125
2022-05-13,628.1641845703125
2022-05-16,615.4257202148438
2022-05-17,618.7643432617188
2022-05-18,609.8006591796875
2022-05-19,607.5525512695312
2022-05-20,623.5284423828125
2022-05-23,634.7594604492188
2022-05-24,642.680419921875
2022-05-25,656.76220703125
2022-05-26,640.948974609375
2022-05-27,663.6021118164062
2022-05-31,657.2979125976562
2022-06-01,649.5586547851562
2022-06-02,664.5205688476562
2022-06-03,649.02294921875
2022-06-06,662.33935546875
2022-06-07,661.5645141601562
2022-06-08,639.6669311523438
2022-06-09,629.8709106445312
2022-06-10,621.0220947265625
2022-06-13,589.5582275390625
2022-06-14,591.6914672851562
2022-06-15,613.4453735351562
2022-06-16,591.6148681640625
2022-06-17,605.371337890625
2022-06-21,612.4218139648438
2022-06-22,629.4214477539062
2022-06-23,648.0471801757812
2022-06-24,659.28759765625
2022-06-27,655.8436889648438
2022-06-28,640.087890625
2022-06-29,621.3377075195312
2022-06-30,628.5316772460938
2022-07-01,643.8475952148438
2022-07-05,638.2320556640625
2022-07-06,633.8027954101562
2022-07-07,632.0904541015625
2022-07-08,622.3135986328125
2022-07-11,619.24267578125
2022-07-12,601.0092163085938
2022-07-13,598.7515869140625
2022-07-14,585.3967895507812
2022-07-15,592.8777465820312
2022-07-18,588.304931640625
2022-07-19,609.7432861328125
2022-07-20,609.7432861328125
2022-07-21,621.997802734375
2022-07-22,625.4322509765625
2022-07-25,621.318603515625
2022-07-26,613.8759765625
2022-07-27,623.9303588867188
2022-07-28,680.4676513671875
2022-07-29,673.2259521484375
2022-08-01,664.3196411132812
2022-08-02,658.84765625
2022-08-03,665.9745483398438
2022-08-04,666.7781982421875
2022-08-05,667.2660522460938
2022-08-08,666.7973022460938
2022-08-09,667.49560546875
2022-08-10,678.6979370117188
2022-08-11,659.4215698242188
2022-08-12,674.0103759765625
2022-08-15,683.7967529296875
2022-08-16,684.133056640625
2022-08-17,679.1945190429688
2022-08-18,673.9292602539062
2022-08-19,669.4808349609375
2022-08-22,648.8810424804688
2022-08-23,641.6077270507812
2022-08-24,645.153076171875
2022-08-25,662.5054321289062
2022-08-26,644.4517822265625
2022-08-29,633.4888916015625
2022-08-30,630.1837768554688
2022-08-31,631.6057739257812
2022-09-01,627.6951904296875
2022-09-02,606.4229736328125
2022-09-06,607.0764770507812
2022-09-07,621.8344116210938
2022-09-08,625.3893432617188
2022-09-09,632.1054077148438
2022-09-12,639.3882446289062
2022-09-13,611.332763671875
2022-09-14,602.1185302734375
2022-09-15,592.1647338867188
2022-09-16,600.2642211914062
2022-09-19,601.4268798828125
2022-09-20,592.3375854492188
2022-09-21,595.8925170898438
2022-09-22,585.38134765625
2022-09-23,569.883544921875
2022-09-26,558.7957763671875
