,CTSH
2021-10-08,71.68881225585938
2021-10-11,71.59384155273438
2021-10-12,71.32793426513672
2021-10-13,71.82173919677734
2021-10-14,73.55010986328125
2021-10-15,74.8606185913086
2021-10-18,74.9176025390625
2021-10-19,75.77228546142578
2021-10-20,75.17401885986328
2021-10-21,75.09803771972656
2021-10-22,75.02205657958984
2021-10-25,74.98407745361328
2021-10-26,74.78465270996094
2021-10-27,73.7970199584961
2021-10-28,73.4266586303711
2021-10-29,74.15788269042969
2021-11-01,74.0724105834961
2021-11-02,74.66120147705078
2021-11-03,75.63933563232422
2021-11-04,75.53488159179688
2021-11-05,75.88624572753906
2021-11-08,76.13314056396484
2021-11-09,76.45604705810547
2021-11-10,76.58897399902344
2021-11-11,76.9878158569336
2021-11-12,77.85202026367188
2021-11-15,77.82350158691406
2021-11-16,77.63359069824219
2021-11-17,76.91185760498047
2021-11-18,77.18806457519531
2021-11-19,78.0929183959961
2021-11-22,77.52143096923828
2021-11-23,76.92137908935547
2021-11-24,76.9023208618164
2021-11-26,74.67354583740234
2021-11-29,75.9212875366211
2021-11-30,74.27352142333984
2021-12-01,73.20677185058594
2021-12-02,75.65459442138672
2021-12-03,74.787841796875
2021-12-06,76.88327026367188
2021-12-07,77.57858276367188
2021-12-08,77.35952758789062
2021-12-09,77.14044189453125
2021-12-10,78.19769287109375
2021-12-13,78.03577423095703
2021-12-14,77.98814392089844
2021-12-15,78.95964813232422
2021-12-16,80.65505981445312
2021-12-17,80.78840637207031
2021-12-20,78.96919250488281
2021-12-21,81.15034484863281
2021-12-22,81.81707763671875
2021-12-23,82.18853759765625
2021-12-27,83.9029769897461
2021-12-28,84.51256561279297
2021-12-29,85.33167266845703
2021-12-30,84.71257781982422
2021-12-31,84.5030517578125
2022-01-03,85.31263732910156
2022-01-04,87.07469940185547
2022-01-05,85.74124145507812
2022-01-06,84.03632354736328
2022-01-07,83.26482391357422
2022-01-10,82.55999755859375
2022-01-11,83.78868103027344
2022-01-12,83.88392639160156
2022-01-13,83.05528259277344
2022-01-14,83.05528259277344
2022-01-18,82.09329223632812
2022-01-19,81.9504165649414
2022-01-20,81.61705780029297
2022-01-21,80.25502014160156
2022-01-24,81.05509948730469
2022-01-25,78.34056091308594
2022-01-26,77.94052124023438
2022-01-27,77.90242004394531
2022-01-28,80.42646789550781
2022-01-31,81.3598861694336
2022-02-01,82.3123550415039
2022-02-02,84.04584503173828
2022-02-03,81.9694595336914
2022-02-04,82.6933364868164
2022-02-07,83.5696029663086
2022-02-08,84.931640625
2022-02-09,87.33186340332031
2022-02-10,85.96031188964844
2022-02-11,83.1886215209961
2022-02-14,82.14090728759766
2022-02-15,84.82685089111328
2022-02-16,85.16976928710938
2022-02-17,82.08396911621094
2022-02-18,82.50433349609375
2022-02-22,81.4629898071289
2022-02-23,80.87067413330078
2022-02-24,82.23682403564453
2022-02-25,84.10930633544922
2022-02-28,82.28459167480469
2022-03-01,81.96932220458984
2022-03-02,84.25261688232422
2022-03-03,84.00423431396484
2022-03-04,84.91181182861328
2022-03-07,82.7336196899414
2022-03-08,83.57432556152344
2022-03-09,84.03288269042969
2022-03-10,83.74629211425781
2022-03-11,84.10930633544922
2022-03-14,83.52655029296875
2022-03-15,84.23350524902344
2022-03-16,85.6952133178711
2022-03-17,86.53591918945312
2022-03-18,87.62500762939453
2022-03-21,87.30975341796875
2022-03-22,88.96251678466797
2022-03-23,86.89895629882812
2022-03-24,87.11868286132812
2022-03-25,87.42439270019531
2022-03-28,87.45304870605469
2022-03-29,88.58992004394531
2022-03-30,87.30975341796875
2022-03-31,85.66653442382812
2022-04-01,85.99137115478516
2022-04-04,86.00092315673828
2022-04-05,82.9246826171875
2022-04-06,83.02976989746094
2022-04-07,83.88957214355469
2022-04-08,84.98823547363281
2022-04-11,83.31636810302734
