,EIX
2022-12-08,59.985355377197266
2022-12-09,60.34306716918945
2022-12-12,61.83810806274414
2022-12-13,62.2508544921875
2022-12-14,62.049068450927734
2022-12-15,61.205230712890625
2022-12-16,59.71018981933594
2022-12-19,59.572608947753906
2022-12-20,59.50840377807617
2022-12-21,59.820255279541016
2022-12-22,59.15986251831055
2022-12-23,59.783573150634766
2022-12-27,60.370574951171875
2022-12-28,59.636810302734375
2022-12-29,59.74628829956055
2022-12-30,59.02265167236328
2023-01-03,59.634952545166016
2023-01-04,61.59248352050781
2023-01-05,60.20087814331055
2023-01-06,62.03779602050781
2023-01-09,62.89131164550781
2023-01-10,63.27169418334961
2023-01-11,64.40353393554688
2023-01-12,63.503623962402344
2023-01-13,63.27169418334961
2023-01-17,63.735557556152344
2023-01-18,61.96358108520508
2023-01-19,60.92451477050781
2023-01-20,61.90790557861328
2023-01-23,62.18623352050781
2023-01-24,62.91915512084961
2023-01-25,62.65009307861328
2023-01-26,63.429412841796875
2023-01-27,63.772666931152344
2023-01-30,63.21603012084961
2023-01-31,63.92109680175781
2023-02-01,62.965538024902344
2023-02-02,63.772666931152344
2023-02-03,62.03779602050781
2023-02-06,62.90986633300781
2023-02-07,62.44599914550781
2023-02-08,61.98213195800781
2023-02-09,61.054386138916016
2023-02-10,62.16769027709961
2023-02-13,63.104698181152344
2023-02-14,62.65938949584961
2023-02-15,62.80781555175781
2023-02-16,62.36250686645508
2023-02-17,62.70577621459961
2023-02-21,61.88935852050781
2023-02-22,61.41621398925781
2023-02-23,61.10078048706055
2023-02-24,63.670616149902344
2023-02-27,63.20674133300781
2023-02-28,61.42549133300781
2023-03-01,59.922550201416016
2023-03-02,60.82246780395508
2023-03-03,62.436729431152344
2023-03-06,63.475791931152344
2023-03-07,62.52022933959961
2023-03-08,63.35517883300781
2023-03-09,62.15839767456055
2023-03-10,61.44404602050781
2023-03-13,62.52022933959961
2023-03-14,63.364463806152344
2023-03-15,63.19746780395508
2023-03-16,63.99532699584961
2023-03-17,62.863487243652344
2023-03-20,64.01387786865234
2023-03-21,62.90986633300781
2023-03-22,61.51826858520508
2023-03-23,61.26778030395508
2023-03-24,63.43867492675781
2023-03-27,63.577842712402344
2023-03-28,63.735557556152344
2023-03-29,64.75606536865234
2023-03-30,65.63558197021484
2023-03-31,66.18880462646484
2023-04-03,66.14192199707031
2023-04-04,65.90750885009766
2023-04-05,67.75468444824219
2023-04-06,68.03597259521484
2023-04-10,68.29851531982422
2023-04-11,68.2703857421875
2023-04-12,68.51417541503906
2023-04-13,68.40165710449219
