,WRB
2019-11-22,27.319917678833008
2019-11-25,27.396289825439453
2019-11-26,27.834409713745117
2019-11-27,27.802249908447266
2019-11-29,27.33197784423828
2019-12-02,27.47667694091797
2019-12-03,27.34001922607422
2019-12-04,27.424428939819336
2019-12-05,28.019298553466797
2019-12-06,28.17203712463379
2019-12-09,28.19615364074707
2019-12-10,28.10370635986328
2019-12-11,27.95901107788086
2019-12-12,27.975086212158203
2019-12-13,27.95901107788086
2019-12-16,27.842445373535156
2019-12-17,27.96302604675293
2019-12-18,27.78215217590332
2019-12-19,27.62941551208496
2019-12-20,27.705780029296875
2019-12-23,27.49275779724121
2019-12-24,27.50079345703125
2019-12-26,27.520891189575195
2019-12-27,27.561084747314453
2019-12-30,27.585205078125
2019-12-31,27.774118423461914
2020-01-02,27.717844009399414
2020-01-03,27.75402069091797
2020-01-06,27.71381950378418
2020-01-07,27.20737648010254
2020-01-08,27.400310516357422
2020-01-09,27.561084747314453
2020-01-10,27.275707244873047
2020-01-13,27.376190185546875
2020-01-14,27.44854164123535
2020-01-15,27.71381950378418
2020-01-16,28.0273380279541
2020-01-17,28.280561447143555
2020-01-21,28.07556915283203
2020-01-22,28.63426971435547
2020-01-23,28.69053840637207
2020-01-24,28.967878341674805
2020-01-27,28.774946212768555
2020-01-28,29.08846092224121
2020-01-29,29.241193771362305
2020-01-30,29.976743698120117
2020-01-31,29.554706573486328
2020-02-03,29.90038299560547
2020-02-04,30.081253051757812
2020-02-05,30.62388038635254
2020-02-06,31.021804809570312
2020-02-07,31.275020599365234
2020-02-10,31.6568546295166
2020-02-11,31.865873336791992
2020-02-12,31.608627319335938
2020-02-13,31.88195037841797
2020-02-14,31.914108276367188
2020-02-18,31.898025512695312
2020-02-19,31.946256637573242
2020-02-20,31.379526138305664
2020-02-21,31.612648010253906
2020-02-24,30.965530395507812
2020-02-25,30.213899612426758
2020-02-26,29.759700775146484
2020-02-27,28.131839752197266
2020-02-28,26.98631477355957
2020-03-02,28.216251373291016
2020-03-03,27.315900802612305
2020-03-04,28.14389991760254
2020-03-05,26.845630645751953
2020-03-06,26.62455940246582
2020-03-09,24.237031936645508
2020-03-10,25.412843704223633
2020-03-11,23.415576934814453
2020-03-12,20.7176513671875
