,ALB
2023-01-12,237.4270477294922
2023-01-13,236.47036743164062
2023-01-17,237.29039001464844
2023-01-18,238.00303649902344
2023-01-19,233.424560546875
2023-01-20,242.58152770996094
2023-01-23,254.442626953125
2023-01-24,258.2401123046875
2023-01-25,264.5367431640625
2023-01-26,272.80535888671875
2023-01-27,275.0213928222656
2023-01-30,265.5130310058594
2023-01-31,274.7578125
2023-02-01,279.1020202636719
2023-02-02,283.2509765625
2023-02-03,280.400390625
2023-02-06,270.2281188964844
2023-02-07,272.6980285644531
2023-02-08,261.7740173339844
2023-02-09,261.0321044921875
2023-02-10,261.91070556640625
2023-02-13,263.5116882324219
2023-02-14,264.263427734375
2023-02-15,266.3037109375
2023-02-16,278.8286437988281
2023-02-17,251.87518310546875
2023-02-21,236.206787109375
2023-02-22,240.59002685546875
2023-02-23,247.8140869140625
2023-02-24,243.58700561523438
2023-02-27,250.90866088867188
2023-02-28,248.26312255859375
2023-03-01,246.63282775878906
2023-03-02,244.4265899658203
2023-03-03,253.20278930664062
2023-03-06,250.78179931640625
2023-03-07,242.9817352294922
2023-03-08,247.22833251953125
2023-03-09,231.12066650390625
2023-03-10,219.77696228027344
2023-03-13,217.68785095214844
2023-03-14,220.00148010253906
2023-03-15,209.3020782470703
2023-03-16,209.89869689941406
2023-03-17,203.91305541992188
2023-03-20,208.51963806152344
2023-03-21,218.03604125976562
2023-03-22,211.36578369140625
2023-03-23,210.9060821533203
2023-03-24,213.00889587402344
2023-03-27,214.07496643066406
2023-03-28,213.3707733154297
2023-03-29,219.532470703125
2023-03-30,217.5568084716797
2023-03-31,216.1875457763672
2023-04-03,213.63485717773438
2023-04-04,204.96934509277344
2023-04-05,192.39166259765625
2023-04-06,190.40623474121094
2023-04-10,195.4333953857422
2023-04-11,197.28189086914062
2023-04-12,197.27210998535156
2023-04-13,198.55335998535156
2023-04-14,199.52162170410156
2023-04-17,201.37989807128906
2023-04-18,200.76373291015625
2023-04-19,199.30645751953125
2023-04-20,188.81201171875
2023-04-21,169.93569946289062
2023-04-24,179.92156982421875
2023-04-25,172.7818145751953
2023-04-26,177.22215270996094
2023-04-27,181.91676330566406
2023-04-28,181.38864135742188
2023-05-01,173.37843322753906
2023-05-02,169.59336853027344
2023-05-03,169.1141357421875
2023-05-04,171.79397583007812
2023-05-05,175.7550811767578
2023-05-08,181.79942321777344
2023-05-09,190.8854522705078
2023-05-10,190.23992919921875
2023-05-11,194.16192626953125
2023-05-12,191.49185180664062
2023-05-15,199.27711486816406
2023-05-16,201.1549530029297
2023-05-17,203.42404174804688
2023-05-18,205.52682495117188
2023-05-19,199.66831970214844
2023-05-22,201.96673583984375
2023-05-23,211.32664489746094
2023-05-24,207.57093811035156
2023-05-25,200.47032165527344
2023-05-26,199.51182556152344
2023-05-30,197.4285888671875
2023-05-31,189.28146362304688
2023-06-01,191.24732971191406
2023-06-02,203.78590393066406
2023-06-05,201.6439666748047
2023-06-06,208.43161010742188
2023-06-07,214.01629638671875
2023-06-08,214.79872131347656
2023-06-09,215.65940856933594
2023-06-12,213.752197265625
2023-06-13,223.82611083984375
2023-06-14,221.8210906982422
2023-06-15,226.2398681640625
2023-06-16,223.55531311035156
2023-06-20,227.5233917236328
2023-06-21,225.72059631347656
2023-06-22,221.42916870117188
2023-06-23,215.7268829345703
2023-06-26,220.6649627685547
2023-06-27,222.47755432128906
2023-06-28,212.6112060546875
2023-06-29,214.5511474609375
2023-06-30,218.57801818847656
2023-07-03,224.6232452392578
2023-07-05,224.3881072998047
2023-07-06,222.9674530029297
2023-07-07,232.7161865234375
2023-07-10,235.0088653564453
2023-07-11,234.25442504882812
2023-07-12,238.51644897460938
2023-07-13,236.78224182128906
2023-07-14,230.51168823242188
2023-07-17,232.85336303710938
2023-07-18,232.23609924316406
2023-07-19,227.8173065185547
2023-07-20,218.59762573242188
2023-07-21,211.62164306640625
2023-07-24,206.53659057617188
2023-07-25,208.21200561523438
2023-07-26,205.77236938476562
2023-07-27,201.78466796875
2023-07-28,203.84222412109375
2023-07-31,207.9866485595703
2023-08-01,203.783447265625
2023-08-02,198.78656005859375
2023-08-03,195.3181610107422
2023-08-04,196.04318237304688
2023-08-07,192.77076721191406
2023-08-08,191.69300842285156
2023-08-09,190.29193115234375
2023-08-10,187.7935028076172
2023-08-11,183.69802856445312
2023-08-14,181.7874755859375
2023-08-15,180.3177947998047
2023-08-16,177.85858154296875
2023-08-17,178.98532104492188
2023-08-18,179.6809539794922
2023-08-21,184.26632690429688
2023-08-22,184.3544921875
2023-08-23,187.90126037597656
2023-08-24,186.88230895996094
2023-08-25,185.90252685546875
2023-08-28,185.80453491210938
2023-08-29,193.75051879882812
2023-08-30,194.5735321044922
2023-08-31,194.6911163330078
2023-09-01,196.2097625732422
2023-09-05,196.73886108398438
2023-09-06,185.99072265625
2023-09-07,183.77642822265625
2023-09-08,180.6999053955078
2023-09-11,182.55169677734375
2023-09-12,180.6215362548828
