,LIN
2023-03-17,323.2596435546875
2023-03-20,331.3975830078125
2023-03-21,333.8331604003906
2023-03-22,331.7301940917969
2023-03-23,333.86248779296875
2023-03-24,337.20770263671875
2023-03-27,339.50628662109375
2023-03-28,339.77032470703125
2023-03-29,342.0787353515625
2023-03-30,343.84918212890625
2023-03-31,347.6638488769531
2023-04-03,350.265625
2023-04-04,349.9721374511719
2023-04-05,347.830078125
2023-04-06,348.77880859375
2023-04-10,350.7155456542969
2023-04-11,350.4123229980469
2023-04-12,351.48828125
2023-04-13,354.0411376953125
2023-04-14,351.80126953125
2023-04-17,354.4226379394531
2023-04-18,356.88751220703125
2023-04-19,357.31787109375
2023-04-20,359.313232421875
2023-04-21,358.1981506347656
2023-04-24,359.9588317871094
2023-04-25,359.029541015625
2023-04-26,357.0146789550781
2023-04-27,357.6406555175781
2023-04-28,361.3673095703125
2023-05-01,364.16473388671875
2023-05-02,361.94439697265625
2023-05-03,355.5474548339844
2023-05-04,352.9065246582031
2023-05-05,358.35467529296875
2023-05-08,357.6700439453125
2023-05-09,356.72125244140625
2023-05-10,360.829345703125
2023-05-11,359.0099792480469
2023-05-12,362.22802734375
2023-05-15,360.7315368652344
2023-05-16,357.8949279785156
2023-05-17,357.0244445800781
2023-05-18,360.1348876953125
2023-05-19,363.3626708984375
2023-05-22,358.374267578125
2023-05-23,346.1966247558594
2023-05-24,347.0964660644531
2023-05-25,348.7886047363281
2023-05-26,348.4169921875
2023-05-30,347.1453857421875
2023-05-31,345.9227600097656
2023-06-01,348.9707946777344
2023-06-02,353.8594970703125
2023-06-05,356.1565856933594
2023-06-06,353.142822265625
2023-06-07,355.6461181640625
