,GIS
2017-06-14,45.232887268066406
2017-06-15,45.29448318481445
2017-06-16,43.96250534057617
2017-06-19,43.977928161621094
2017-06-20,43.68534851074219
2017-06-21,43.277286529541016
2017-06-22,43.115604400634766
2017-06-23,43.06940841674805
2017-06-26,43.246490478515625
2017-06-27,42.74604415893555
2017-06-28,43.43896484375
2017-06-29,42.32258605957031
2017-06-30,42.65365982055664
2017-07-03,42.484275817871094
2017-07-05,42.19939422607422
2017-07-06,41.810970306396484
2017-07-07,41.66335678100586
2017-07-10,41.484683990478516
2017-07-11,41.58567428588867
2017-07-12,41.515743255615234
2017-07-13,41.391448974609375
2017-07-14,41.748817443847656
2017-07-17,42.06733703613281
2017-07-18,41.69444274902344
2017-07-19,41.83427047729492
2017-07-20,42.08286666870117
2017-07-21,42.22269821166992
2017-07-24,42.32369613647461
2017-07-25,42.82088088989258
2017-07-26,42.82866287231445
2017-07-27,43.108333587646484
2017-07-28,42.98403549194336
2017-07-31,43.240394592285156
2017-08-01,42.88304138183594
2017-08-02,43.55891036987305
2017-08-03,43.675453186035156
2017-08-04,43.636600494384766
2017-08-07,43.79974365234375
2017-08-08,43.333621978759766
2017-08-09,43.32585144042969
2017-08-10,43.729827880859375
2017-08-11,43.962890625
2017-08-14,44.59214782714844
2017-08-15,44.5222282409668
2017-08-16,44.69314193725586
2017-08-17,44.724212646484375
2017-08-18,44.390167236328125
2017-08-21,44.506690979003906
2017-08-22,44.669830322265625
2017-08-23,44.80967330932617
2017-08-24,43.25593948364258
2017-08-25,42.743202209472656
2017-08-28,42.1683235168457
2017-08-29,41.896419525146484
2017-08-30,41.75657653808594
