,MDT
2020-11-09,100.93112182617188
2020-11-10,102.12568664550781
2020-11-11,98.27456665039062
2020-11-12,97.70404815673828
2020-11-13,100.2892837524414
2020-11-16,99.50479888916016
2020-11-17,98.18543243408203
2020-11-18,97.5881576538086
2020-11-19,98.95206451416016
2020-11-20,98.20326232910156
2020-11-23,98.92533874511719
2020-11-24,101.67994689941406
2020-11-25,101.01136016845703
2020-11-27,102.15242004394531
2020-11-30,101.35903930664062
2020-12-01,99.96834564208984
2020-12-02,101.26988983154297
2020-12-03,100.26253509521484
2020-12-04,101.49275207519531
2020-12-07,100.3873291015625
2020-12-08,99.11256408691406
2020-12-09,100.69044494628906
2020-12-10,100.44973754882812
2020-12-11,100.18229675292969
2020-12-14,99.81681060791016
2020-12-15,102.41986846923828
2020-12-16,102.49119567871094
2020-12-17,102.8210220336914
2020-12-18,104.04232788085938
2020-12-21,102.53718566894531
2020-12-22,102.69845581054688
2020-12-23,102.08027648925781
2020-12-24,102.16090393066406
2020-12-28,103.14640045166016
2020-12-29,103.54058837890625
2020-12-30,103.60333251953125
2020-12-31,104.94719696044922
2021-01-04,103.94377899169922
2021-01-05,104.7769775390625
2021-01-06,106.48816680908203
2021-01-07,106.34481048583984
2021-01-08,107.24970245361328
2021-01-11,106.16564178466797
2021-01-12,105.08160400390625
2021-01-13,106.36273193359375
2021-01-14,105.5116195678711
2021-01-15,104.65154266357422
2021-01-19,105.99540710449219
2021-01-20,106.87340545654297
2021-01-21,105.63705444335938
2021-01-22,104.44550323486328
2021-01-25,104.732177734375
2021-01-26,104.59779357910156
2021-01-27,99.89424896240234
2021-01-28,102.8238754272461
2021-01-29,99.741943359375
2021-02-01,99.60755157470703
2021-02-02,102.08924865722656
2021-02-03,100.9066162109375
2021-02-04,104.82176971435547
2021-02-05,106.0760498046875
2021-02-08,105.78040313720703
2021-02-09,105.61016082763672
2021-02-10,105.21598052978516
2021-02-11,106.36273193359375
2021-02-12,107.27656555175781
2021-02-16,107.22281646728516
2021-02-17,105.86100769042969
2021-02-18,103.37934112548828
2021-02-19,101.53377532958984
2021-02-22,103.70187377929688
2021-02-23,105.7176742553711
2021-02-24,106.38065338134766
2021-02-25,105.61016082763672
2021-02-26,104.7948989868164
2021-03-01,105.59225463867188
2021-03-02,105.60120391845703
2021-03-03,105.67288208007812
2021-03-04,103.27185821533203
2021-03-05,105.95059967041016
2021-03-08,104.52610778808594
2021-03-09,104.8665542602539
2021-03-10,106.30899047851562
2021-03-11,105.80728912353516
2021-03-12,106.44337463378906
2021-03-15,106.74799346923828
2021-03-16,106.55984497070312
2021-03-17,106.21937561035156
2021-03-18,106.46129608154297
2021-03-19,104.4813232421875
2021-03-22,104.67842864990234
2021-03-23,103.05680847167969
2021-03-24,103.89002990722656
2021-03-25,104.97053527832031
2021-03-26,106.75334167480469
2021-03-29,107.29360961914062
2021-03-30,106.99645233154297
2021-03-31,106.36617279052734
2021-04-01,106.4201889038086
2021-04-05,108.27505493164062
2021-04-06,109.08541870117188
2021-04-07,108.61720275878906
2021-04-08,108.63520812988281
2021-04-09,109.85077667236328
2021-04-12,109.66168975830078
2021-04-13,111.3184585571289
2021-04-14,111.56156921386719
2021-04-15,113.31737518310547
2021-04-16,113.37142181396484
2021-04-19,113.56948852539062
2021-04-20,115.50538635253906
2021-04-21,117.27920532226562
2021-04-22,116.91905975341797
2021-04-23,118.13461303710938
2021-04-26,117.16216278076172
2021-04-27,117.02708435058594
2021-04-28,118.13461303710938
2021-04-29,118.40474700927734
2021-04-30,117.88249206542969
2021-05-03,118.13461303710938
2021-05-04,115.70348358154297
2021-05-05,114.35284423828125
2021-05-06,114.62297821044922
2021-05-07,114.08273315429688
2021-05-10,114.2628173828125
2021-05-11,112.75011444091797
2021-05-12,110.85926055908203
2021-05-13,111.82268524169922
2021-05-14,112.79513549804688
2021-05-17,113.02924346923828
2021-05-18,113.31737518310547
2021-05-19,113.15531158447266
2021-05-20,114.08273315429688
2021-05-21,114.61398315429688
2021-05-24,115.34331512451172
2021-05-25,115.61341857910156
2021-05-26,113.695556640625
2021-05-27,112.68709564208984
2021-05-28,113.98368835449219
2021-06-01,112.3629379272461
2021-06-02,111.47151947021484
2021-06-03,110.81421661376953
2021-06-04,111.51654052734375
2021-06-07,111.61558532714844
2021-06-08,109.67069244384766
2021-06-09,110.85023498535156
2021-06-10,112.31790161132812
2021-06-11,111.4535140991211
2021-06-14,111.78666687011719
2021-06-15,112.70508575439453
2021-06-16,112.57003784179688
2021-06-17,112.74110412597656
2021-06-18,110.95829010009766
2021-06-21,113.03826141357422
2021-06-22,114.10974884033203
2021-06-23,112.99323272705078
2021-06-24,113.20137023925781
2021-06-25,113.05657196044922
2021-06-28,111.97967529296875
2021-06-29,112.70364379882812
2021-06-30,112.33261108398438
2021-07-01,114.14252471923828
2021-07-02,114.7760009765625
2021-07-06,114.90270233154297
2021-07-07,115.59950256347656
2021-07-08,115.3280258178711
2021-07-09,115.9886474609375
2021-07-12,116.01579284667969
2021-07-13,115.29182434082031
2021-07-14,115.59950256347656
2021-07-15,113.44572448730469
2021-07-16,113.84388732910156
2021-07-19,111.08377075195312
2021-07-20,113.5814437866211
2021-07-21,114.97509765625
2021-07-22,115.02938842773438
2021-07-23,116.32345581054688
