,KIM
2022-04-21,22.861766815185547
2022-04-22,22.403827667236328
2022-04-25,22.562347412109375
2022-04-26,22.174854278564453
2022-04-27,22.22769546508789
2022-04-28,23.20522117614746
2022-04-29,22.306955337524414
2022-05-02,21.681692123413086
2022-05-03,22.06036949157715
2022-05-04,22.28934097290039
2022-05-05,21.311817169189453
2022-05-06,21.126876831054688
2022-05-09,20.563261032104492
2022-05-10,20.017253875732422
2022-05-11,19.541702270507812
2022-05-12,19.81470489501953
2022-05-13,20.475196838378906
2022-05-16,20.46639060974121
2022-05-17,21.21494483947754
2022-05-18,20.23741912841797
2022-05-19,19.876352310180664
2022-05-20,19.383182525634766
2022-05-23,19.45363426208496
2022-05-24,19.79709243774414
2022-05-25,20.0524845123291
2022-05-26,20.369518280029297
2022-05-27,20.906715393066406
2022-05-31,20.827457427978516
2022-06-01,20.202192306518555
2022-06-02,20.536842346191406
2022-06-03,20.211002349853516
2022-06-06,19.93799591064453
2022-06-07,20.281450271606445
2022-06-08,19.721778869628906
2022-06-09,18.94890022277832
2022-06-10,18.344806671142578
2022-06-13,17.305418014526367
2022-06-14,17.056676864624023
2022-06-15,17.154394149780273
2022-06-16,16.656909942626953
2022-06-17,16.825700759887695
2022-06-21,16.89676856994629
2022-06-22,16.89676856994629
2022-06-23,17.37648582458496
2022-06-24,17.891738891601562
2022-06-27,18.03388023376465
2022-06-28,18.096067428588867
2022-06-29,17.927276611328125
2022-06-30,17.563045501708984
2022-07-01,17.95392417907715
2022-07-05,17.86509132385254
2022-07-06,17.687416076660156
2022-07-07,17.811786651611328
2022-07-08,17.60746192932129
2022-07-11,17.60746192932129
2022-07-12,17.936161041259766
2022-07-13,17.660764694213867
2022-07-14,17.305418014526367
2022-07-15,17.873973846435547
2022-07-18,18.087181091308594
2022-07-19,18.66461753845215
2022-07-20,19.019968032836914
2022-07-21,19.019968032836914
2022-07-22,19.055505752563477
2022-07-25,19.108808517456055
2022-07-26,18.8067626953125
2022-07-27,19.09992218017578
2022-07-28,19.419734954833984
2022-07-29,19.641826629638672
2022-08-01,19.268712997436523
2022-08-02,18.984434127807617
2022-08-03,19.037734985351562
2022-08-04,18.957782745361328
2022-08-05,19.019968032836914
2022-08-08,19.428619384765625
2022-08-09,19.579641342163086
2022-08-10,20.09489631652832
2022-08-11,20.299219131469727
2022-08-12,20.7434024810791
2022-08-15,20.974376678466797
2022-08-16,21.080982208251953
2022-08-17,20.77893829345703
2022-08-18,20.770055770874023
2022-08-19,20.19261360168457
2022-08-22,19.544105529785156
2022-08-23,19.526338577270508
2022-08-24,19.632938385009766
2022-08-25,19.93498992919922
2022-08-26,19.295360565185547
2022-08-29,19.037734985351562
2022-08-30,19.046619415283203
2022-08-31,18.726808547973633
2022-09-01,18.922245025634766
2022-09-02,18.860063552856445
2022-09-06,18.913362503051758
2022-09-07,19.322010040283203
2022-09-08,19.43868064880371
2022-09-09,19.752788543701172
2022-09-12,20.01304817199707
2022-09-13,19.0976505279541
2022-09-14,18.68482780456543
2022-09-15,18.559185028076172
2022-09-16,18.613033294677734
2022-09-19,18.72072410583496
2022-09-20,18.17328453063965
2022-09-21,17.769432067871094
2022-09-22,17.204044342041016
2022-09-23,16.880958557128906
2022-09-26,16.18992805480957
2022-09-27,16.29762077331543
2022-09-28,16.728395462036133
2022-09-29,16.225820541381836
2022-09-30,16.521982192993164
2022-10-03,16.818140029907227
2022-10-04,17.35660743713379
2022-10-05,17.320707321166992
2022-10-06,17.195064544677734
2022-10-07,16.71942138671875
2022-10-10,16.728395462036133
2022-10-11,16.94378089904785
2022-10-12,16.93480682373047
2022-10-13,17.35660743713379
2022-10-14,17.015575408935547
2022-10-17,17.302762985229492
2022-10-18,17.652767181396484
2022-10-19,17.14122200012207
2022-10-20,17.248910903930664
2022-10-21,17.670711517333984
2022-10-24,17.859176635742188
2022-10-25,18.397642135620117
