,AIZ
2018-02-06,77.11824798583984
2018-02-07,77.11824798583984
2018-02-08,74.2161865234375
2018-02-09,76.69996643066406
2018-02-12,76.27293395996094
2018-02-13,76.97012329101562
2018-02-14,78.1204833984375
2018-02-15,78.49523162841797
2018-02-16,78.36450958251953
2018-02-20,77.19669342041016
2018-02-21,76.91780853271484
2018-02-22,76.5517807006836
2018-02-23,77.67445373535156
2018-02-26,77.56922912597656
2018-02-27,76.61319732666016
2018-02-28,74.96427154541016
2018-03-01,75.15723419189453
2018-03-02,75.8150405883789
2018-03-05,77.7621841430664
2018-03-06,78.72696685791016
2018-03-07,78.13054656982422
2018-03-08,77.49906158447266
2018-03-09,79.64788055419922
2018-03-12,78.06036376953125
2018-03-13,78.14808654785156
2018-03-14,77.20960998535156
2018-03-15,77.95513153076172
2018-03-16,78.87606048583984
2018-03-19,79.05147552490234
2018-03-20,79.7531509399414
2018-03-21,79.82331848144531
2018-03-22,78.48138427734375
2018-03-23,76.73597717285156
2018-03-26,79.67420196533203
2018-03-27,78.66555786132812
2018-03-28,79.7531509399414
2018-03-29,80.17415618896484
2018-04-02,77.34117889404297
2018-04-03,78.91114044189453
2018-04-04,79.97242736816406
2018-04-05,80.51622009277344
2018-04-06,78.53401947021484
2018-04-09,78.69189453125
2018-04-10,79.5777359008789
2018-04-11,79.45494079589844
2018-04-12,80.51622009277344
2018-04-13,80.26185607910156
2018-04-16,81.13016510009766
2018-04-17,81.47222137451172
2018-04-18,81.31437683105469
2018-04-19,81.2178726196289
2018-04-20,81.92831420898438
2018-04-23,81.87570190429688
2018-04-24,81.88446044921875
2018-04-25,81.91078186035156
2018-04-26,81.92831420898438
2018-04-27,82.4370346069336
2018-04-30,81.41085052490234
2018-05-01,80.55130767822266
2018-05-02,78.6217041015625
2018-05-03,77.72709655761719
2018-05-04,77.12189483642578
2018-05-07,76.56060028076172
2018-05-08,75.87643432617188
2018-05-09,75.77120971679688
2018-05-10,76.79737854003906
2018-05-11,76.80615234375
2018-05-14,76.54302215576172
2018-05-15,78.6831283569336
2018-05-16,82.39315795898438
2018-05-17,82.70015716552734
2018-05-18,84.12979125976562
2018-05-21,85.91026306152344
2018-05-22,84.27890014648438
2018-05-23,83.62986755371094
2018-05-24,85.19983673095703
2018-05-25,85.12925720214844
2018-05-29,84.08831024169922
2018-05-30,84.15009307861328
2018-05-31,82.35042572021484
2018-06-01,82.97676086425781
2018-06-04,83.10909271240234
2018-06-05,83.17086791992188
2018-06-06,84.24710083007812
2018-06-07,86.01144409179688
2018-06-08,86.70834350585938
2018-06-11,83.911865234375
2018-06-12,84.64408111572266
2018-06-13,85.73796844482422
2018-06-14,84.47647094726562
2018-06-15,84.23828887939453
2018-06-18,84.00890350341797
2018-06-19,87.86398315429688
2018-06-20,89.35486602783203
2018-06-21,90.15763092041016
2018-06-22,90.30760192871094
2018-06-25,90.50165557861328
2018-06-26,89.39897155761719
2018-06-27,90.2811279296875
2018-06-28,92.5659408569336
2018-06-29,91.29563903808594
2018-07-02,91.57791900634766
2018-07-03,93.07760620117188
2018-07-05,92.66297912597656
2018-07-06,92.38069915771484
2018-07-09,93.8362808227539
2018-07-10,94.63904571533203
2018-07-11,95.39771270751953
2018-07-12,94.8066635131836
2018-07-13,95.29182434082031
2018-07-16,95.25656127929688
2018-07-17,94.96544647216797
2018-07-18,96.02404022216797
2018-07-19,94.51553344726562
2018-07-20,94.8066635131836
2018-07-23,94.78900909423828
2018-07-24,94.84192657470703
2018-07-25,95.32714080810547
2018-07-26,97.17086791992188
2018-07-27,96.3151626586914
2018-07-30,96.78273010253906
2018-07-31,97.30321502685547
2018-08-01,96.42103576660156
2018-08-02,96.16521453857422
2018-08-03,95.39771270751953
2018-08-06,93.53633117675781
2018-08-07,93.91565704345703
2018-08-08,95.05366516113281
2018-08-09,93.46575164794922
2018-08-10,93.75687408447266
2018-08-13,94.2332534790039
2018-08-14,96.07701110839844
2018-08-15,95.01836395263672
2018-08-16,93.55397033691406
2018-08-17,92.8658676147461
2018-08-20,92.78649139404297
2018-08-21,93.01586151123047
2018-08-22,92.63651275634766
2018-08-23,92.20426940917969
2018-08-24,92.79847717285156
2018-08-27,93.34838104248047
2018-08-28,92.47919464111328
2018-08-29,91.73419952392578
2018-08-30,90.45702362060547
2018-08-31,91.19317626953125
2018-09-04,90.60781860351562
2018-09-05,91.08673858642578
2018-09-06,91.66324615478516
2018-09-07,92.20427703857422
2018-09-10,90.1732177734375
2018-09-11,89.9337387084961
2018-09-12,89.23306274414062
2018-09-13,90.9625473022461
2018-09-14,92.106689453125
2018-09-17,92.19539642333984
2018-09-18,93.2508316040039
2018-09-19,93.20648193359375
2018-09-20,93.6677017211914
2018-09-21,93.3128890991211
2018-09-24,92.15104675292969
2018-09-25,92.14216613769531
2018-09-26,94.98918914794922
2018-09-27,94.2707748413086
2018-09-28,95.7430648803711
2018-10-01,94.84727478027344
2018-10-02,95.21092224121094
2018-10-03,95.45038604736328
2018-10-04,95.53021240234375
2018-10-05,95.90270233154297
2018-10-08,96.17767333984375
