,KMI
2017-07-19,12.903925895690918
2017-07-20,13.48778247833252
2017-07-21,13.573062896728516
2017-07-24,13.336896896362305
2017-07-25,13.284418106079102
2017-07-26,13.34345817565918
2017-07-27,13.511777877807617
2017-07-28,13.465567588806152
2017-07-31,13.485371589660645
2017-08-01,13.432567596435547
2017-08-02,13.419365882873535
2017-08-03,13.35335636138916
2017-08-04,13.33355712890625
2017-08-07,13.300552368164062
2017-08-08,13.036518096923828
2017-08-09,13.036518096923828
2017-08-10,12.7988920211792
2017-08-11,12.587666511535645
2017-08-14,12.56126594543457
2017-08-15,12.442450523376465
2017-08-16,12.350037574768066
2017-08-17,12.145415306091309
2017-08-18,12.244424819946289
2017-08-21,12.244424819946289
2017-08-22,12.402844429016113
2017-08-23,12.548065185546875
2017-08-24,12.574464797973633
2017-08-25,12.653679847717285
2017-08-28,12.548065185546875
2017-08-29,12.554662704467773
2017-08-30,12.587666511535645
2017-08-31,12.759286880493164
2017-09-01,12.779090881347656
2017-09-05,12.772490501403809
2017-09-06,12.759286880493164
2017-09-07,12.633874893188477
2017-09-08,12.633874893188477
2017-09-11,12.831894874572754
2017-09-12,12.779090881347656
2017-09-13,12.831894874572754
2017-09-14,12.765891075134277
2017-09-15,12.779090881347656
2017-09-18,12.7988920211792
2017-09-19,12.91110610961914
2017-09-20,13.049723625183105
2017-09-21,12.752686500549316
2017-09-22,12.719683647155762
2017-09-25,12.996912956237793
2017-09-26,12.88470458984375
2017-09-27,12.759286880493164
2017-09-28,12.746085166931152
2017-09-29,12.660277366638184
2017-10-02,12.607468605041504
2017-10-03,12.442450523376465
2017-10-04,12.422645568847656
2017-10-05,12.607468605041504
2017-10-06,12.554662704467773
2017-10-09,12.56126594543457
2017-10-10,12.508460998535156
2017-10-11,12.574464797973633
2017-10-12,12.46225357055664
2017-10-13,12.38304328918457
2017-10-16,12.416046142578125
2017-10-17,12.330238342285156
2017-10-18,12.26423168182373
2017-10-19,12.31043529510498
2017-10-20,12.158617973327637
2017-10-23,11.960596084594727
2017-10-24,12.059606552124023
2017-10-25,11.854981422424316
2017-10-26,11.881383895874023
2017-10-27,11.901190757751465
2017-10-30,12.030802726745605
2017-10-31,12.037446975708008
2017-11-01,12.050742149353027
2017-11-02,11.831396102905273
2017-11-03,11.791512489318848
2017-11-06,12.017509460449219
2017-11-07,11.990922927856445
2017-11-08,11.96433162689209
2017-11-09,11.904510498046875
2017-11-10,11.744986534118652
2017-11-13,11.605400085449219
2017-11-14,11.585465431213379
2017-11-15,11.319588661193848
2017-11-16,11.186650276184082
2017-11-17,11.306296348571777
2017-11-20,11.339532852172852
2017-11-21,11.213238716125488
2017-11-22,11.366117477416992
2017-11-24,11.425938606262207
2017-11-27,11.27306079864502
2017-11-28,11.319588661193848
2017-11-29,11.14012336730957
2017-11-30,11.452526092529297
2017-12-01,11.572168350219727
2017-12-04,11.465821266174316
2017-12-05,11.39270305633545
2017-12-06,11.372763633728027
2017-12-07,11.538934707641602
2017-12-08,11.824752807617188
2017-12-11,11.937745094299316
2017-12-12,11.798163414001465
2017-12-13,11.864630699157715
2017-12-14,11.85798454284668
2017-12-15,11.917806625366211
2017-12-18,11.96433162689209
2017-12-19,11.911161422729492
2017-12-20,11.8048095703125
2017-12-21,12.010859489440918
2017-12-22,11.997570037841797
2017-12-26,12.037446975708008
2017-12-27,12.044096946716309
2017-12-28,12.170385360717773
2017-12-29,12.010859489440918
2018-01-02,12.496081352233887
2018-01-03,12.60243034362793
2018-01-04,12.63566780090332
2018-01-05,12.595787048339844
2018-01-08,12.535961151123047
2018-01-09,12.589136123657227
2018-01-10,12.549257278442383
2018-01-11,12.761957168579102
2018-01-12,12.974655151367188
2018-01-16,12.888245582580566
2018-01-17,13.007887840270996
2018-01-18,12.63566780090332
2018-01-19,12.63566780090332
2018-01-22,13.047768592834473
2018-01-23,12.928130149841309
2018-01-24,12.722074508666992
2018-01-25,12.509373664855957
2018-01-26,12.476140975952148
2018-01-29,12.436257362365723
2018-01-30,12.198709487915039
2018-01-31,12.031420707702637
2018-02-01,12.084952354431152
2018-02-02,11.710225105285645
2018-02-05,11.248506546020508
2018-02-06,11.596467971801758
2018-02-07,11.56970500946045
2018-02-08,11.241815567016602
2018-02-09,11.536243438720703
2018-02-12,11.576393127441406
2018-02-13,11.636619567871094
2018-02-14,11.67676830291748
2018-02-15,11.583087921142578
2018-02-16,11.415799140930176
2018-02-20,11.375645637512207
2018-02-21,11.208357810974121
2018-02-22,11.148134231567383
2018-02-23,11.382342338562012
2018-02-26,11.322115898132324
2018-02-27,11.134750366210938
2018-02-28,10.840324401855469
2018-03-01,10.847014427185059
2018-03-02,10.773408889770508
2018-03-05,10.847014427185059
2018-03-06,10.780098915100098
2018-03-07,10.739949226379395
2018-03-08,10.713186264038086
2018-03-09,10.927311897277832
2018-03-12,11.0745267868042
2018-03-13,11.041069984436035
2018-03-14,10.987537384033203
2018-03-15,10.913930892944336
2018-03-16,10.98084545135498
2018-03-19,10.706491470336914
2018-03-20,10.44552230834961
2018-03-21,10.646267890930176
2018-03-22,10.27823257446289
2018-03-23,10.044028282165527
2018-03-26,10.124326705932617
2018-03-27,10.097559928894043
2018-03-28,9.910196304321289
2018-03-29,10.07748794555664
2018-04-02,9.970419883728027
2018-04-03,10.044028282165527
2018-04-04,10.144401550292969
2018-04-05,10.371914863586426
2018-04-06,10.151091575622559
2018-04-09,10.104253768920898
2018-04-10,10.44552230834961
2018-04-11,10.2715425491333
2018-04-12,10.264848709106445
2018-04-13,10.258160591125488
2018-04-16,10.492363929748535
2018-04-17,10.719874382019043
2018-04-18,10.8202486038208
2018-04-19,11.067837715148926
2018-04-20,11.020994186401367
2018-04-23,11.000922203063965
2018-04-24,10.887163162231445
2018-04-25,10.880472183227539
2018-04-26,10.853707313537598
2018-04-27,10.806283950805664
2018-04-30,10.7182035446167
2018-05-01,10.853707313537598
2018-05-02,10.94855785369873
2018-05-03,10.7182035446167
2018-05-04,10.914681434631348
2018-05-07,10.982433319091797
2018-05-08,10.887581825256348
2018-05-09,11.145037651062012
2018-05-10,11.178910255432129
2018-05-11,11.185686111450195
2018-05-14,11.273761749267578
2018-05-15,11.138262748718262
2018-05-16,11.111159324645996
2018-05-17,11.043408393859863
2018-05-18,10.887581825256348
2018-05-21,10.826604843139648
2018-05-22,10.799505233764648
2018-05-23,10.968881607055664
2018-05-24,10.758856773376465
2018-05-25,10.765632629394531
2018-05-29,10.86725902557373
2018-05-30,11.219560623168945
2018-05-31,11.300863265991211
2018-06-01,11.44991397857666
2018-06-04,11.47701644897461
2018-06-05,11.40926456451416
2018-06-06,11.327964782714844
2018-06-07,11.558318138122559
2018-06-08,11.416038513183594
2018-06-11,11.619292259216309
2018-06-12,11.47024154663086
2018-06-13,11.341514587402344
