,RMD
2023-06-23,212.0413055419922
2023-06-26,211.2729949951172
2023-06-27,210.88885498046875
2023-06-28,211.4601593017578
2023-06-29,212.98687744140625
2023-06-30,215.22286987304688
2023-07-03,211.43060302734375
2023-07-05,213.19375610351562
2023-07-06,211.7753448486328
2023-07-07,212.5633544921875
2023-07-10,213.36122131347656
2023-07-11,213.65670776367188
2023-07-12,213.6271514892578
2023-07-13,215.4099884033203
2023-07-14,219.01510620117188
2023-07-17,217.45880126953125
2023-07-18,217.8035430908203
2023-07-19,214.77960205078125
2023-07-20,216.00100708007812
2023-07-21,216.64126586914062
2023-07-24,214.88796997070312
2023-07-25,216.6905059814453
2023-07-26,218.305908203125
2023-07-27,218.1778564453125
2023-07-28,219.8227996826172
2023-07-31,219.01510620117188
2023-08-01,221.9701385498047
2023-08-02,218.81809997558594
2023-08-03,216.65110778808594
2023-08-04,176.56155395507812
2023-08-07,183.8702392578125
2023-08-08,176.5812530517578
2023-08-09,174.2664794921875
2023-08-10,174.4733428955078
2023-08-11,176.77822875976562
2023-08-14,178.13755798339844
2023-08-15,180.6000518798828
2023-08-16,171.55377197265625
2023-08-17,162.75437927246094
2023-08-18,163.61355590820312
2023-08-21,163.83082580566406
2023-08-22,160.56190490722656
2023-08-23,159.98910522460938
2023-08-24,157.7571563720703
2023-08-25,158.9817657470703
2023-08-28,159.87059020996094
2023-08-29,161.8951416015625
2023-08-30,162.1420440673828
2023-08-31,157.60902404785156
2023-09-01,157.2139892578125
2023-09-05,151.97979736328125
2023-09-06,151.42672729492188
2023-09-07,148.63185119628906
2023-09-08,146.11351013183594
2023-09-11,149.6293182373047
2023-09-12,147.12086486816406
2023-09-13,144.52346801757812
2023-09-14,145.80735778808594
2023-09-15,143.5852813720703
2023-09-18,144.23709106445312
2023-09-19,141.90640258789062
2023-09-20,139.3682861328125
2023-09-21,134.59823608398438
2023-09-22,134.91427612304688
2023-09-25,136.57342529296875
2023-09-26,141.42247009277344
2023-09-27,146.8048095703125
2023-09-28,148.1874542236328
2023-09-29,146.0345001220703
2023-10-02,143.94082641601562
2023-10-03,142.7952117919922
2023-10-04,146.17276000976562
2023-10-05,143.71368408203125
2023-10-06,144.77037048339844
2023-10-09,144.72100830078125
2023-10-10,148.54298400878906
2023-10-11,142.439697265625
2023-10-12,134.6081085205078
2023-10-13,138.50909423828125
2023-10-16,139.48681640625
2023-10-17,140.079345703125
2023-10-18,140.66201782226562
2023-10-19,140.52374267578125
2023-10-20,142.4100341796875
2023-10-23,144.80992126464844
2023-10-24,140.50401306152344
2023-10-25,138.75599670410156
2023-10-26,137.00794982910156
2023-10-27,132.9785919189453
2023-10-30,135.7438507080078
2023-10-31,139.46705627441406
2023-11-01,145.35305786132812
2023-11-02,148.23683166503906
2023-11-03,150.91319274902344
2023-11-06,151.96990966796875
2023-11-07,148.3948516845703
