,MMM
2020-02-07,109.93489837646484
2020-02-10,109.98295593261719
2020-02-11,111.56248474121094
2020-02-12,112.4896011352539
2020-02-13,110.70865631103516
2020-02-14,111.57486724853516
2020-02-18,110.09883880615234
2020-02-19,110.4176254272461
2020-02-20,109.87709045410156
2020-02-21,108.74755096435547
2020-02-24,105.71235656738281
2020-02-25,101.76244354248047
2020-02-26,103.224609375
2020-02-27,104.05619812011719
2020-02-28,103.41864013671875
2020-03-02,106.03805541992188
2020-03-03,100.64676666259766
2020-03-04,106.70330810546875
2020-03-05,104.92237091064453
2020-03-06,106.4746322631836
2020-03-09,99.82906341552734
