,MRK
2020-11-12,66.93285369873047
2020-11-13,67.96372985839844
2020-11-16,67.20103454589844
2020-11-17,68.30736541748047
2020-11-18,67.25969696044922
2020-11-19,67.3770523071289
2020-11-20,67.4273452758789
2020-11-23,67.28485107421875
2020-11-24,67.16751861572266
2020-11-25,67.10047149658203
2020-11-27,66.93285369873047
2020-11-30,67.3770523071289
2020-12-01,68.34928894042969
2020-12-02,68.58394622802734
2020-12-03,68.26545715332031
2020-12-04,68.6761474609375
2020-12-07,69.15386962890625
2020-12-08,69.71542358398438
2020-12-09,69.95849609375
2020-12-10,69.55619049072266
2020-12-11,69.53103637695312
2020-12-14,67.84998321533203
2020-12-15,67.98514556884766
2020-12-16,67.4360580444336
2020-12-17,67.42762756347656
2020-12-18,67.1826400756836
2020-12-21,66.97989654541016
2020-12-22,67.08971405029297
2020-12-23,67.37694549560547
2020-12-24,67.69794464111328
2020-12-28,67.95980834960938
2020-12-29,68.77922058105469
2020-12-30,68.07807159423828
2020-12-31,69.10020446777344
2021-01-04,68.39063262939453
2021-01-05,68.5088882446289
2021-01-06,69.59016418457031
2021-01-07,70.97554016113281
2021-01-08,70.1392593383789
2021-01-11,71.80340576171875
2021-01-12,70.18993377685547
2021-01-13,69.55638885498047
2021-01-14,69.41276550292969
2021-01-15,70.4349136352539
2021-01-19,70.27442169189453
2021-01-20,69.6577377319336
2021-01-21,68.57646179199219
2021-01-22,68.40750885009766
2021-01-25,68.55113220214844
2021-01-26,67.79084777832031
2021-01-27,65.10456085205078
2021-01-28,65.82258605957031
2021-01-29,65.10456085205078
2021-02-01,65.34956359863281
2021-02-02,65.69589233398438
2021-02-03,65.31575775146484
2021-02-04,64.22602081298828
2021-02-05,64.03173065185547
2021-02-08,63.389739990234375
2021-02-09,63.389739990234375
2021-02-10,63.26302719116211
2021-02-11,63.13631057739258
2021-02-12,63.35594177246094
2021-02-16,62.72235870361328
2021-02-17,63.812095642089844
2021-02-18,63.702274322509766
2021-02-19,62.77305603027344
2021-02-22,63.29681396484375
2021-02-23,62.96735763549805
2021-02-24,62.99269104003906
2021-02-25,63.034950256347656
2021-02-26,61.34544372558594
2021-03-01,61.142704010009766
2021-03-02,61.53974151611328
2021-03-03,61.91987991333008
2021-03-04,60.96530532836914
2021-03-05,61.7762565612793
2021-03-08,62.6547966003418
2021-03-09,62.62946701049805
2021-03-10,63.15319061279297
2021-03-11,63.04338836669922
2021-03-12,63.57171630859375
2021-03-15,64.96075439453125
2021-03-16,65.45501708984375
2021-03-17,65.8725814819336
2021-03-18,65.84703063964844
2021-03-19,66.0515365600586
2021-03-22,66.0515365600586
2021-03-23,64.99484252929688
2021-03-24,64.96928405761719
2021-03-25,64.82441711425781
2021-03-26,65.94927978515625
2021-03-29,66.7247543334961
2021-03-30,65.58284759521484
2021-03-31,65.69363403320312
2021-04-01,65.69363403320312
2021-04-05,65.6169204711914
2021-04-06,64.58580017089844
2021-04-07,64.86703491210938
2021-04-08,64.33016204833984
2021-04-09,65.0289306640625
2021-04-12,64.95223236083984
2021-04-13,65.13119506835938
2021-04-14,65.10562896728516
2021-04-15,65.32718658447266
2021-04-16,66.01744079589844
2021-04-19,66.17935943603516
2021-04-20,66.95481872558594
2021-04-21,67.51725006103516
2021-04-22,66.43501281738281
2021-04-23,66.36683654785156
2021-04-26,66.0685806274414
2021-04-27,65.92373657226562
2021-04-28,65.69363403320312
2021-04-29,62.78774642944336
2021-04-30,63.48649597167969
2021-05-03,64.74771881103516
2021-05-04,64.7562484741211
2021-05-05,66.21344757080078
2021-05-06,66.28162384033203
2021-05-07,66.81848907470703
2021-05-10,66.61398315429688
2021-05-11,66.00892639160156
2021-05-12,66.46908569335938
2021-05-13,67.05708312988281
2021-05-14,66.71623229980469
2021-05-17,68.0626449584961
2021-05-18,67.64509582519531
2021-05-19,67.6280517578125
2021-05-20,67.88369750976562
2021-05-21,67.47467041015625
2021-05-24,67.34681701660156
2021-05-25,66.04301452636719
2021-05-26,65.81292724609375
2021-05-27,64.69659423828125
2021-05-28,64.6710205078125
2021-06-01,64.06598663330078
2021-06-02,64.65397644042969
2021-06-03,66.00695037841797
2021-06-04,66.18555450439453
2021-06-07,65.01563262939453
