,AXP
2017-05-01,71.30491638183594
2017-05-02,71.58392333984375
2017-05-03,70.9449462890625
2017-05-04,70.49493408203125
2017-05-05,70.4859390258789
2017-05-08,70.34194946289062
2017-05-09,70.59394073486328
2017-05-10,70.782958984375
2017-05-11,70.12593078613281
2017-05-12,69.73895263671875
2017-05-15,70.49493408203125
2017-05-16,70.31494903564453
2017-05-17,68.73099517822266
2017-05-18,68.73999786376953
2017-05-19,69.11797332763672
2017-05-22,69.2800064086914
2017-05-23,69.47795867919922
2017-05-24,69.40599060058594
2017-05-25,69.6939697265625
2017-05-26,69.71195983886719
2017-05-30,69.37896728515625
2017-05-31,69.24397277832031
2017-06-01,70.449951171875
2017-06-02,70.638916015625
2017-06-05,71.07093048095703
2017-06-06,70.96292877197266
2017-06-07,71.826904296875
2017-06-08,71.95289611816406
2017-06-09,72.2768783569336
2017-06-12,72.15089416503906
2017-06-13,72.52887725830078
2017-06-14,72.75384521484375
2017-06-15,72.62787628173828
2017-06-16,73.3028564453125
2017-06-19,73.68983459472656
2017-06-20,74.2568130493164
2017-06-21,73.98686218261719
2017-06-22,74.02281188964844
2017-06-23,73.99583435058594
2017-06-26,74.66182708740234
2017-06-27,74.76982116699219
2017-06-28,75.57076263427734
2017-06-29,75.26480865478516
2017-06-30,75.81376647949219
2017-07-03,76.5877685546875
2017-07-05,76.68714904785156
2017-07-06,75.64826965332031
2017-07-07,76.18123626708984
2017-07-10,76.15414428710938
2017-07-11,76.02765655517578
2017-07-12,76.62389373779297
2017-07-13,77.12076568603516
2017-07-14,77.0394515991211
2017-07-17,76.98524475097656
2017-07-18,77.25625610351562
2017-07-19,77.62663269042969
2017-07-20,77.10266876220703
2017-07-21,77.3194808959961
2017-07-24,76.7864990234375
2017-07-25,77.15689086914062
2017-07-26,77.05750274658203
2017-07-27,75.74762725830078
2017-07-28,76.60584259033203
2017-07-31,76.9942855834961
2017-08-01,77.00330352783203
2017-08-02,77.05750274658203
2017-08-03,77.27432250976562
2017-08-04,77.66277313232422
2017-08-07,77.55435943603516
2017-08-08,77.63568115234375
2017-08-09,77.40985107421875
2017-08-10,76.38903045654297
2017-08-11,76.1451187133789
2017-08-14,77.21109008789062
2017-08-15,78.40353393554688
2017-08-16,78.9455795288086
2017-08-17,77.77116394042969
2017-08-18,77.12976837158203
2017-08-21,77.05750274658203
2017-08-22,77.05750274658203
2017-08-23,77.0394515991211
2017-08-24,77.11170959472656
2017-08-25,77.21109008789062
2017-08-28,77.15689086914062
2017-08-29,77.16592407226562
2017-08-30,77.40985107421875
2017-08-31,77.78022766113281
2017-09-01,77.81632232666016
2017-09-05,77.06654357910156
2017-09-06,76.9942855834961
2017-09-07,76.2535400390625
2017-09-08,76.10896301269531
2017-09-11,77.40985107421875
2017-09-12,78.18672943115234
2017-09-13,78.26801300048828
2017-09-14,77.86150360107422
2017-09-15,78.5842056274414
2017-09-18,79.37918853759766
2017-09-19,80.39997100830078
2017-09-20,79.88508605957031
2017-09-21,79.8759994506836
2017-09-22,79.85797119140625
2017-09-25,79.68632507324219
2017-09-26,80.11994934082031
2017-09-27,80.8426284790039
2017-09-28,81.42982482910156
2017-09-29,81.71891021728516
2017-10-02,81.79116821289062
2017-10-03,82.59519958496094
2017-10-04,82.21575927734375
2017-10-05,82.669189453125
2017-10-06,83.02286529541016
2017-10-09,83.14983367919922
2017-10-10,83.3311996459961
2017-10-11,83.39468383789062
2017-10-12,83.07727813720703
2017-10-13,84.21086120605469
2017-10-16,83.39468383789062
2017-10-17,83.14983367919922
2017-10-18,83.50350952148438
2017-10-19,83.34028625488281
2017-10-20,83.51255798339844
2017-10-23,83.77554321289062
2017-10-24,85.11772918701172
2017-10-25,84.81844329833984
2017-10-26,86.77725219726562
2017-10-27,86.8679428100586
2017-10-30,86.21500396728516
2017-10-31,86.62308502197266
2017-11-01,86.8679428100586
2017-11-02,87.04023742675781
2017-11-03,87.44833374023438
2017-11-06,87.32138061523438
2017-11-07,86.487060546875
2017-11-08,86.26941680908203
2017-11-09,85.0179443359375
2017-11-10,84.80937194824219
2017-11-13,85.15399169921875
2017-11-14,85.02701568603516
2017-11-15,84.57360076904297
2017-11-16,84.84566497802734
2017-11-17,84.96354675292969
2017-11-20,85.19932556152344
2017-11-21,85.61652374267578
2017-11-22,85.08143615722656
2017-11-24,84.77310943603516
2017-11-27,84.7640380859375
2017-11-28,86.40544128417969
2017-11-29,87.60247802734375
2017-11-30,88.60912322998047
2017-12-01,88.74515533447266
2017-12-04,89.40713500976562
2017-12-05,89.51597595214844
2017-12-06,89.06253814697266
2017-12-07,89.39808654785156
2017-12-08,89.37085723876953
2017-12-11,89.77896118164062
2017-12-12,90.11451721191406
2017-12-13,88.67259979248047
2017-12-14,88.10127258300781
2017-12-15,89.34364318847656
2017-12-18,90.39562225341797
2017-12-19,89.91499328613281
2017-12-20,89.3345947265625
2017-12-21,89.32552337646484
2017-12-22,89.54316711425781
2017-12-26,89.38899230957031
2017-12-27,89.89684295654297
2017-12-28,90.41375732421875
2017-12-29,90.06006622314453
2018-01-02,89.72456359863281
2018-01-03,90.27774047851562
2018-01-04,91.77931213378906
2018-01-05,91.9886474609375
2018-01-08,91.14228820800781
2018-01-09,91.4789810180664
2018-01-10,92.11603546142578
2018-01-11,91.67010498046875
2018-01-12,91.8885726928711
2018-01-16,91.31517791748047
2018-01-17,91.69743347167969
2018-01-18,90.87837982177734
2018-01-19,89.21295166015625
2018-01-22,89.47687530517578
2018-01-23,89.16746520996094
2018-01-24,90.36876678466797
2018-01-25,90.72367095947266
2018-01-26,90.66905975341797
2018-01-29,90.46886444091797
2018-01-30,89.83180236816406
2018-01-31,90.4597396850586
2018-02-01,91.00579071044922
2018-02-02,87.98438262939453
2018-02-05,83.73441314697266
2018-02-06,85.70923614501953
2018-02-07,85.19050598144531
2018-02-08,80.39449310302734
2018-02-09,83.47049713134766
2018-02-12,86.1824722290039
2018-02-13,86.05506896972656
2018-02-14,87.57487487792969
2018-02-15,87.87518310546875
2018-02-16,88.08451080322266
2018-02-20,88.44851684570312
2018-02-21,88.73064422607422
2018-02-22,88.5941162109375
2018-02-23,89.9136962890625
2018-02-26,92.49828338623047
2018-02-27,90.62355041503906
2018-02-28,88.7397232055664
2018-03-01,86.58289337158203
2018-03-02,87.00152587890625
2018-03-05,87.96619415283203
2018-03-06,87.42925262451172
2018-03-07,87.03791809082031
2018-03-08,87.9024887084961
2018-03-09,90.1412124633789
2018-03-12,88.88533782958984
2018-03-13,86.79220581054688
2018-03-14,86.02775573730469
2018-03-15,85.9003677368164
2018-03-16,87.01063537597656
2018-03-19,86.30986022949219
2018-03-20,86.40997314453125
2018-03-21,86.21887969970703
2018-03-22,83.18841552734375
2018-03-23,82.31473541259766
2018-03-26,84.28954315185547
2018-03-27,83.19747161865234
2018-03-28,83.9164047241211
