,DUK
2017-06-02,63.768733978271484
2017-06-05,63.43616485595703
2017-06-06,63.4213752746582
2017-06-07,63.62831497192383
2017-06-08,63.103553771972656
2017-06-09,63.35483932495117
2017-06-12,63.280948638916016
2017-06-13,63.52483367919922
2017-06-14,63.798309326171875
2017-06-15,64.2639389038086
2017-06-16,64.40436553955078
2017-06-19,64.21958923339844
2017-06-20,64.2343521118164
2017-06-21,63.98307800292969
2017-06-22,63.768733978271484
2017-06-23,63.53224182128906
2017-06-26,64.07917022705078
2017-06-27,63.3400764465332
2017-06-28,62.8005485534668
2017-06-29,62.105796813964844
2017-06-30,61.78057861328125
2017-07-03,61.573638916015625
2017-07-05,61.558868408203125
2017-07-06,61.499732971191406
2017-07-07,61.65495681762695
2017-07-10,61.484962463378906
2017-07-11,61.47757339477539
2017-07-12,62.06884002685547
2017-07-13,61.61799240112305
2017-07-14,61.96535873413086
2017-07-17,62.105796813964844
2017-07-18,62.22407531738281
2017-07-19,62.34230041503906
2017-07-20,62.77098083496094
2017-07-21,62.97051239013672
2017-07-24,62.49013137817383
2017-07-25,61.94320297241211
2017-07-26,62.416221618652344
2017-07-27,62.85966873168945
2017-07-28,62.756221771240234
2017-07-31,62.911407470703125
2017-08-01,62.94834518432617
2017-08-02,63.36964797973633
2017-08-03,63.938751220703125
2017-08-04,63.916587829589844
2017-08-07,63.75395202636719
2017-08-08,64.0052490234375
2017-08-09,63.70960235595703
2017-08-10,63.85005187988281
2017-08-11,63.3400764465332
2017-08-14,63.65049362182617
2017-08-15,64.21958923339844
2017-08-16,64.4510726928711
2017-08-17,64.12252807617188
2017-08-18,64.50336456298828
2017-08-21,64.65272521972656
2017-08-22,64.63030242919922
2017-08-23,64.87672424316406
2017-08-24,64.79456329345703
2017-08-25,65.1380844116211
2017-08-28,65.27995300292969
2017-08-29,65.3396987915039
