,ADP
2018-05-17,111.07877349853516
2018-05-18,111.877197265625
2018-05-21,111.81645965576172
2018-05-22,111.41725158691406
2018-05-23,112.26775360107422
2018-05-24,113.05754852294922
2018-05-25,113.38731384277344
2018-05-29,112.7624282836914
2018-05-30,113.36995697021484
2018-05-31,112.84056091308594
2018-06-01,115.19248962402344
2018-06-04,116.51162719726562
2018-06-05,116.35543823242188
2018-06-06,118.1172103881836
2018-06-07,117.39320373535156
2018-06-08,118.06487274169922
2018-06-11,116.95706939697266
2018-06-12,121.51042938232422
2018-06-13,122.41759490966797
2018-06-14,121.96404266357422
2018-06-15,121.7459716796875
2018-06-18,121.24002075195312
2018-06-19,120.89981842041016
2018-06-20,120.19325256347656
2018-06-21,120.55963134765625
2018-06-22,121.32723236083984
2018-06-25,119.1813735961914
2018-06-26,117.83805847167969
2018-06-27,116.07603454589844
2018-06-28,117.10533905029297
2018-06-29,117.00940704345703
2018-07-02,117.63744354248047
2018-07-03,116.59068298339844
2018-07-05,116.63433837890625
2018-07-06,117.07917785644531
2018-07-09,117.34087371826172
2018-07-10,118.60569763183594
2018-07-11,118.08233642578125
2018-07-12,119.9403076171875
2018-07-13,119.80073547363281
2018-07-16,119.60884857177734
2018-07-17,119.81814575195312
2018-07-18,119.9403076171875
2018-07-19,119.55647277832031
2018-07-20,119.79200744628906
2018-07-23,120.11475372314453
2018-07-24,119.6001205444336
2018-07-25,121.37958526611328
2018-07-26,121.45809936523438
2018-07-27,119.86177825927734
2018-07-30,117.14022827148438
2018-07-31,117.75084686279297
