,RSG
2017-01-12,50.10811233520508
2017-01-13,50.230960845947266
2017-01-17,49.941375732421875
2017-01-18,50.33627700805664
2017-01-19,50.292396545410156
2017-01-20,50.33627700805664
2017-01-23,50.230960845947266
2017-01-24,50.49423599243164
2017-01-25,50.73994827270508
2017-01-26,50.590763092041016
2017-01-27,50.4679069519043
2017-01-30,50.41526412963867
2017-01-31,50.35383224487305
2017-02-01,49.9326057434082
2017-02-02,50.3275032043457
2017-02-03,50.529335021972656
2017-02-06,50.33627700805664
2017-02-07,50.590763092041016
2017-02-08,50.669734954833984
2017-02-09,50.77505111694336
2017-02-10,50.8628044128418
2017-02-13,51.327903747558594
2017-02-14,51.275264739990234
2017-02-15,51.871986389160156
2017-02-16,51.8193359375
2017-02-17,53.31117630004883
2017-02-21,53.72362518310547
2017-02-22,54.127288818359375
2017-02-23,54.030765533447266
2017-02-24,53.83769607543945
2017-02-27,54.188724517822266
2017-02-28,54.364219665527344
2017-03-01,54.583614349365234
2017-03-02,54.60995101928711
2017-03-03,54.41687774658203
2017-03-06,54.346675872802734
2017-03-07,54.47832107543945
2017-03-08,54.504634857177734
2017-03-09,54.671363830566406
2017-03-10,55.08381652832031
2017-03-13,55.27687454223633
2017-03-14,55.171573638916016
2017-03-15,55.891170501708984
2017-03-16,55.338314056396484
2017-03-17,55.61034393310547
2017-03-20,55.47871780395508
2017-03-21,54.917091369628906
2017-03-22,55.066280364990234
2017-03-23,54.96097183227539
2017-03-24,54.83810806274414
2017-03-27,54.495853424072266
2017-03-28,54.77667999267578
2017-03-29,54.688926696777344
2017-03-30,55.41222381591797
2017-03-31,55.403419494628906
2017-04-03,55.112327575683594
2017-04-04,55.22698974609375
2017-04-05,55.297550201416016
2017-04-06,55.24463653564453
2017-04-07,55.41222381591797
2017-04-10,55.27109146118164
2017-04-11,55.473968505859375
2017-04-12,55.13878631591797
2017-04-13,54.85651779174805
2017-04-17,55.36811447143555
2017-04-18,55.447513580322266
2017-04-19,55.61510467529297
2017-04-20,55.57982635498047
2017-04-21,55.90619659423828
2017-04-24,56.47072219848633
2017-04-25,56.3560676574707
2017-04-26,55.773868560791016
2017-04-27,55.870914459228516
2017-04-28,55.56217575073242
2017-05-01,55.83563232421875
2017-05-02,55.862083435058594
2017-05-03,55.57100296020508
2017-05-04,55.65920639038086
2017-05-05,55.773868560791016
2017-05-08,55.72096252441406
2017-05-09,55.57982635498047
2017-05-10,56.10907745361328
2017-05-11,55.870914459228516
2017-05-12,55.28874206542969
2017-05-15,55.473968505859375
2017-05-16,54.847686767578125
2017-05-17,54.02736282348633
2017-05-18,54.397830963134766
2017-05-19,54.14204025268555
2017-05-22,54.59189224243164
2017-05-23,55.006473541259766
2017-05-24,55.05058288574219
2017-05-25,55.42985916137695
2017-05-26,55.63274383544922
2017-05-30,55.465145111083984
2017-05-31,56.10907745361328
2017-06-01,56.832366943359375
2017-06-02,57.05289840698242
2017-06-05,56.62949752807617
2017-06-06,56.45307540893555
2017-06-07,56.55010986328125
2017-06-08,56.18846130371094
2017-06-09,56.40015411376953
2017-06-12,56.6030387878418
2017-06-13,56.78825759887695
2017-06-14,56.58539581298828
2017-06-15,57.211673736572266
2017-06-16,57.167564392089844
2017-06-19,57.43218231201172
2017-06-20,56.955875396728516
2017-06-21,56.52366256713867
2017-06-22,56.3560676574707
2017-06-23,56.48836135864258
