,SYY
2018-01-22,53.54761505126953
2018-01-23,53.33708190917969
2018-01-24,53.66550827026367
2018-01-25,53.884456634521484
2018-01-26,53.99391555786133
2018-01-29,53.37919616699219
2018-01-30,53.30340576171875
2018-01-31,52.94131851196289
2018-02-01,52.200294494628906
2018-02-02,51.51820755004883
2018-02-05,48.402523040771484
2018-02-06,50.22140884399414
2018-02-07,49.20249938964844
2018-02-08,47.998329162597656
2018-02-09,49.118289947509766
2018-02-12,48.94987869262695
2018-02-13,49.19407272338867
2018-02-14,49.13512420654297
2018-02-15,49.99405288696289
2018-02-16,50.52455520629883
2018-02-20,49.58142852783203
2018-02-21,49.30354309082031
2018-02-22,49.56459426879883
2018-02-23,50.25509262084961
2018-02-26,50.760345458984375
2018-02-27,50.39824676513672
2018-02-28,50.22983169555664
2018-03-01,50.0698356628418
2018-03-02,50.23825454711914
2018-03-05,50.5582389831543
2018-03-06,51.25716018676758
2018-03-07,50.63402557373047
2018-03-08,50.92875289916992
2018-03-09,51.60240936279297
2018-03-12,50.962440490722656
2018-03-13,51.11400604248047
2018-03-14,50.42351150512695
2018-03-15,50.002464294433594
2018-03-16,50.6256103515625
2018-03-19,50.676124572753906
2018-03-20,50.88664627075195
2018-03-21,50.77717590332031
2018-03-22,50.33088302612305
2018-03-23,49.95195007324219
2018-03-26,50.490867614746094
2018-03-27,49.985633850097656
2018-03-28,49.99405288696289
2018-03-29,50.490867614746094
2018-04-02,49.1435432434082
2018-04-03,50.05300521850586
2018-04-04,51.5434684753418
2018-04-05,51.08605194091797
2018-04-06,50.586299896240234
2018-04-09,50.6964111328125
2018-04-10,51.3486442565918
2018-04-11,51.26393508911133
2018-04-12,51.25545883178711
2018-04-13,51.17921829223633
2018-04-16,51.890750885009766
2018-04-17,52.94111251831055
2018-04-18,52.3905143737793
2018-04-19,52.16181945800781
2018-04-20,51.79758071899414
2018-04-23,51.95852279663086
2018-04-24,52.458282470703125
2018-04-25,52.898773193359375
2018-04-26,53.322288513183594
2018-04-27,53.68653106689453
2018-04-30,52.97498321533203
2018-05-01,53.44087600708008
2018-05-02,53.20370101928711
2018-05-03,52.67005157470703
2018-05-04,52.763221740722656
2018-05-07,53.77122497558594
2018-05-08,53.144405364990234
2018-05-09,53.788177490234375
2018-05-10,53.144405364990234
2018-05-11,53.21217346191406
2018-05-14,53.27993392944336
2018-05-15,53.322288513183594
2018-05-16,53.66111755371094
2018-05-17,54.09311294555664
2018-05-18,53.82204818725586
2018-05-21,53.90676498413086
2018-05-22,53.949119567871094
2018-05-23,54.2963981628418
2018-05-24,54.71146011352539
2018-05-25,55.075706481933594
2018-05-29,55.18581771850586
2018-05-30,55.94817352294922
2018-05-31,55.08415985107422
2018-06-01,55.40605163574219
2018-06-04,55.68556594848633
2018-06-05,55.761810302734375
2018-06-06,55.719459533691406
2018-06-07,55.702518463134766
2018-06-08,56.03287887573242
2018-06-11,56.25310516357422
2018-06-12,56.0921745300293
2018-06-13,55.81262969970703
2018-06-14,56.31239700317383
2018-06-15,56.659690856933594
2018-06-18,56.54110336303711
2018-06-19,56.66817092895508
2018-06-20,57.10863494873047
2018-06-21,57.66769027709961
2018-06-22,57.42205047607422
2018-06-25,57.79475784301758
2018-06-26,57.77780532836914
2018-06-27,57.650753021240234
2018-06-28,57.896400451660156
2018-06-29,57.84557342529297
2018-07-02,57.5660400390625
2018-07-03,58.057342529296875
2018-07-05,59.062164306640625
2018-07-06,59.079166412353516
2018-07-09,59.03658676147461
2018-07-10,59.30908966064453
2018-07-11,59.0962028503418
2018-07-12,59.47087860107422
2018-07-13,60.23725891113281
2018-07-16,60.024375915527344
2018-07-17,60.518272399902344
2018-07-18,59.879615783691406
2018-07-19,60.35646438598633
2018-07-20,60.45866394042969
2018-07-23,60.33945083618164
2018-07-24,59.802978515625
2018-07-25,60.39902877807617
2018-07-26,61.088783264160156
2018-07-27,60.86739730834961
2018-07-30,56.77153396606445
2018-07-31,57.23134231567383
2018-08-01,57.11214065551758
2018-08-02,57.9381217956543
2018-08-03,58.38944625854492
2018-08-06,59.36869812011719
2018-08-07,59.223941802978516
2018-08-08,59.479400634765625
2018-08-09,59.63268280029297
2018-08-10,58.31280517578125
2018-08-13,61.948822021484375
2018-08-14,63.1750602722168
2018-08-15,63.77110290527344
2018-08-16,62.91105651855469
2018-08-17,63.72002029418945
2018-08-20,64.0180435180664
2018-08-21,63.32832717895508
2018-08-22,63.93291091918945
2018-08-23,64.04360961914062
2018-08-24,64.52897644042969
2018-08-27,63.473060607910156
2018-08-28,63.35386276245117
2018-08-29,63.16653823852539
2018-08-30,62.98771286010742
2018-08-31,63.711509704589844
2018-09-04,64.16281127929688
2018-09-05,63.864776611328125
2018-09-06,63.839229583740234
2018-09-07,63.60932922363281
2018-09-10,63.898834228515625
2018-09-11,63.82220458984375
2018-09-12,63.43049621582031
2018-09-13,62.67264175415039
2018-09-14,62.621551513671875
2018-09-17,62.578956604003906
2018-09-18,62.204280853271484
2018-09-19,62.09358596801758
2018-09-20,62.40864181518555
2018-09-21,62.136173248291016
2018-09-24,62.11913299560547
2018-09-25,62.21281433105469
2018-09-26,62.11064147949219
2018-09-27,62.0169563293457
2018-09-28,62.37459945678711
2018-10-01,62.187255859375
2018-10-02,62.400142669677734
2018-10-03,61.82960891723633
2018-10-04,61.7354736328125
2018-10-05,61.64134979248047
2018-10-08,62.18904495239258
2018-10-09,61.44453430175781
2018-10-10,60.2549934387207
2018-10-11,58.611915588378906
2018-10-12,58.894325256347656
2018-10-15,59.01412582397461
2018-10-16,60.0239372253418
2018-10-17,60.22932434082031
2018-10-18,60.37482452392578
2018-10-19,60.845481872558594
2018-10-22,60.58018112182617
2018-10-23,61.187782287597656
2018-10-24,61.59856033325195
2018-10-25,61.367496490478516
2018-10-26,59.73298263549805
2018-10-29,60.177955627441406
2018-10-30,61.624244689941406
2018-10-31,61.04230880737305
2018-11-01,61.43598175048828
2018-11-02,61.0080680847168
2018-11-05,55.248714447021484
2018-11-06,55.154579162597656
2018-11-07,56.86612319946289
2018-11-08,56.960262298583984
2018-11-09,57.1742057800293
2018-11-12,57.653446197509766
2018-11-13,57.21700668334961
2018-11-14,56.88325119018555
2018-11-15,56.6693115234375
2018-11-16,56.814781188964844
2018-11-19,56.498146057128906
2018-11-20,55.7022819519043
2018-11-21,55.18025588989258
2018-11-23,55.5396842956543
2018-11-26,55.5396842956543
2018-11-27,55.89912033081055
2018-11-28,57.20845031738281
2018-11-29,57.79893112182617
2018-11-30,57.67913055419922
2018-12-03,57.37104034423828
2018-12-04,56.59228515625
2018-12-06,56.429691314697266
2018-12-07,55.64236068725586
2018-12-10,55.5396842956543
2018-12-11,55.881996154785156
2018-12-12,56.095947265625
2018-12-13,56.46392059326172
2018-12-14,56.01035690307617
2018-12-17,54.9492073059082
2018-12-18,54.78660202026367
2018-12-19,54.33304977416992
2018-12-20,52.903900146484375
2018-12-21,52.1080322265625
2018-12-24,51.30360412597656
2018-12-26,52.39899826049805
2018-12-27,53.10073471069336
2018-12-28,53.29756546020508
2018-12-31,53.62275695800781
