,CDW
2021-03-11,153.3588409423828
2021-03-12,153.42591857910156
2021-03-15,154.5857696533203
2021-03-16,154.29820251464844
2021-03-17,153.7518310546875
2021-03-18,150.588623046875
2021-03-19,151.48004150390625
2021-03-22,152.69744873046875
2021-03-23,149.59173583984375
2021-03-24,149.92718505859375
2021-03-25,153.004150390625
2021-03-26,160.94094848632812
2021-03-29,158.21865844726562
2021-03-30,157.98863220214844
2021-03-31,158.88006591796875
2021-04-01,162.41717529296875
2021-04-05,164.42050170898438
2021-04-06,164.4109344482422
2021-04-07,163.2606658935547
2021-04-08,167.35366821289062
2021-04-09,168.16845703125
2021-04-12,167.0277862548828
2021-04-13,168.59983825683594
2021-04-14,170.74693298339844
2021-04-15,173.32545471191406
2021-04-16,176.38323974609375
2021-04-19,174.6482696533203
2021-04-20,173.24880981445312
2021-04-21,174.2935791015625
2021-04-22,173.3733673095703
2021-04-23,175.04129028320312
2021-04-26,175.52053833007812
2021-04-27,175.88482666015625
2021-04-28,174.48532104492188
2021-04-29,174.9358673095703
2021-04-30,170.93869018554688
2021-05-03,171.77261352539062
2021-05-04,168.99282836914062
2021-05-05,164.29586791992188
2021-05-06,165.44615173339844
2021-05-07,167.62208557128906
2021-05-10,164.31509399414062
2021-05-11,160.6917266845703
2021-05-12,156.7041473388672
2021-05-13,161.54486083984375
2021-05-14,162.4267120361328
2021-05-17,162.12960815429688
2021-05-18,160.91221618652344
2021-05-19,161.0655975341797
2021-05-20,161.09434509277344
2021-05-21,161.10391235351562
2021-05-24,161.9590606689453
2021-05-25,160.2007293701172
2021-05-26,159.57618713378906
2021-05-27,160.63308715820312
2021-05-28,158.94204711914062
2021-06-01,157.45272827148438
2021-06-02,158.5000457763672
2021-06-03,158.8074951171875
2021-06-04,160.93099975585938
2021-06-07,159.26869201660156
2021-06-08,159.9605255126953
2021-06-09,159.31674194335938
2021-06-10,160.85409545898438
2021-06-11,162.05516052246094
2021-06-14,162.67007446289062
2021-06-15,164.2362518310547
2021-06-16,165.0049285888672
2021-06-17,162.61244201660156
2021-06-18,159.2879638671875
2021-06-21,163.08323669433594
2021-06-22,164.4380340576172
2021-06-23,162.47792053222656
2021-06-24,163.62132263183594
2021-06-25,165.04335021972656
2021-06-28,166.98423767089844
2021-06-29,169.4248046875
2021-06-30,167.81056213378906
2021-07-01,168.9155731201172
2021-07-02,169.96287536621094
2021-07-06,169.07888793945312
2021-07-07,171.826904296875
2021-07-08,169.9051971435547
2021-07-09,171.0102081298828
2021-07-12,169.4248046875
2021-07-13,167.3397674560547
2021-07-14,169.15573120117188
2021-07-15,168.49276733398438
2021-07-16,167.6088104248047
2021-07-19,165.67752075195312
2021-07-20,169.3383331298828
2021-07-21,170.3087615966797
2021-07-22,170.5105438232422
2021-07-23,173.8638153076172
2021-07-26,174.46917724609375
2021-07-27,174.2001953125
2021-07-28,173.258544921875
2021-07-29,175.9392547607422
2021-07-30,176.16989135742188
2021-08-02,176.47732543945312
2021-08-03,178.03392028808594
2021-08-04,180.86837768554688
2021-08-05,183.15518188476562
2021-08-06,182.60748291015625
2021-08-09,182.20394897460938
2021-08-10,184.01995849609375
2021-08-11,188.2860565185547
2021-08-12,190.15969848632812
2021-08-13,190.5536346435547
2021-08-16,191.22621154785156
2021-08-17,188.98748779296875
2021-08-18,187.6230926513672
2021-08-19,186.7198944091797
2021-08-20,188.103515625
2021-08-23,189.18923950195312
2021-08-24,189.6225128173828
2021-08-25,190.9993133544922
2021-08-26,190.7008819580078
2021-08-27,191.8369140625
2021-08-30,193.2715301513672
2021-08-31,193.1463165283203
2021-09-01,192.83824157714844
2021-09-02,195.69776916503906
2021-09-03,195.15859985351562
2021-09-07,193.7625274658203
2021-09-08,192.93455505371094
2021-09-09,192.1257781982422
2021-09-10,190.62380981445312
2021-09-13,189.44923400878906
2021-09-14,186.28160095214844
2021-09-15,187.8317108154297
2021-09-16,187.109619140625
2021-09-17,184.02870178222656
2021-09-20,180.8129425048828
2021-09-21,180.7744140625
2021-09-22,182.57484436035156
2021-09-23,185.3573455810547
2021-09-24,185.8772430419922
2021-09-27,185.1359100341797
2021-09-28,179.21470642089844
2021-09-29,178.49261474609375
2021-09-30,175.2480010986328
2021-10-01,178.8007049560547
2021-10-04,175.85455322265625
2021-10-05,177.2794952392578
2021-10-06,168.99942016601562
2021-10-07,170.85763549804688
2021-10-08,170.29922485351562
2021-10-11,168.0751495361328
2021-10-12,167.15087890625
2021-10-13,167.5456085205078
2021-10-14,170.92501831054688
2021-10-15,171.10797119140625
2021-10-18,179.30136108398438
2021-10-19,180.64926147460938
2021-10-20,181.38099670410156
2021-10-21,183.4606170654297
2021-10-22,184.34637451171875
2021-10-25,184.41378784179688
2021-10-26,181.4580078125
2021-10-27,177.5105438232422
2021-10-28,179.0220947265625
2021-10-29,179.70570373535156
2021-11-01,180.6588897705078
2021-11-02,182.1704864501953
2021-11-03,178.6370086669922
2021-11-04,178.11709594726562
2021-11-05,180.11009216308594
2021-11-08,178.42520141601562
2021-11-09,180.06195068359375
2021-11-10,181.7757568359375
2021-11-11,181.3135986328125
2021-11-12,183.97091674804688
2021-11-15,183.74949645996094
2021-11-16,187.72579956054688
2021-11-17,187.9761505126953
2021-11-18,187.96649169921875
2021-11-19,188.76560974121094
2021-11-22,188.90040588378906
2021-11-23,189.0355682373047
2021-11-24,192.8483123779297
2021-11-26,184.5181427001953
2021-11-29,188.0316925048828
2021-11-30,182.7806854248047
2021-12-01,178.3887939453125
2021-12-02,186.89268493652344
2021-12-03,185.01048278808594
2021-12-06,187.62628173828125
2021-12-07,191.3231964111328
2021-12-08,191.91200256347656
2021-12-09,187.92547607421875
2021-12-10,188.09927368164062
2021-12-13,185.0876922607422
2021-12-14,183.09922790527344
2021-12-15,185.47377014160156
2021-12-16,181.30384826660156
2021-12-17,183.4660186767578
2021-12-20,180.25173950195312
