,CTRA
2023-06-01,22.093931198120117
2023-06-02,22.98846435546875
2023-06-05,22.8249454498291
2023-06-06,23.248165130615234
2023-06-07,23.89261245727539
2023-06-08,23.613670349121094
2023-06-09,23.632909774780273
2023-06-12,23.536720275878906
2023-06-13,23.80604362487793
2023-06-14,23.33473014831543
2023-06-15,24.123456954956055
2023-06-16,24.248498916625977
2023-06-20,23.50786781311035
2023-06-21,23.488630294799805
2023-06-22,23.00769805908203
2023-06-23,22.815326690673828
2023-06-26,23.046173095703125
2023-06-27,23.344350814819336
2023-06-28,23.536720275878906
2023-06-29,24.171550750732422
2023-06-30,24.335067749023438
2023-07-03,24.210025787353516
2023-07-05,24.229263305664062
2023-07-06,23.873374938964844
2023-07-07,24.277355194091797
2023-07-10,24.546676635742188
2023-07-11,25.383493423461914
2023-07-12,25.470060348510742
2023-07-13,25.441207885742188
2023-07-14,24.49858283996582
2023-07-17,24.546676635742188
2023-07-18,25.450822830200195
2023-07-19,25.489299774169922
2023-07-20,25.85480499267578
2023-07-21,25.6912899017334
2023-07-24,25.84518814086914
2023-07-25,26.1145076751709
2023-07-26,26.1145076751709
2023-07-27,25.94137191772461
2023-07-28,26.364591598510742
2023-07-31,26.489633560180664
2023-08-01,26.547344207763672
2023-08-02,25.99908447265625
2023-08-03,26.643531799316406
2023-08-04,26.51848793029785
2023-08-07,26.739717483520508
2023-08-08,26.547344207763672
2023-08-09,27.211029052734375
2023-08-10,26.758955001831055
2023-08-11,26.980182647705078
2023-08-14,26.90323257446289
2023-08-15,26.59543800354004
2023-08-16,26.70201301574707
2023-08-17,27.060495376586914
2023-08-18,26.915164947509766
2023-08-21,27.322092056274414
2023-08-22,27.03142738342285
2023-08-23,26.769834518432617
2023-08-24,26.934541702270508
2023-08-25,26.87640953063965
2023-08-28,27.021738052368164
2023-08-29,27.176759719848633
2023-08-30,27.26395606994629
2023-08-31,27.312402725219727
2023-09-01,27.573993682861328
2023-09-05,27.27364730834961
2023-09-06,27.196136474609375
2023-09-07,27.089561462402344
2023-09-08,27.322092056274414
2023-09-11,26.886098861694336
2023-09-12,27.583683013916016
2023-09-13,27.42866325378418
2023-09-14,27.66119384765625
2023-09-15,27.05080795288086
2023-09-18,27.03142738342285
2023-09-19,26.68263816833496
2023-09-20,26.081939697265625
2023-09-21,25.287466049194336
2023-09-22,25.23902130126953
2023-09-25,25.742834091186523
2023-09-26,25.519994735717773
2023-09-27,26.295087814331055
2023-09-28,26.672950744628906
2023-09-29,26.207889556884766
2023-10-02,25.50061798095703
2023-10-03,25.519994735717773
2023-10-04,25.0258731842041
2023-10-05,25.297155380249023
2023-10-06,25.96567153930664
2023-10-09,27.27364730834961
2023-10-10,27.215513229370117
2023-10-11,27.370532989501953
2023-10-12,27.680572509765625
2023-10-13,28.184385299682617
2023-10-16,28.30064582824707
2023-10-17,28.484731674194336
2023-10-18,28.78508186340332
2023-10-19,28.678504943847656
2023-10-20,28.02936363220215
2023-10-23,27.5158634185791
2023-10-24,27.477109909057617
2023-10-25,27.351154327392578
2023-10-26,27.05080795288086
2023-10-27,26.837656021118164
2023-10-30,26.47917366027832
2023-10-31,26.643882751464844
2023-11-01,26.692325592041016
2023-11-02,27.196136474609375
2023-11-03,27.167070388793945
2023-11-06,26.585750579833984
2023-11-07,26.595439910888672
2023-11-08,26.043184280395508
2023-11-09,25.96567153930664
2023-11-10,26.130380630493164
2023-11-13,26.149757385253906
2023-11-14,26.3629093170166
2023-11-15,26.499555587768555
2023-11-16,25.699201583862305
2023-11-17,26.109140396118164
2023-11-20,26.04081916809082
2023-11-21,25.894411087036133
2023-11-22,26.031055450439453
2023-11-24,26.128660202026367
2023-11-27,25.640640258789062
2023-11-28,25.445430755615234
2023-11-29,25.464950561523438
2023-11-30,25.621118545532227
2023-12-01,25.513751983642578
2023-12-04,25.17214012145996
2023-12-05,24.732919692993164
2023-12-06,24.186336517333984
2023-12-07,23.991127014160156
2023-12-08,24.108253479003906
2023-12-11,24.264421463012695
