,WEC
2016-11-08,45.6578483581543
2016-11-09,43.87493133544922
2016-11-10,43.266319274902344
2016-11-11,42.876163482666016
2016-11-14,42.58747482299805
2016-11-15,43.36774826049805
2016-11-16,43.0244255065918
2016-11-17,43.3287353515625
2016-11-18,43.3287353515625
2016-11-21,43.70327377319336
2016-11-22,44.155826568603516
2016-11-23,43.476985931396484
2016-11-25,44.132415771484375
2016-11-28,45.28722381591797
2016-11-29,45.2794303894043
2016-11-30,43.70327377319336
2016-12-01,43.21168899536133
2016-12-02,43.41456604003906
2016-12-05,43.45358657836914
2016-12-06,43.2429084777832
2016-12-07,43.93735122680664
2016-12-08,44.062198638916016
2016-12-09,44.6005859375
2016-12-12,45.20920181274414
2016-12-13,45.50570297241211
2016-12-14,44.405517578125
2016-12-15,44.58498764038086
2016-12-16,45.263824462890625
2016-12-19,45.380859375
2016-12-20,45.60714340209961
2016-12-21,45.61493682861328
2016-12-22,45.81001663208008
2016-12-23,45.82561492919922
2016-12-27,45.700767517089844
2016-12-28,45.177982330322266
2016-12-29,45.919246673583984
2016-12-30,45.7631950378418
2017-01-03,45.63835525512695
2017-01-04,45.989471435546875
2017-01-05,46.05189895629883
2017-01-06,45.8646354675293
2017-01-09,45.240413665771484
2017-01-10,45.334041595458984
2017-01-11,45.7631950378418
2017-01-12,45.802223205566406
2017-01-13,45.83341979980469
2017-01-17,46.309383392333984
2017-01-18,46.332801818847656
2017-01-19,45.692970275878906
2017-01-20,45.64616394042969
2017-01-23,45.56032180786133
2017-01-24,45.591529846191406
2017-01-25,45.36525344848633
2017-01-26,45.47450256347656
2017-01-27,45.43547821044922
2017-01-30,45.419864654541016
2017-01-31,46.07530975341797
2017-02-01,44.64740753173828
2017-02-02,44.725433349609375
2017-02-03,44.975120544433594
2017-02-06,44.85808181762695
2017-02-07,45.177982330322266
2017-02-08,45.51350784301758
2017-02-09,45.217010498046875
2017-02-10,45.30360412597656
2017-02-13,45.5713005065918
2017-02-14,45.161888122558594
2017-02-15,44.902076721191406
2017-02-16,45.25637435913086
2017-02-17,45.30360412597656
2017-02-21,45.720909118652344
2017-02-22,45.980716705322266
2017-02-23,46.6735954284668
