,DFS
2022-11-29,103.36368560791016
2022-11-30,103.18275451660156
2022-12-01,101.44020080566406
2022-12-02,100.36418914794922
2022-12-05,98.5644760131836
2022-12-06,98.90727233886719
2022-12-07,98.78348541259766
2022-12-08,98.01219940185547
2022-12-09,98.07884979248047
2022-12-12,100.24990844726562
2022-12-13,101.46875762939453
2022-12-14,98.5073471069336
2022-12-15,94.15568542480469
2022-12-16,92.26078033447266
2022-12-19,90.6229476928711
2022-12-20,92.0893783569336
2022-12-21,93.1272964477539
2022-12-22,92.23220825195312
2022-12-23,92.93684387207031
2022-12-27,92.1274642944336
2022-12-28,90.72769927978516
2022-12-29,92.79401397705078
2022-12-30,93.15586853027344
2023-01-03,92.35600280761719
2023-01-04,96.43150329589844
2023-01-05,94.7936782836914
2023-01-06,98.11693572998047
2023-01-09,98.91680145263672
2023-01-10,100.56414794921875
2023-01-11,101.92582702636719
2023-01-12,100.9926528930664
2023-01-13,102.07818603515625
2023-01-17,100.37370300292969
2023-01-18,97.45037841796875
2023-01-19,97.03140258789062
2023-01-20,101.06883239746094
2023-01-23,105.02055358886719
2023-01-24,106.16322326660156
2023-01-25,109.41029357910156
2023-01-26,109.2103271484375
2023-01-27,111.95272064208984
2023-01-30,108.9722671508789
2023-01-31,111.15287017822266
2023-02-01,110.29585266113281
2023-02-02,112.31455993652344
2023-02-03,113.31439971923828
2023-02-06,111.55278778076172
2023-02-07,112.20030212402344
2023-02-08,110.07683563232422
2023-02-09,109.05795288085938
2023-02-10,109.5055160522461
2023-02-13,110.60057067871094
2023-02-14,109.83879089355469
2023-02-15,109.74356842041016
2023-02-16,106.29652404785156
2023-02-17,105.86801147460938
2023-02-21,103.91596984863281
2023-02-22,104.92133331298828
2023-02-23,105.99372100830078
2023-02-24,107.4490966796875
2023-02-27,106.71182250976562
2023-02-28,107.23845672607422
2023-03-01,108.13849639892578
2023-03-02,107.59271240234375
2023-03-03,109.89067840576172
2023-03-06,109.10554504394531
2023-03-07,106.65438079833984
2023-03-08,105.89796447753906
2023-03-09,101.1488265991211
2023-03-10,97.7976303100586
2023-03-13,93.3740463256836
2023-03-14,97.12740325927734
2023-03-15,92.15804290771484
2023-03-16,91.4207763671875
2023-03-17,88.31851959228516
2023-03-20,89.83135223388672
2023-03-21,94.15918731689453
2023-03-22,90.75054168701172
2023-03-23,89.59197998046875
2023-03-24,88.90260314941406
2023-03-27,90.37712097167969
2023-03-28,90.15689086914062
2023-03-29,93.52725219726562
2023-03-30,93.94854736328125
2023-03-31,94.63793182373047
2023-04-03,94.61878204345703
2023-04-04,94.38898468017578
2023-04-05,93.25914764404297
2023-04-06,92.89530944824219
2023-04-10,93.99641418457031
2023-04-11,96.13160705566406
2023-04-12,94.93475341796875
2023-04-13,96.21778869628906
2023-04-14,96.86886596679688
2023-04-17,98.2955322265625
2023-04-18,99.22428894042969
2023-04-19,101.26374053955078
2023-04-20,100.70838928222656
2023-04-21,101.033935546875
2023-04-24,100.04772186279297
2023-04-25,97.45293426513672
2023-04-26,96.87844848632812
2023-04-27,97.65400695800781
2023-04-28,99.07109832763672
2023-05-01,95.37519836425781
2023-05-02,91.17183685302734
2023-05-03,91.70802307128906
2023-05-04,88.51001739501953
2023-05-05,91.88037872314453
2023-05-08,92.72296142578125
2023-05-09,92.57933807373047
2023-05-10,91.29630279541016
2023-05-11,91.75588989257812
2023-05-12,91.18140411376953
2023-05-15,92.91445922851562
2023-05-16,92.21548461914062
2023-05-17,94.39855194091797
2023-05-18,96.33267974853516
2023-05-19,96.4571533203125
2023-05-22,96.76355743408203
2023-05-23,97.56783294677734
2023-05-24,95.85173034667969
2023-05-25,96.29521179199219
2023-05-26,98.68621063232422
2023-05-30,99.61175537109375
2023-05-31,99.05255889892578
2023-06-01,101.54961395263672
2023-06-02,105.1746597290039
2023-06-05,105.12645721435547
2023-06-06,108.29837799072266
2023-06-07,109.0407485961914
2023-06-08,109.51314544677734
2023-06-09,110.04341125488281
2023-06-12,110.69900512695312
2023-06-13,113.49491882324219
2023-06-14,112.93573760986328
2023-06-15,113.05142974853516
2023-06-16,111.18106079101562
2023-06-20,111.3835220336914
2023-06-21,112.12589263916016
2023-06-22,111.33531951904297
2023-06-23,111.27747344970703
2023-06-26,111.30638122558594
2023-06-27,113.1092758178711
2023-06-28,113.19605255126953
2023-06-29,113.66846466064453
2023-06-30,112.65614318847656
2023-07-03,113.85163879394531
2023-07-05,112.12589263916016
2023-07-06,111.48957824707031
2023-07-07,112.742919921875
2023-07-10,114.2372817993164
2023-07-11,115.20138549804688
2023-07-12,114.84468078613281
2023-07-13,115.38457489013672
2023-07-14,114.30477142333984
2023-07-17,116.04981994628906
2023-07-18,117.33208465576172
2023-07-19,117.47669219970703
2023-07-20,98.7729721069336
2023-07-21,101.3375015258789
2023-07-24,104.9336166381836
2023-07-25,104.08522033691406
2023-07-26,102.66798400878906
2023-07-27,100.4408950805664
2023-07-28,100.91329956054688
2023-07-31,101.76171875
2023-08-01,101.05791473388672
2023-08-02,99.4478530883789
2023-08-03,98.90795135498047
2023-08-04,98.68621063232422
2023-08-07,99.2453842163086
2023-08-08,100.88436889648438
