,ESS
2017-04-11,185.2036895751953
2017-04-12,183.6081085205078
2017-04-13,182.6852264404297
2017-04-17,184.65621948242188
2017-04-18,185.321044921875
2017-04-19,183.9757537841797
2017-04-20,183.85057067871094
2017-04-21,184.18698120117188
2017-04-24,183.21702575683594
2017-04-25,186.4629669189453
2017-04-26,188.52001953125
2017-04-27,188.8406524658203
2017-04-28,191.21055603027344
2017-05-01,193.95590209960938
2017-05-02,194.40171813964844
2017-05-03,193.61175537109375
2017-05-04,195.91908264160156
2017-05-05,195.82521057128906
2017-05-08,195.42633056640625
2017-05-09,195.8721466064453
2017-05-10,196.5526123046875
2017-05-11,196.57606506347656
2017-05-12,197.6241455078125
2017-05-15,198.60964965820312
2017-05-16,198.92251586914062
2017-05-17,198.4610595703125
2017-05-18,200.1348114013672
2017-05-19,199.0946044921875
2017-05-22,199.1258544921875
2017-05-23,197.0453338623047
2017-05-24,200.87783813476562
2017-05-25,200.45550537109375
2017-05-26,200.4633026123047
2017-05-30,199.59519958496094
2017-05-31,200.9482879638672
2017-06-01,202.1761932373047
2017-06-02,205.41429138183594
2017-06-05,208.15179443359375
2017-06-06,205.4690704345703
2017-06-07,206.15733337402344
2017-06-08,207.79981994628906
2017-06-09,208.23007202148438
2017-06-12,205.42214965820312
2017-06-13,205.16397094726562
2017-06-14,205.32044982910156
2017-06-15,206.305908203125
2017-06-16,208.28477478027344
2017-06-19,209.91946411132812
2017-06-20,208.92605590820312
2017-06-21,208.4333953857422
2017-06-22,206.43104553222656
2017-06-23,207.8858642578125
2017-06-26,207.65904235839844
2017-06-27,203.7639617919922
2017-06-28,204.92147827148438
2017-06-29,204.87423706054688
2017-06-30,202.5828094482422
2017-07-03,205.7089080810547
2017-07-05,204.51202392578125
2017-07-06,200.0315399169922
2017-07-07,201.37806701660156
2017-07-10,199.2913818359375
2017-07-11,198.22042846679688
2017-07-12,200.00790405273438
2017-07-13,198.63778686523438
2017-07-14,199.6299591064453
2017-07-17,203.0001678466797
2017-07-18,203.79547119140625
2017-07-19,207.48062133789062
2017-07-20,208.01612854003906
2017-07-21,208.5515594482422
2017-07-24,206.9058380126953
2017-07-25,205.87429809570312
2017-07-26,210.354736328125
2017-07-27,207.9137725830078
2017-07-28,208.40196228027344
2017-07-31,206.07118225097656
2017-08-01,207.2523193359375
2017-08-02,207.45703125
2017-08-03,207.30738830566406
2017-08-04,206.3074188232422
2017-08-07,205.9215087890625
2017-08-08,206.85069274902344
2017-08-09,208.40196228027344
2017-08-10,206.72470092773438
2017-08-11,204.0553436279297
