,UHS
2016-02-12,100.35600280761719
2016-02-16,102.12709045410156
2016-02-17,103.7056655883789
2016-02-18,103.30140686035156
2016-02-19,102.98377227783203
2016-02-22,105.90992736816406
2016-02-23,105.62116241455078
2016-02-24,106.516357421875
2016-02-25,107.11311340332031
2016-02-26,109.19410705566406
2016-02-29,106.332763671875
2016-03-01,109.58911895751953
2016-03-02,111.14022827148438
2016-03-03,113.2019271850586
2016-03-04,111.31364440917969
2016-03-07,110.20569610595703
2016-03-08,107.72969818115234
2016-03-09,108.87618255615234
2016-03-10,108.81838989257812
2016-03-11,111.45816040039062
2016-03-14,111.16914367675781
2016-03-15,107.98983764648438
2016-03-16,109.56018829345703
2016-03-17,109.57947540283203
2016-03-18,112.38304901123047
2016-03-21,112.34449768066406
2016-03-22,114.56037139892578
2016-03-23,114.28097534179688
2016-03-24,113.59693908691406
2016-03-28,114.79158782958984
2016-03-29,119.37747192382812
2016-03-30,120.74554443359375
2016-03-31,120.15785217285156
2016-04-01,120.80330657958984
2016-04-04,120.10967254638672
2016-04-05,118.19245147705078
2016-04-06,119.66649627685547
2016-04-07,118.53927612304688
2016-04-08,118.71272277832031
2016-04-11,117.28683471679688
2016-04-12,118.0094223022461
2016-04-13,120.6395263671875
2016-04-14,121.11162567138672
2016-04-15,120.79371643066406
2016-04-18,121.50662994384766
2016-04-19,121.15017700195312
2016-04-20,123.63579559326172
2016-04-21,123.00958251953125
2016-04-22,124.45465850830078
2016-04-25,123.13483428955078
2016-04-26,127.35458374023438
2016-04-27,127.28717803955078
2016-04-28,129.97508239746094
2016-04-29,128.7900390625
2016-05-02,129.26219177246094
2016-05-03,128.9827880859375
2016-05-04,128.38546752929688
2016-05-05,128.68411254882812
2016-05-06,128.97311401367188
2016-05-09,130.12924194335938
2016-05-10,130.11000061035156
2016-05-11,130.81329345703125
2016-05-12,128.41433715820312
2016-05-13,128.72264099121094
2016-05-16,130.08106994628906
2016-05-17,129.493408203125
2016-05-18,128.6551971435547
2016-05-19,128.79974365234375
2016-05-20,129.20440673828125
2016-05-23,127.2100601196289
2016-05-24,129.9172821044922
2016-05-25,130.82289123535156
2016-05-26,129.53189086914062
2016-05-27,129.85975646972656
2016-05-31,130.02362060546875
2016-06-01,131.04562377929688
2016-06-02,132.4436492919922
2016-06-03,130.5249786376953
2016-06-06,132.04833984375
2016-06-07,132.896728515625
2016-06-08,133.76451110839844
2016-06-09,133.051025390625
2016-06-10,130.32252502441406
2016-06-13,127.29512023925781
2016-06-14,128.62564086914062
2016-06-15,127.40116882324219
2016-06-16,127.09268188476562
2016-06-17,126.5430679321289
2016-06-20,127.88328552246094
2016-06-21,127.90251922607422
2016-06-22,130.00430297851562
2016-06-23,133.3209991455078
2016-06-24,131.41201782226562
2016-06-27,124.72084045410156
2016-06-28,127.3433609008789
2016-06-29,128.65455627441406
2016-06-30,129.29086303710938
2016-07-01,128.75099182128906
2016-07-05,127.60368347167969
2016-07-06,128.5292510986328
2016-07-07,129.90792846679688
