,JNJ
2022-12-30,166.1861114501953
2023-01-03,167.6348876953125
2023-01-04,169.45999145507812
2023-01-05,168.20877075195312
2023-01-06,169.57286071777344
2023-01-09,165.1795196533203
2023-01-10,164.78439331054688
2023-01-11,164.52096557617188
2023-01-12,163.69308471679688
2023-01-13,163.15684509277344
2023-01-17,162.15023803710938
2023-01-18,159.70423889160156
2023-01-19,159.48788452148438
2023-01-20,158.7446746826172
2023-01-23,158.34014892578125
2023-01-24,158.34014892578125
2023-01-25,159.46905517578125
2023-01-26,158.8857879638672
2023-01-27,158.26487731933594
2023-01-30,152.40390014648438
2023-01-31,153.73980712890625
2023-02-01,155.15093994140625
2023-02-02,155.73422241210938
2023-02-03,154.85931396484375
2023-02-06,153.68333435058594
2023-02-07,153.72097778320312
2023-02-08,153.91854858398438
2023-02-09,151.8394317626953
2023-02-10,152.54501342773438
2023-02-13,153.10946655273438
2023-02-14,152.44155883789062
2023-02-15,149.9296875
2023-02-16,148.8666534423828
2023-02-17,151.97454833984375
2023-02-21,149.70994567871094
2023-02-22,149.50148010253906
2023-02-23,149.4541015625
2023-02-24,147.78643798828125
2023-02-27,147.46429443359375
2023-02-28,145.21864318847656
2023-03-01,144.5648651123047
2023-03-02,144.4511260986328
2023-03-03,145.93878173828125
2023-03-06,147.39796447753906
2023-03-07,146.0050811767578
2023-03-08,144.93438720703125
2023-03-09,143.3046417236328
2023-03-10,143.6552276611328
2023-03-13,145.0291290283203
2023-03-14,145.843994140625
2023-03-15,146.25148010253906
2023-03-16,145.94822692871094
2023-03-17,144.3848114013672
2023-03-20,145.81558227539062
2023-03-21,145.81558227539062
2023-03-22,143.12461853027344
2023-03-23,143.20040893554688
2023-03-24,144.64064025878906
2023-03-27,145.2565460205078
2023-03-28,143.8542022705078
2023-03-29,145.26602172851562
2023-03-30,145.3797149658203
2023-03-31,146.8673553466797
2023-04-03,148.62026977539062
2023-04-04,150.17420959472656
2023-04-05,156.92063903808594
2023-04-06,156.48477172851562
2023-04-10,155.69834899902344
2023-04-11,155.6509552001953
2023-04-12,155.31932067871094
2023-04-13,157.39442443847656
2023-04-14,157.1385955810547
2023-04-17,156.9774932861328
2023-04-18,152.56199645996094
2023-04-19,154.0022430419922
2023-04-20,154.99717712402344
2023-04-21,154.15383911132812
2023-04-24,155.09193420410156
2023-04-25,156.51321411132812
2023-04-26,154.0875244140625
2023-04-27,154.44760131835938
2023-04-28,155.11085510253906
2023-05-01,155.01612854003906
2023-05-02,156.37110900878906
2023-05-03,154.3244171142578
2023-05-04,153.6232452392578
2023-05-05,154.14437866210938
2023-05-08,153.79380798339844
