,CHRW
2019-02-21,79.27783203125
2019-02-22,79.07142639160156
2019-02-25,78.2887954711914
2019-02-26,78.35761260986328
2019-02-27,77.46317291259766
2019-02-28,78.16368103027344
2019-03-01,78.00801086425781
2019-03-04,76.7453384399414
2019-03-05,76.8232192993164
2019-03-06,76.09672546386719
2019-03-07,75.64701843261719
2019-03-08,75.62106323242188
2019-03-11,76.8577880859375
2019-03-12,76.75397491455078
2019-03-13,77.03939819335938
2019-03-14,77.26424407958984
2019-03-15,76.97020721435547
2019-03-18,77.91285705566406
2019-03-19,76.37347412109375
2019-03-20,74.92920684814453
2019-03-21,75.48270416259766
2019-03-22,73.234130859375
2019-03-25,72.15308380126953
2019-03-26,73.97787475585938
2019-03-27,74.22004699707031
2019-03-28,74.61785888671875
2019-03-29,75.23190307617188
2019-04-01,76.36483001708984
2019-04-02,76.52915954589844
2019-04-03,76.71074676513672
2019-04-04,77.16912078857422
2019-04-05,77.36800384521484
2019-04-08,77.50640106201172
2019-04-09,77.16912078857422
2019-04-10,76.39078521728516
2019-04-11,77.54964447021484
2019-04-12,78.51824951171875
2019-04-15,78.59608459472656
2019-04-16,77.419921875
2019-04-17,77.37670135498047
2019-04-18,77.8263931274414
2019-04-22,77.97343444824219
2019-04-23,78.46637725830078
2019-04-24,79.06309509277344
2019-04-25,76.60697174072266
2019-04-26,75.89781951904297
2019-04-29,70.14667510986328
2019-04-30,70.05152893066406
2019-05-01,69.81803131103516
2019-05-02,72.14442443847656
2019-05-03,72.55956268310547
2019-05-06,71.96282196044922
2019-05-07,71.39203643798828
2019-05-08,72.00606536865234
2019-05-09,71.50445556640625
2019-05-10,70.6828842163086
2019-05-13,69.22994995117188
2019-05-14,70.3888168334961
2019-05-15,70.79529571533203
2019-05-16,71.7033920288086
2019-05-17,71.10663604736328
2019-05-20,70.7347412109375
2019-05-21,70.82123565673828
2019-05-22,70.20719909667969
2019-05-23,69.82669067382812
2019-05-24,68.9445571899414
2019-05-28,68.33052062988281
2019-05-29,68.91862487792969
2019-05-30,68.14025115966797
2019-05-31,68.86671447753906
2019-06-03,69.01374816894531
2019-06-04,69.39425659179688
2019-06-05,70.05152893066406
2019-06-06,69.23353576660156
2019-06-07,69.34667205810547
2019-06-10,69.79048156738281
2019-06-11,69.97322845458984
2019-06-12,71.54830169677734
2019-06-13,72.72306060791016
2019-06-14,72.8362045288086
2019-06-17,71.60919189453125
2019-06-18,72.66214752197266
2019-06-19,72.54903411865234
2019-06-20,73.09725189208984
2019-06-21,72.25314331054688
2019-06-24,72.1139144897461
2019-06-25,72.00079345703125
2019-06-26,72.50550842285156
2019-06-27,73.24519348144531
2019-06-28,73.40184783935547
2019-07-01,73.36701202392578
2019-07-02,72.7752914428711
2019-07-03,74.00228118896484
2019-07-05,73.88043975830078
2019-07-08,73.02764129638672
2019-07-09,72.39239501953125
2019-07-10,71.52218627929688
2019-07-11,72.08779907226562
2019-07-12,74.01968383789062
2019-07-15,73.54106140136719
2019-07-16,73.92395782470703
2019-07-17,71.57441711425781
2019-07-18,71.75714874267578
2019-07-19,72.7927017211914
2019-07-22,72.41850280761719
2019-07-23,72.58383178710938
2019-07-24,74.74195098876953
2019-07-25,73.15817260742188
2019-07-26,74.07188415527344
2019-07-29,74.01968383789062
2019-07-30,73.76730346679688
2019-07-31,72.8623046875
2019-08-01,70.48664093017578
2019-08-02,71.06098937988281
2019-08-05,70.62586975097656
2019-08-06,70.77381896972656
2019-08-07,72.66214752197266
2019-08-08,74.88987731933594
2019-08-09,73.51496124267578
2019-08-12,73.47144317626953
2019-08-13,73.64547729492188
2019-08-14,71.69623565673828
2019-08-15,72.1400375366211
2019-08-16,72.94061279296875
2019-08-19,73.36701202392578
2019-08-20,73.24519348144531
2019-08-21,73.32351684570312
2019-08-22,72.85360717773438
2019-08-23,71.55699920654297
2019-08-26,72.30536651611328
2019-08-27,71.64402770996094
2019-08-28,72.3749771118164
2019-08-29,73.20169830322266
2019-08-30,73.52367401123047
2019-09-03,71.4003677368164
2019-09-04,72.01819610595703
2019-09-05,73.48905181884766
2019-09-06,72.91122436523438
2019-09-09,72.91995239257812
2019-09-10,75.9053955078125
2019-09-11,77.9803237915039
2019-09-12,75.6865463256836
2019-09-13,76.2555923461914
