,XOM
2018-01-29,63.7977294921875
2018-01-30,62.90610885620117
2018-01-31,63.283058166503906
2018-02-01,64.56610870361328
2018-02-02,61.27510452270508
2018-02-05,57.78836441040039
2018-02-06,56.7952766418457
2018-02-07,55.77316665649414
2018-02-08,55.142520904541016
2018-02-09,55.49402618408203
2018-02-12,55.96269226074219
2018-02-13,55.874820709228516
2018-02-14,55.99198532104492
2018-02-15,55.80890655517578
2018-02-16,56.05057144165039
2018-02-20,55.4720573425293
2018-02-21,54.84226608276367
2018-02-22,55.5526123046875
2018-02-23,56.77554702758789
2018-02-26,57.73487854003906
2018-02-27,56.75358581542969
2018-02-28,55.4647216796875
2018-03-01,55.06928253173828
2018-03-02,55.325592041015625
2018-03-05,55.852848052978516
2018-03-06,55.786949157714844
2018-03-07,54.38092803955078
2018-03-08,54.27839279174805
2018-03-09,54.60061264038086
2018-03-12,55.098567962646484
2018-03-13,54.57864761352539
2018-03-14,53.897605895996094
2018-03-15,54.49810028076172
2018-03-16,55.010704040527344
2018-03-19,54.30037307739258
2018-03-20,54.18319320678711
2018-03-21,54.95211410522461
2018-03-22,53.82436752319336
2018-03-23,53.37766647338867
2018-03-26,54.190513610839844
2018-03-27,53.9708251953125
2018-03-28,53.3190803527832
2018-03-29,54.63721466064453
2018-04-02,53.619319915771484
2018-04-03,54.93748092651367
2018-04-04,54.8276252746582
2018-04-05,55.66978073120117
2018-04-06,54.8276252746582
2018-04-09,54.8276252746582
2018-04-10,56.438697814941406
2018-04-11,56.70232391357422
2018-04-12,56.54853439331055
2018-04-13,57.0025749206543
2018-04-16,57.515201568603516
2018-04-17,57.36140060424805
2018-04-18,58.01313018798828
2018-04-19,58.15961456298828
2018-04-20,57.852054595947266
2018-04-23,58.26944351196289
